nro_distrito,zona,cantidad,distrito_id,zona_id
8,USPHA USPHA,2496,49f6e26f-2f2c-4780-bed7-20c43cd92701,153b97f5-816a-4c7c-8342-7a59058a6313
6,ALALAY NORTE,3537,a9c3892d-b736-4b4c-893b-8f085950f227,378e1a86-ce34-42d9-a1f9-285f657a45f7
7,ALALAY NORTE,1187,a52682e0-b4ea-4588-b99c-d63e69167e67,378e1a86-ce34-42d9-a1f9-285f657a45f7
7,ALALAY SUD,2143,a52682e0-b4ea-4588-b99c-d63e69167e67,32775e12-db78-47d3-8952-ccdd0ad18a21
14,ALALAY SUD,3556,e7827c4d-6e67-4d1b-8b75-9ca6a75fdd7d,32775e12-db78-47d3-8952-ccdd0ad18a21
14,VALLE HERMOSO,2187,e7827c4d-6e67-4d1b-8b75-9ca6a75fdd7d,b8d3f16e-b09e-42f9-94c0-f99384842531
9,LA MAICA,1128,7a3862d0-43de-4432-943c-b8b24ac55a3c,ac3e31e4-ee35-431f-b883-7111a1ecab10
9,COÑA COÑA,2819,7a3862d0-43de-4432-943c-b8b24ac55a3c,00eae8ea-85a0-4a77-8dcc-53b8ec5eae4a
9,TAMBORADA PUKARITA,1236,7a3862d0-43de-4432-943c-b8b24ac55a3c,1e8c3fac-7b0d-4934-b5eb-9dc5bb977d98
9,1RO DE MAYO,1718,7a3862d0-43de-4432-943c-b8b24ac55a3c,b9f7bff9-63a6-441a-9d4e-99f1b0142a8c
9,PUKARA GRANDE NORTE,2103,7a3862d0-43de-4432-943c-b8b24ac55a3c,2aede66b-fc4d-4f57-9e35-bb69c1b62a89
9,VALLE HERMOSO OESTE,848,7a3862d0-43de-4432-943c-b8b24ac55a3c,a3e473f0-d1d0-48aa-b21d-20e248013b87
9,PUKARA GRANDE SUR,636,7a3862d0-43de-4432-943c-b8b24ac55a3c,fe492db2-ab47-40ef-bbb0-8036819cfd05
9,PUKARA GRANDE OESTE,2557,7a3862d0-43de-4432-943c-b8b24ac55a3c,b3da308c-b072-452e-98ee-556907abc862
15,VALLE HERMOSO OESTE,1175,4663a1be-7875-40f7-816b-929fbc1317c6,a3e473f0-d1d0-48aa-b21d-20e248013b87
15,KHARA KHARA ARRUMANI,3418,4663a1be-7875-40f7-816b-929fbc1317c6,0e3976e4-5a5e-4cb0-b178-f2bb885f1efb
15,PUKARA GRANDE SUR,1582,4663a1be-7875-40f7-816b-929fbc1317c6,fe492db2-ab47-40ef-bbb0-8036819cfd05
10,NOROESTE,2635,81b39f15-3e07-4797-81a0-fd6b85166a05,38f4d38a-3343-44a8-aa2b-91eb87a25d03
10,NORESTE,1652,81b39f15-3e07-4797-81a0-fd6b85166a05,9415b568-f92b-4909-8b7c-2d8e15cbe9fe
10,SUDOESTE,847,81b39f15-3e07-4797-81a0-fd6b85166a05,413801b9-1b34-4639-8206-8d6848a1bc3c
10,SUDESTE,190,81b39f15-3e07-4797-81a0-fd6b85166a05,0f2c4f42-1018-4d98-8fbb-b898922f4990
11,MUYURINA,640,ff25e926-1b72-483f-b6d8-43e94b0b6257,4124e19a-4bf3-439e-90f2-bb5dc6b9a188
11,LAS CUADRAS,1239,ff25e926-1b72-483f-b6d8-43e94b0b6257,fa2f59c3-a03d-43bb-a701-7d9f589a927e
11,ALALAY NORTE,1630,ff25e926-1b72-483f-b6d8-43e94b0b6257,378e1a86-ce34-42d9-a1f9-285f657a45f7
12,SARCO,2475,3c30cafb-60c4-45b8-b546-c647840d37b0,e4858212-c010-4a6a-acf2-7302efd787dd
12,CALA CALA,1673,3c30cafb-60c4-45b8-b546-c647840d37b0,f0df9039-19b4-4a8d-8f10-ad4125e7a3b6
12,QUERU QUERU,2323,3c30cafb-60c4-45b8-b546-c647840d37b0,e78a3808-0ece-4003-b2a0-d63436115a1d
12,TUPURAYA,3168,3c30cafb-60c4-45b8-b546-c647840d37b0,086debb7-9110-4d9a-a714-60527a246806
12,HIPODROMO,451,3c30cafb-60c4-45b8-b546-c647840d37b0,e5330491-381d-4609-a3c8-ded6cb981d92
