-17.374065,-66.158862, Calle San Martín #100, Tupuraya, D12
-17.382597,-66.172055, Calle Bustillos #231, Cala Cala Este, D12
-17.374822,-66.139950, Calle Falsuri #232, Tupuraya, D12
-17.378310,-66.173591, Av. Blanco Galindo #233, Queru Queru Bajo, D12
-17.374803,-66.164841, Calle Canelas #234, Cala Cala Este, D12
-17.368942,-66.151111, Calle San Martín #235, Tupuraya, D12
-17.370272,-66.158052, Calle Bustillos #236, Queru Queru Bajo, D12
-17.388717,-66.170561, Calle Falsuri #237, Cala Cala Este, D12
-17.374135,-66.140704, Av. Blanco Galindo #238, Tupuraya, D12
-17.366804,-66.157291, Calle Canelas #239, Queru Queru Bajo, D12
-17.379503,-66.161059, Calle San Martín #240, Cala Cala Este, D12
-17.373856,-66.174030, Calle Bustillos #241, Tupuraya, D12
-17.374332,-66.151621, Calle Falsuri #242, Queru Queru Bajo, D12
-17.376993,-66.175557, Av. Blanco Galindo #243, Cala Cala Este, D12
-17.375296,-66.156110, Calle Canelas #244, Tupuraya, D12
-17.381774,-66.164846, Calle San Martín #245, Queru Queru Bajo, D12
-17.369492,-66.175019, Calle Bustillos #246, Cala Cala Este, D12
-17.390131,-66.173400, Calle Falsuri #247, Tupuraya, D12
-17.371634,-66.141129, Av. Blanco Galindo #248, Queru Queru Bajo, D12
-17.368861,-66.165894, Calle Canelas #249, Cala Cala Este, D12
-17.380048,-66.174701, Calle San Martín #250, Tupuraya, D12
-17.370447,-66.155860, Calle Bustillos #251, Queru Queru Bajo, D12
-17.375067,-66.175337, Calle Falsuri #252, Cala Cala Este, D12
-17.383493,-66.167543, Av. Blanco Galindo #253, Tupuraya, D12
-17.384155,-66.175054, Calle Canelas #254, Queru Queru Bajo, D12
-17.371713,-66.152989, Calle San Martín #255, Cala Cala Este, D12
-17.376346,-66.147001, Calle Bustillos #256, Tupuraya, D12
-17.386403,-66.169799, Calle Falsuri #257, Queru Queru Bajo, D12
-17.375858,-66.149729, Av. Blanco Galindo #258, Cala Cala Este, D12
-17.373090,-66.140305, Calle Canelas #259, Tupuraya, D12
-17.380109,-66.174726, Calle San Martín #260, Queru Queru Bajo, D12
-17.384132,-66.172630, Calle Bustillos #261, Cala Cala Este, D12
-17.373635,-66.169099, Calle Falsuri #262, Tupuraya, D12
-17.373296,-66.170467, Av. Blanco Galindo #263, Queru Queru Bajo, D12
-17.377791,-66.170323, Calle Canelas #264, Cala Cala Este, D12
-17.370887,-66.146291, Calle San Martín #265, Tupuraya, D12
-17.381334,-66.167116, Calle Bustillos #266, Queru Queru Bajo, D12
-17.371389,-66.173805, Calle Falsuri #267, Cala Cala Este, D12
-17.378591,-66.158436, Av. Blanco Galindo #268, Tupuraya, D12
-17.367467,-66.165915, Calle Canelas #269, Queru Queru Bajo, D12
-17.370968,-66.165658, Calle San Martín #270, Cala Cala Este, D12
-17.379168,-66.157768, Calle Bustillos #271, Tupuraya, D12
-17.379466,-66.164659, Calle Falsuri #272, Queru Queru Bajo, D12
-17.369589,-66.148720, Av. Blanco Galindo #273, Cala Cala Este, D12
-17.392169,-66.177146, Calle Canelas #274, Tupuraya, D12
-17.374122,-66.172409, Calle San Martín #275, Queru Queru Bajo, D12
-17.388004,-66.175362, Calle Bustillos #276, Cala Cala Este, D12
-17.371516,-66.174471, Calle Falsuri #277, Tupuraya, D12
-17.389128,-66.168402, Av. Blanco Galindo #278, Queru Queru Bajo, D12
-17.377287,-66.174280, Calle Canelas #279, Cala Cala Este, D12
-17.368798,-66.169057, Calle San Martín #280, Tupuraya, D12
-17.372313,-66.144937, Calle Bustillos #281, Queru Queru Bajo, D12
-17.372533,-66.163252, Calle Falsuri #282, Cala Cala Este, D12
-17.375456,-66.168780, Av. Blanco Galindo #283, Tupuraya, D12
-17.376144,-66.150450, Calle Canelas #284, Queru Queru Bajo, D12
-17.378767,-66.158952, Calle San Martín #285, Cala Cala Este, D12
-17.370515,-66.167269, Calle Bustillos #286, Tupuraya, D12
-17.379663,-66.161039, Calle Falsuri #287, Queru Queru Bajo, D12
-17.373364,-66.159031, Av. Blanco Galindo #288, Cala Cala Este, D12
-17.378549,-66.161696, Calle Canelas #289, Tupuraya, D12
-17.379176,-66.163350, Calle San Martín #290, Queru Queru Bajo, D12
-17.386083,-66.165140, Calle Bustillos #291, Cala Cala Este, D12
-17.375460,-66.144289, Calle Falsuri #292, Tupuraya, D12
-17.374075,-66.156298, Av. Blanco Galindo #293, Queru Queru Bajo, D12
-17.370418,-66.158537, Calle Canelas #294, Cala Cala Este, D12
-17.369376,-66.162266, Calle San Martín #295, Tupuraya, D12
-17.374289,-66.152276, Calle Bustillos #296, Queru Queru Bajo, D12
-17.368424,-66.151249, Calle Falsuri #297, Cala Cala Este, D12
-17.371795,-66.149494, Av. Blanco Galindo #298, Tupuraya, D12
-17.378789,-66.172632, Calle Canelas #299, Queru Queru Bajo, D12
-17.375979,-66.142252, Calle San Martín #300, Cala Cala Este, D12
-17.380340,-66.160820, Calle Bustillos #301, Tupuraya, D12
-17.392450,-66.173938, Calle Falsuri #302, Queru Queru Bajo, D12
-17.369846,-66.150756, Av. Blanco Galindo #303, Cala Cala Este, D12
-17.378442,-66.158202, Calle Canelas #304, Tupuraya, D12
-17.380554,-66.164042, Calle San Martín #305, Queru Queru Bajo, D12
-17.381981,-66.174223, Calle Bustillos #306, Cala Cala Este, D12
-17.374109,-66.172002, Calle Falsuri #307, Tupuraya, D12
-17.383426,-66.169692, Av. Blanco Galindo #308, Queru Queru Bajo, D12
-17.392699,-66.169743, Calle Canelas #309, Cala Cala Este, D12
-17.373927,-66.170063, Calle San Martín #310, Tupuraya, D12
-17.375101,-66.159888, Calle Bustillos #311, Queru Queru Bajo, D12
-17.377740,-66.154057, Calle Falsuri #312, Cala Cala Este, D12
-17.391722,-66.171100, Av. Blanco Galindo #313, Tupuraya, D12
-17.382154,-66.163933, Calle Canelas #314, Queru Queru Bajo, D12
-17.371969,-66.163054, Calle San Martín #315, Cala Cala Este, D12
-17.371755,-66.143740, Calle Bustillos #316, Tupuraya, D12
-17.381952,-66.172310, Calle Falsuri #317, Queru Queru Bajo, D12
-17.381189,-66.166637, Av. Blanco Galindo #318, Cala Cala Este, D12
-17.375627,-66.151595, Calle Canelas #319, Tupuraya, D12
-17.387704,-66.166639, Calle San Martín #320, Queru Queru Bajo, D12
-17.382629,-66.174351, Calle Bustillos #321, Cala Cala Este, D12
-17.371182,-66.164086, Calle Falsuri #322, Tupuraya, D12
-17.372215,-66.152270, Av. Blanco Galindo #323, Queru Queru Bajo, D12
-17.376620,-66.155497, Calle Canelas #324, Cala Cala Este, D12
-17.390120,-66.178179, Calle San Martín #325, Tupuraya, D12
-17.382823,-66.174911, Calle Bustillos #326, Queru Queru Bajo, D12
-17.379819,-66.173334, Calle Falsuri #327, Cala Cala Este, D12
-17.369329,-66.162775, Av. Blanco Galindo #328, Tupuraya, D12
-17.368377,-66.165366, Calle Canelas #329, Queru Queru Bajo, D12
-17.373587,-66.140621, Calle San Martín #330, Cala Cala Este, D12
-17.383108,-66.168692, Calle Bustillos #331, Tupuraya, D12
-17.382021,-66.167422, Calle Falsuri #332, Queru Queru Bajo, D12
-17.377091,-66.169468, Av. Blanco Galindo #333, Cala Cala Este, D12
-17.390720,-66.174991, Calle Canelas #334, Tupuraya, D12
-17.376636,-66.150596, Calle San Martín #335, Queru Queru Bajo, D12
-17.381695,-66.164472, Calle Bustillos #336, Cala Cala Este, D12
-17.371247,-66.170379, Calle Falsuri #337, Tupuraya, D12
-17.385832,-66.169723, Av. Blanco Galindo #338, Queru Queru Bajo, D12
-17.375980,-66.162699, Calle Canelas #339, Cala Cala Este, D12
-17.367939,-66.154683, Calle San Martín #340, Tupuraya, D12
-17.367585,-66.173451, Calle Bustillos #341, Queru Queru Bajo, D12
-17.385956,-66.176028, Calle Falsuri #342, Cala Cala Este, D12
-17.373170,-66.162059, Av. Blanco Galindo #343, Tupuraya, D12
-17.368265,-66.151380, Calle Canelas #344, Queru Queru Bajo, D12
-17.369009,-66.160146, Calle San Martín #345, Cala Cala Este, D12
-17.390905,-66.173659, Calle Bustillos #346, Tupuraya, D12
-17.384351,-66.166408, Calle Falsuri #347, Queru Queru Bajo, D12
-17.371085,-66.156425, Av. Blanco Galindo #348, Cala Cala Este, D12
-17.389572,-66.171758, Calle Canelas #349, Tupuraya, D12
-17.369089,-66.153258, Calle San Martín #350, Queru Queru Bajo, D12
-17.372674,-66.140283, Calle Bustillos #351, Cala Cala Este, D12
-17.375235,-66.146936, Calle Falsuri #352, Tupuraya, D12
-17.377377,-66.162608, Av. Blanco Galindo #353, Queru Queru Bajo, D12
-17.380999,-66.174013, Calle Canelas #354, Cala Cala Este, D12
-17.367418,-66.169761, Calle San Martín #355, Tupuraya, D12
-17.376330,-66.150600, Calle Bustillos #356, Queru Queru Bajo, D12
-17.375093,-66.174880, Calle Falsuri #357, Cala Cala Este, D12
-17.366934,-66.174239, Av. Blanco Galindo #358, Tupuraya, D12
-17.369185,-66.158054, Calle Canelas #359, Queru Queru Bajo, D12
-17.389778,-66.175054, Calle San Martín #360, Cala Cala Este, D12
-17.373897,-66.167416, Calle Bustillos #361, Tupuraya, D12
-17.389145,-66.167041, Calle Falsuri #362, Queru Queru Bajo, D12
-17.372710,-66.163206, Av. Blanco Galindo #363, Cala Cala Este, D12
-17.368454,-66.170556, Calle Canelas #364, Tupuraya, D12
-17.383495,-66.168730, Calle San Martín #365, Queru Queru Bajo, D12
-17.373507,-66.170196, Calle Bustillos #366, Cala Cala Este, D12
-17.370220,-66.164806, Calle Falsuri #367, Tupuraya, D12
-17.368283,-66.167717, Av. Blanco Galindo #368, Queru Queru Bajo, D12
-17.372293,-66.157363, Calle Canelas #369, Cala Cala Este, D12
-17.373766,-66.143116, Calle San Martín #370, Tupuraya, D12
-17.374856,-66.171593, Calle Bustillos #371, Queru Queru Bajo, D12
-17.385009,-66.176315, Calle Falsuri #372, Cala Cala Este, D12
-17.374280,-66.147717, Av. Blanco Galindo #373, Tupuraya, D12
-17.377064,-66.162155, Calle Canelas #374, Queru Queru Bajo, D12
-17.373950,-66.156309, Calle San Martín #375, Cala Cala Este, D12
-17.376511,-66.156667, Calle Bustillos #376, Tupuraya, D12
-17.375147,-66.171033, Calle Falsuri #377, Queru Queru Bajo, D12
-17.370227,-66.155148, Av. Blanco Galindo #378, Cala Cala Este, D12
-17.382259,-66.168557, Calle Canelas #379, Tupuraya, D12
-17.380036,-66.166981, Calle San Martín #380, Queru Queru Bajo, D12
-17.388140,-66.170811, Calle Bustillos #381, Cala Cala Este, D12
-17.371148,-66.163199, Calle Falsuri #382, Tupuraya, D12
-17.384634,-66.176978, Av. Blanco Galindo #383, Queru Queru Bajo, D12
-17.379178,-66.168879, Calle Canelas #384, Cala Cala Este, D12
-17.372548,-66.162646, Calle San Martín #385, Tupuraya, D12
-17.378538,-66.166240, Calle Bustillos #386, Queru Queru Bajo, D12
-17.371457,-66.166629, Calle Falsuri #387, Cala Cala Este, D12
-17.379899,-66.166584, Av. Blanco Galindo #388, Tupuraya, D12
-17.366109,-66.163144, Calle Canelas #389, Queru Queru Bajo, D12
-17.372200,-66.143810, Calle San Martín #390, Cala Cala Este, D12
-17.372225,-66.170297, Calle Bustillos #391, Tupuraya, D12
-17.386103,-66.175620, Calle Falsuri #392, Queru Queru Bajo, D12
-17.371427,-66.155928, Av. Blanco Galindo #393, Cala Cala Este, D12
-17.378544,-66.171177, Calle Canelas #394, Tupuraya, D12
-17.373063,-66.149837, Calle San Martín #395, Queru Queru Bajo, D12
-17.373318,-66.168124, Calle Bustillos #396, Cala Cala Este, D12
-17.372861,-66.152646, Calle Falsuri #397, Tupuraya, D12
-17.367919,-66.156079, Av. Blanco Galindo #398, Queru Queru Bajo, D12
-17.373174,-66.165951, Calle Canelas #399, Cala Cala Este, D12
-17.377647,-66.170117, Calle San Martín #400, Tupuraya, D12
-17.368217,-66.159834, Calle Bustillos #401, Queru Queru Bajo, D12
-17.389297,-66.168793, Calle Falsuri #402, Cala Cala Este, D12
-17.370062,-66.150173, Av. Blanco Galindo #403, Tupuraya, D12
-17.391154,-66.172270, Calle Canelas #404, Queru Queru Bajo, D12
-17.373165,-66.168023, Calle San Martín #405, Cala Cala Este, D12
-17.368381,-66.154759, Calle Bustillos #406, Tupuraya, D12
-17.387183,-66.177379, Calle Falsuri #407, Queru Queru Bajo, D12
-17.367174,-66.163387, Av. Blanco Galindo #408, Cala Cala Este, D12
-17.367303,-66.166228, Calle Canelas #409, Tupuraya, D12
-17.386386,-66.169270, Calle San Martín #410, Queru Queru Bajo, D12
-17.370052,-66.150299, Calle Bustillos #411, Cala Cala Este, D12
-17.369221,-66.157221, Calle Falsuri #412, Tupuraya, D12
-17.374030,-66.152148, Av. Blanco Galindo #413, Queru Queru Bajo, D12
-17.383179,-66.164400, Calle Canelas #414, Cala Cala Este, D12
-17.373878,-66.150114, Calle San Martín #415, Tupuraya, D12
-17.387685,-66.171097, Calle Bustillos #416, Queru Queru Bajo, D12
-17.384507,-66.175478, Calle Falsuri #417, Cala Cala Este, D12
-17.373431,-66.167007, Av. Blanco Galindo #418, Tupuraya, D12
-17.378244,-66.153770, Calle Canelas #419, Queru Queru Bajo, D12
-17.373825,-66.140262, Calle San Martín #420, Cala Cala Este, D12
-17.372491,-66.150445, Calle Bustillos #421, Tupuraya, D12
-17.372303,-66.144123, Calle Falsuri #422, Queru Queru Bajo, D12
-17.388216,-66.172103, Av. Blanco Galindo #423, Cala Cala Este, D12
-17.384763,-66.166566, Calle Canelas #424, Tupuraya, D12
-17.371739,-66.154076, Calle San Martín #425, Queru Queru Bajo, D12
-17.368035,-66.170313, Calle Bustillos #426, Cala Cala Este, D12
-17.372568,-66.160792, Calle Falsuri #427, Tupuraya, D12
-17.374913,-66.173972, Av. Blanco Galindo #428, Queru Queru Bajo, D12
-17.376219,-66.169281, Calle Canelas #429, Cala Cala Este, D12
-17.370104,-66.166791, Calle San Martín #430, Tupuraya, D12
-17.385759,-66.170535, Calle Bustillos #431, Queru Queru Bajo, D12
-17.374448,-66.156853, Calle Falsuri #432, Cala Cala Este, D12
-17.371146,-66.168039, Av. Blanco Galindo #433, Tupuraya, D12
-17.370545,-66.147915, Calle Canelas #434, Queru Queru Bajo, D12
-17.371579,-66.162387, Calle San Martín #435, Cala Cala Este, D12
-17.367414,-66.164699, Calle Bustillos #436, Tupuraya, D12
-17.376416,-66.148601, Calle Falsuri #437, Queru Queru Bajo, D12
-17.377482,-66.173476, Av. Blanco Galindo #438, Cala Cala Este, D12
-17.376684,-66.160476, Calle Canelas #439, Tupuraya, D12
-17.376494,-66.151369, Calle San Martín #440, Queru Queru Bajo, D12
-17.378563,-66.155747, Calle Bustillos #441, Cala Cala Este, D12
-17.390604,-66.172490, Calle Falsuri #442, Tupuraya, D12
-17.384269,-66.172254, Av. Blanco Galindo #443, Queru Queru Bajo, D12
-17.386259,-66.169006, Calle Canelas #444, Cala Cala Este, D12
-17.389743,-66.176030, Calle San Martín #445, Tupuraya, D12
-17.377547,-66.175644, Calle Bustillos #446, Queru Queru Bajo, D12
-17.379206,-66.162701, Calle Falsuri #447, Cala Cala Este, D12
-17.390341,-66.176060, Av. Blanco Galindo #448, Tupuraya, D12
-17.369156,-66.152685, Calle Canelas #449, Queru Queru Bajo, D12
-17.373540,-66.139602, Calle San Martín #450, Cala Cala Este, D12
-17.377567,-66.154740, Calle Bustillos #451, Tupuraya, D12
-17.370199,-66.160067, Calle Falsuri #452, Queru Queru Bajo, D12
-17.371410,-66.151873, Av. Blanco Galindo #453, Cala Cala Este, D12
-17.372884,-66.140550, Calle Canelas #454, Tupuraya, D12
-17.372288,-66.173347, Calle San Martín #455, Queru Queru Bajo, D12
-17.372490,-66.156593, Calle Bustillos #456, Cala Cala Este, D12
-17.366944,-66.157034, Calle Falsuri #457, Tupuraya, D12
-17.387543,-66.167384, Av. Blanco Galindo #458, Queru Queru Bajo, D12
-17.376529,-66.170955, Calle Canelas #459, Cala Cala Este, D12
-17.370260,-66.173021, Calle San Martín #460, Tupuraya, D12
-17.377440,-66.157532, Calle Bustillos #461, Queru Queru Bajo, D12
-17.369735,-66.148351, Calle Falsuri #462, Cala Cala Este, D12
-17.373663,-66.159891, Av. Blanco Galindo #463, Tupuraya, D12
-17.368988,-66.171706, Calle Canelas #464, Queru Queru Bajo, D12
-17.375799,-66.173063, Calle San Martín #465, Cala Cala Este, D12
-17.369429,-66.171156, Calle Bustillos #466, Tupuraya, D12
-17.384836,-66.167494, Calle Falsuri #467, Queru Queru Bajo, D12
-17.366327,-66.165061, Av. Blanco Galindo #468, Cala Cala Este, D12
-17.380601,-66.170213, Calle Canelas #469, Tupuraya, D12
-17.379539,-66.166010, Calle San Martín #470, Queru Queru Bajo, D12
-17.384853,-66.168513, Calle Bustillos #471, Cala Cala Este, D12
-17.378137,-66.173087, Calle Falsuri #472, Tupuraya, D12
-17.372903,-66.158358, Av. Blanco Galindo #473, Queru Queru Bajo, D12
-17.372957,-66.151147, Calle Canelas #474, Cala Cala Este, D12
-17.384563,-66.176473, Calle San Martín #475, Tupuraya, D12
-17.376321,-66.164055, Calle Bustillos #476, Queru Queru Bajo, D12
-17.376422,-66.169611, Calle Falsuri #477, Cala Cala Este, D12
-17.384848,-66.169016, Av. Blanco Galindo #478, Tupuraya, D12
-17.372963,-66.165407, Calle Canelas #479, Queru Queru Bajo, D12
-17.374661,-66.166961, Calle San Martín #480, Cala Cala Este, D12
-17.368894,-66.171307, Calle Bustillos #481, Tupuraya, D12
-17.380464,-66.173298, Calle Falsuri #482, Queru Queru Bajo, D12
-17.381207,-66.170292, Av. Blanco Galindo #483, Cala Cala Este, D12
-17.377102,-66.150523, Calle Canelas #484, Tupuraya, D12
-17.372518,-66.151486, Calle San Martín #485, Queru Queru Bajo, D12
-17.370784,-66.173925, Calle Bustillos #486, Cala Cala Este, D12
-17.373305,-66.152012, Calle Falsuri #487, Tupuraya, D12
-17.372147,-66.171892, Av. Blanco Galindo #488, Queru Queru Bajo, D12
-17.374014,-66.156695, Calle Canelas #489, Cala Cala Este, D12
-17.382913,-66.170695, Calle San Martín #490, Tupuraya, D12
-17.381202,-66.167391, Calle Bustillos #491, Queru Queru Bajo, D12
-17.380787,-66.164444, Calle Falsuri #492, Cala Cala Este, D12
-17.369906,-66.168169, Av. Blanco Galindo #493, Tupuraya, D12
-17.375806,-66.167699, Calle Canelas #494, Queru Queru Bajo, D12
-17.391526,-66.178641, Calle San Martín #495, Cala Cala Este, D12
