-17.368206,-66.127676, Calle Bolívar #100, Queru Queru, D1
-17.362827,-66.123551, Calle Baptista #199, Queru Queru, D1
-17.365900,-66.131371, Calle Bolívar #200, Aranjuez, D1
-17.369512,-66.132711, Calle Sucre #201, Mesadilla, D1
-17.371479,-66.120618, Av. Ayacucho #202, Queru Queru, D1
-17.366164,-66.107991, Calle Aroma #203, Aranjuez, D1
-17.374016,-66.115943, Calle Baptista #204, Mesadilla, D1
-17.371215,-66.124089, Calle Bolívar #205, Queru Queru, D1
-17.379469,-66.123394, Calle Sucre #206, Aranjuez, D1
-17.364916,-66.146655, Av. Ayacucho #207, Mesadilla, D1
-17.372937,-66.124866, Calle Aroma #208, Queru Queru, D1
-17.366827,-66.135528, Calle Baptista #209, Aranjuez, D1
-17.372658,-66.121864, Calle Bolívar #210, Mesadilla, D1
-17.379449,-66.123986, Calle Sucre #211, Queru Queru, D1
-17.378506,-66.123139, Av. Ayacucho #212, Aranjuez, D1
-17.366842,-66.135414, Calle Aroma #213, Mesadilla, D1
-17.363277,-66.143843, Calle Baptista #214, Queru Queru, D1
-17.375285,-66.125350, Calle Bolívar #215, Aranjuez, D1
-17.372567,-66.121130, Calle Sucre #216, Mesadilla, D1
-17.369218,-66.127593, Av. Ayacucho #217, Queru Queru, D1
-17.365263,-66.129194, Calle Aroma #218, Aranjuez, D1
-17.367140,-66.112461, Calle Baptista #219, Mesadilla, D1
-17.371165,-66.130483, Calle Bolívar #220, Queru Queru, D1
-17.371785,-66.115659, Calle Sucre #221, Aranjuez, D1
-17.361333,-66.145449, Av. Ayacucho #222, Mesadilla, D1
-17.372199,-66.129356, Calle Aroma #223, Queru Queru, D1
-17.362673,-66.135149, Calle Baptista #224, Aranjuez, D1
-17.370275,-66.119502, Calle Bolívar #225, Mesadilla, D1
-17.360227,-66.148329, Calle Sucre #226, Queru Queru, D1
-17.360941,-66.147356, Av. Ayacucho #227, Aranjuez, D1
-17.369954,-66.120982, Calle Aroma #228, Mesadilla, D1
-17.367336,-66.123854, Calle Baptista #229, Queru Queru, D1
-17.379729,-66.125275, Calle Bolívar #230, Aranjuez, D1
-17.378187,-66.129175, Calle Sucre #231, Mesadilla, D1
-17.370131,-66.139373, Av. Ayacucho #232, Queru Queru, D1
-17.371589,-66.117075, Calle Aroma #233, Aranjuez, D1
-17.366137,-66.118145, Calle Baptista #234, Mesadilla, D1
-17.358804,-66.149989, Calle Bolívar #235, Queru Queru, D1
-17.364603,-66.147420, Calle Sucre #236, Aranjuez, D1
-17.361826,-66.147934, Av. Ayacucho #237, Mesadilla, D1
-17.363693,-66.137580, Calle Aroma #238, Queru Queru, D1
-17.363802,-66.139594, Calle Baptista #239, Aranjuez, D1
-17.371458,-66.111852, Calle Bolívar #240, Mesadilla, D1
-17.362862,-66.137510, Calle Sucre #241, Queru Queru, D1
-17.363894,-66.140658, Av. Ayacucho #242, Aranjuez, D1
-17.367458,-66.143286, Calle Aroma #243, Mesadilla, D1
-17.370070,-66.139471, Calle Baptista #244, Queru Queru, D1
-17.367747,-66.122647, Calle Bolívar #245, Aranjuez, D1
-17.375993,-66.115545, Calle Sucre #246, Mesadilla, D1
-17.374868,-66.115111, Av. Ayacucho #247, Queru Queru, D1
-17.374505,-66.118922, Calle Aroma #248, Aranjuez, D1
-17.364928,-66.133978, Calle Baptista #249, Mesadilla, D1
-17.371256,-66.112672, Calle Bolívar #250, Queru Queru, D1
-17.367458,-66.116536, Calle Sucre #251, Aranjuez, D1
-17.366344,-66.140690, Av. Ayacucho #252, Mesadilla, D1
-17.364004,-66.144872, Calle Aroma #253, Queru Queru, D1
-17.365853,-66.144425, Calle Baptista #254, Aranjuez, D1
-17.369872,-66.113466, Calle Bolívar #255, Mesadilla, D1
-17.374654,-66.130985, Calle Sucre #256, Queru Queru, D1
-17.366174,-66.121540, Av. Ayacucho #257, Aranjuez, D1
-17.363499,-66.132904, Calle Aroma #258, Mesadilla, D1
-17.375743,-66.123077, Calle Baptista #259, Queru Queru, D1
-17.364905,-66.125502, Calle Bolívar #260, Aranjuez, D1
-17.369874,-66.111340, Calle Sucre #261, Mesadilla, D1
-17.363175,-66.135531, Av. Ayacucho #262, Queru Queru, D1
-17.366988,-66.145147, Calle Aroma #263, Aranjuez, D1
-17.373402,-66.120377, Calle Baptista #264, Mesadilla, D1
-17.369944,-66.129493, Calle Bolívar #265, Queru Queru, D1
-17.371147,-66.129042, Calle Sucre #266, Aranjuez, D1
-17.364555,-66.132254, Av. Ayacucho #267, Mesadilla, D1
-17.366309,-66.145706, Calle Aroma #268, Queru Queru, D1
-17.365257,-66.122239, Calle Baptista #269, Aranjuez, D1
-17.367589,-66.108759, Calle Bolívar #270, Mesadilla, D1
-17.369272,-66.122789, Calle Sucre #271, Queru Queru, D1
-17.363305,-66.140195, Av. Ayacucho #272, Aranjuez, D1
-17.373850,-66.114111, Calle Aroma #273, Mesadilla, D1
-17.372100,-66.120346, Calle Baptista #274, Queru Queru, D1
-17.362426,-66.149165, Calle Bolívar #275, Aranjuez, D1
-17.371371,-66.133852, Calle Sucre #276, Mesadilla, D1
-17.363778,-66.119686, Av. Ayacucho #277, Queru Queru, D1
-17.363154,-66.141755, Calle Aroma #278, Aranjuez, D1
-17.369865,-66.111472, Calle Baptista #279, Mesadilla, D1
-17.369410,-66.138598, Calle Bolívar #280, Queru Queru, D1
-17.369854,-66.137997, Calle Sucre #281, Aranjuez, D1
-17.363889,-66.130125, Av. Ayacucho #282, Mesadilla, D1
-17.369121,-66.122860, Calle Aroma #283, Queru Queru, D1
-17.376120,-66.114782, Calle Baptista #284, Aranjuez, D1
-17.371820,-66.111657, Calle Bolívar #285, Mesadilla, D1
-17.370373,-66.112795, Calle Sucre #286, Queru Queru, D1
-17.362088,-66.143105, Av. Ayacucho #287, Aranjuez, D1
-17.363165,-66.134769, Calle Aroma #288, Mesadilla, D1
-17.367098,-66.123058, Calle Baptista #289, Queru Queru, D1
-17.366447,-66.139880, Calle Bolívar #290, Aranjuez, D1
-17.371907,-66.122580, Calle Sucre #291, Mesadilla, D1
-17.369923,-66.126524, Av. Ayacucho #292, Queru Queru, D1
-17.364277,-66.120881, Calle Aroma #293, Aranjuez, D1
-17.374212,-66.122796, Calle Baptista #294, Mesadilla, D1
-17.376926,-66.119496, Calle Bolívar #295, Queru Queru, D1
-17.375814,-66.121470, Calle Sucre #296, Aranjuez, D1
-17.362892,-66.128281, Av. Ayacucho #297, Mesadilla, D1
-17.371873,-66.120616, Calle Aroma #298, Queru Queru, D1
-17.375728,-66.119685, Calle Baptista #299, Aranjuez, D1
-17.363021,-66.125212, Calle Bolívar #300, Mesadilla, D1
-17.360205,-66.147974, Calle Sucre #301, Queru Queru, D1
-17.366361,-66.136004, Av. Ayacucho #302, Aranjuez, D1
-17.373884,-66.113986, Calle Aroma #303, Mesadilla, D1
-17.374191,-66.122013, Calle Baptista #304, Queru Queru, D1
-17.374778,-66.120029, Calle Bolívar #305, Aranjuez, D1
-17.366759,-66.113248, Calle Sucre #306, Mesadilla, D1
-17.370939,-66.122370, Av. Ayacucho #307, Queru Queru, D1
-17.367719,-66.117194, Calle Aroma #308, Aranjuez, D1
-17.365469,-66.140232, Calle Baptista #309, Mesadilla, D1
-17.372485,-66.123586, Calle Bolívar #310, Queru Queru, D1
-17.371252,-66.113718, Calle Sucre #311, Aranjuez, D1
-17.372627,-66.119613, Av. Ayacucho #312, Mesadilla, D1
-17.371231,-66.124888, Calle Aroma #313, Queru Queru, D1
-17.359653,-66.148053, Calle Baptista #314, Aranjuez, D1
-17.366022,-66.136093, Calle Bolívar #315, Mesadilla, D1
-17.366151,-66.126267, Calle Sucre #316, Queru Queru, D1
-17.371053,-66.127911, Av. Ayacucho #317, Aranjuez, D1
-17.364275,-66.142441, Calle Aroma #318, Mesadilla, D1
-17.377272,-66.123989, Calle Baptista #319, Queru Queru, D1
-17.367070,-66.128857, Calle Bolívar #320, Aranjuez, D1
-17.366820,-66.138255, Calle Sucre #321, Mesadilla, D1
-17.379241,-66.121523, Av. Ayacucho #322, Queru Queru, D1
-17.361665,-66.143446, Calle Aroma #323, Aranjuez, D1
-17.365541,-66.122713, Calle Baptista #324, Mesadilla, D1
-17.366448,-66.108454, Calle Bolívar #325, Queru Queru, D1
-17.372213,-66.132255, Calle Sucre #326, Aranjuez, D1
-17.365867,-66.124959, Av. Ayacucho #327, Mesadilla, D1
-17.368126,-66.129790, Calle Aroma #328, Queru Queru, D1
-17.366882,-66.146350, Calle Baptista #329, Aranjuez, D1
-17.374157,-66.113367, Calle Bolívar #330, Mesadilla, D1
-17.370371,-66.121767, Calle Sucre #331, Queru Queru, D1
-17.380252,-66.126273, Av. Ayacucho #332, Aranjuez, D1
-17.370956,-66.111457, Calle Aroma #333, Mesadilla, D1
-17.363805,-66.143635, Calle Baptista #334, Queru Queru, D1
-17.372513,-66.133598, Calle Bolívar #335, Aranjuez, D1
-17.364253,-66.124623, Calle Sucre #336, Mesadilla, D1
-17.379065,-66.126251, Av. Ayacucho #337, Queru Queru, D1
-17.362376,-66.141447, Calle Aroma #338, Aranjuez, D1
-17.371755,-66.115606, Calle Baptista #339, Mesadilla, D1
-17.360976,-66.150002, Calle Bolívar #340, Queru Queru, D1
-17.366192,-66.129930, Calle Sucre #341, Aranjuez, D1
-17.375268,-66.119650, Av. Ayacucho #342, Mesadilla, D1
-17.376828,-66.122194, Calle Aroma #343, Queru Queru, D1
-17.368271,-66.134515, Calle Baptista #344, Aranjuez, D1
-17.373827,-66.135769, Calle Bolívar #345, Mesadilla, D1
-17.361875,-66.143583, Calle Sucre #346, Queru Queru, D1
-17.376328,-66.127388, Av. Ayacucho #347, Aranjuez, D1
-17.372580,-66.135627, Calle Aroma #348, Mesadilla, D1
-17.367156,-66.114812, Calle Baptista #349, Queru Queru, D1
-17.365908,-66.108455, Calle Bolívar #350, Aranjuez, D1
-17.371804,-66.135869, Calle Sucre #351, Mesadilla, D1
-17.362061,-66.137799, Av. Ayacucho #352, Queru Queru, D1
-17.365329,-66.139544, Calle Aroma #353, Aranjuez, D1
-17.376160,-66.118571, Calle Baptista #354, Mesadilla, D1
-17.378993,-66.119223, Calle Bolívar #355, Queru Queru, D1
-17.367150,-66.133185, Calle Sucre #356, Aranjuez, D1
-17.372283,-66.125016, Av. Ayacucho #357, Mesadilla, D1
-17.371623,-66.126684, Calle Aroma #358, Queru Queru, D1
-17.364332,-66.138963, Calle Baptista #359, Aranjuez, D1
-17.365020,-66.123643, Calle Bolívar #360, Mesadilla, D1
-17.364249,-66.119098, Calle Sucre #361, Queru Queru, D1
-17.378293,-66.121816, Av. Ayacucho #362, Aranjuez, D1
-17.368767,-66.140434, Calle Aroma #363, Mesadilla, D1
-17.372583,-66.128953, Calle Baptista #364, Queru Queru, D1
-17.367929,-66.120890, Calle Bolívar #365, Aranjuez, D1
-17.363625,-66.131911, Calle Sucre #366, Mesadilla, D1
-17.367079,-66.135192, Av. Ayacucho #367, Queru Queru, D1
-17.366747,-66.110176, Calle Aroma #368, Aranjuez, D1
-17.365623,-66.141375, Calle Baptista #369, Mesadilla, D1
-17.363930,-66.137697, Calle Bolívar #370, Queru Queru, D1
-17.369139,-66.116366, Calle Sucre #371, Aranjuez, D1
-17.367353,-66.143424, Av. Ayacucho #372, Mesadilla, D1
-17.369197,-66.118850, Calle Aroma #373, Queru Queru, D1
-17.369545,-66.111233, Calle Baptista #374, Aranjuez, D1
-17.368457,-66.133526, Calle Bolívar #375, Mesadilla, D1
-17.365904,-66.112340, Calle Sucre #376, Queru Queru, D1
-17.365048,-66.145095, Av. Ayacucho #377, Aranjuez, D1
-17.366269,-66.112286, Calle Aroma #378, Mesadilla, D1
-17.363353,-66.149477, Calle Baptista #379, Queru Queru, D1
-17.375594,-66.115148, Calle Bolívar #380, Aranjuez, D1
-17.372675,-66.124389, Calle Sucre #381, Mesadilla, D1
-17.372377,-66.115905, Av. Ayacucho #382, Queru Queru, D1
-17.366516,-66.144329, Calle Aroma #383, Aranjuez, D1
-17.369877,-66.126732, Calle Baptista #384, Mesadilla, D1
-17.376537,-66.125792, Calle Bolívar #385, Queru Queru, D1
-17.366508,-66.111513, Calle Sucre #386, Aranjuez, D1
-17.362485,-66.146233, Av. Ayacucho #387, Mesadilla, D1
-17.370828,-66.132713, Calle Aroma #388, Queru Queru, D1
-17.370326,-66.124829, Calle Baptista #389, Aranjuez, D1
-17.371880,-66.124714, Calle Bolívar #390, Mesadilla, D1
-17.363412,-66.127818, Calle Sucre #391, Queru Queru, D1
-17.371447,-66.132834, Av. Ayacucho #392, Aranjuez, D1
-17.363826,-66.132441, Calle Aroma #393, Mesadilla, D1
-17.358559,-66.148100, Calle Baptista #394, Queru Queru, D1
-17.371087,-66.115024, Calle Bolívar #395, Aranjuez, D1
-17.365559,-66.133923, Calle Sucre #396, Mesadilla, D1
-17.364289,-66.120488, Av. Ayacucho #397, Queru Queru, D1
-17.371314,-66.122862, Calle Aroma #398, Aranjuez, D1
-17.365067,-66.134751, Calle Baptista #399, Mesadilla, D1
-17.368096,-66.143034, Calle Bolívar #400, Queru Queru, D1
-17.365583,-66.133175, Calle Sucre #401, Aranjuez, D1
-17.369466,-66.134269, Av. Ayacucho #402, Mesadilla, D1
-17.369747,-66.113601, Calle Aroma #403, Queru Queru, D1
-17.361240,-66.144749, Calle Baptista #404, Aranjuez, D1
-17.367237,-66.127582, Calle Bolívar #405, Mesadilla, D1
-17.373409,-66.127371, Calle Sucre #406, Queru Queru, D1
-17.373437,-66.125791, Av. Ayacucho #407, Aranjuez, D1
-17.370534,-66.124215, Calle Aroma #408, Mesadilla, D1
-17.378773,-66.126474, Calle Baptista #409, Queru Queru, D1
-17.361678,-66.136263, Calle Bolívar #410, Aranjuez, D1
-17.365143,-66.128411, Calle Sucre #411, Mesadilla, D1
-17.361322,-66.141766, Av. Ayacucho #412, Queru Queru, D1
-17.362219,-66.146430, Calle Aroma #413, Aranjuez, D1
-17.374127,-66.117865, Calle Baptista #414, Mesadilla, D1
-17.363148,-66.122689, Calle Bolívar #415, Queru Queru, D1
-17.366905,-66.135398, Calle Sucre #416, Aranjuez, D1
-17.378264,-66.117467, Av. Ayacucho #417, Mesadilla, D1
-17.364264,-66.125545, Calle Aroma #418, Queru Queru, D1
-17.370133,-66.111237, Calle Baptista #419, Aranjuez, D1
-17.365834,-66.144935, Calle Bolívar #420, Mesadilla, D1
-17.365058,-66.123487, Calle Sucre #421, Queru Queru, D1
-17.378489,-66.120965, Av. Ayacucho #422, Aranjuez, D1
-17.364550,-66.141211, Calle Aroma #423, Mesadilla, D1
-17.378247,-66.126321, Calle Baptista #424, Queru Queru, D1
-17.367149,-66.138236, Calle Bolívar #425, Aranjuez, D1
-17.364772,-66.119144, Calle Sucre #426, Mesadilla, D1
-17.371292,-66.122739, Av. Ayacucho #427, Queru Queru, D1
-17.373495,-66.123958, Calle Aroma #428, Aranjuez, D1
-17.374205,-66.122823, Calle Baptista #429, Mesadilla, D1
-17.365377,-66.128208, Calle Bolívar #430, Queru Queru, D1
-17.372088,-66.120598, Calle Sucre #431, Aranjuez, D1
-17.368366,-66.135842, Av. Ayacucho #432, Mesadilla, D1
-17.360302,-66.146846, Calle Aroma #433, Queru Queru, D1
-17.372502,-66.113727, Calle Baptista #434, Aranjuez, D1
-17.365905,-66.117901, Calle Bolívar #435, Mesadilla, D1
-17.371311,-66.120785, Calle Sucre #436, Queru Queru, D1
-17.364554,-66.123521, Av. Ayacucho #437, Aranjuez, D1
-17.363648,-66.128570, Calle Aroma #438, Mesadilla, D1
-17.357898,-66.148493, Calle Baptista #439, Queru Queru, D1
-17.375628,-66.120432, Calle Bolívar #440, Aranjuez, D1
-17.376939,-66.125962, Calle Sucre #441, Mesadilla, D1
-17.366825,-66.109443, Av. Ayacucho #442, Queru Queru, D1
-17.377179,-66.122780, Calle Aroma #443, Aranjuez, D1
-17.370695,-66.120766, Calle Baptista #444, Mesadilla, D1
-17.371929,-66.119977, Calle Bolívar #445, Queru Queru, D1
-17.371393,-66.123466, Calle Sucre #446, Aranjuez, D1
-17.376588,-66.117895, Av. Ayacucho #447, Mesadilla, D1
-17.364864,-66.126241, Calle Aroma #448, Queru Queru, D1
-17.368497,-66.126292, Calle Baptista #449, Aranjuez, D1
-17.371716,-66.113491, Calle Bolívar #450, Mesadilla, D1
-17.366085,-66.109237, Calle Sucre #451, Queru Queru, D1
-17.380244,-66.124232, Av. Ayacucho #452, Aranjuez, D1
-17.368041,-66.114375, Calle Aroma #453, Mesadilla, D1
-17.363351,-66.147289, Calle Baptista #454, Queru Queru, D1
-17.369198,-66.133847, Calle Bolívar #455, Aranjuez, D1
-17.371999,-66.120925, Calle Sucre #456, Mesadilla, D1
-17.364499,-66.148908, Av. Ayacucho #457, Queru Queru, D1
-17.369880,-66.138162, Calle Aroma #458, Aranjuez, D1
-17.377790,-66.121217, Calle Baptista #459, Mesadilla, D1
-17.366375,-66.108140, Calle Bolívar #460, Queru Queru, D1
-17.377111,-66.123419, Calle Sucre #461, Aranjuez, D1
-17.375705,-66.114532, Av. Ayacucho #462, Mesadilla, D1
-17.374725,-66.122652, Calle Aroma #463, Queru Queru, D1
-17.370122,-66.115000, Calle Baptista #464, Aranjuez, D1
-17.366323,-66.119222, Calle Bolívar #465, Mesadilla, D1
-17.365771,-66.123386, Calle Sucre #466, Queru Queru, D1
-17.362072,-66.135505, Av. Ayacucho #467, Aranjuez, D1
-17.368108,-66.141469, Calle Aroma #468, Mesadilla, D1
-17.363193,-66.128201, Calle Baptista #469, Queru Queru, D1
-17.372485,-66.125867, Calle Bolívar #470, Aranjuez, D1
-17.362630,-66.138355, Calle Sucre #471, Mesadilla, D1
-17.372738,-66.114246, Av. Ayacucho #472, Queru Queru, D1
-17.364009,-66.139407, Calle Aroma #473, Aranjuez, D1
-17.377857,-66.120401, Calle Baptista #474, Mesadilla, D1
-17.367893,-66.112316, Calle Bolívar #475, Queru Queru, D1
-17.372973,-66.126069, Calle Sucre #476, Aranjuez, D1
-17.369171,-66.114966, Av. Ayacucho #477, Mesadilla, D1
-17.364201,-66.121821, Calle Aroma #478, Queru Queru, D1
-17.369441,-66.133237, Calle Baptista #479, Aranjuez, D1
-17.367934,-66.142294, Calle Bolívar #480, Mesadilla, D1
-17.366482,-66.136758, Calle Sucre #481, Queru Queru, D1
-17.363235,-66.130317, Av. Ayacucho #482, Aranjuez, D1
-17.374197,-66.130242, Calle Aroma #483, Mesadilla, D1
-17.378207,-66.117440, Calle Baptista #484, Queru Queru, D1
-17.363357,-66.145174, Calle Bolívar #485, Aranjuez, D1
-17.369547,-66.118134, Calle Sucre #486, Mesadilla, D1
-17.378183,-66.120465, Av. Ayacucho #487, Queru Queru, D1
-17.370273,-66.129957, Calle Aroma #488, Aranjuez, D1
-17.369262,-66.120270, Calle Baptista #489, Mesadilla, D1
-17.370499,-66.112278, Calle Bolívar #490, Queru Queru, D1
-17.369828,-66.120827, Calle Sucre #491, Aranjuez, D1
-17.377180,-66.118716, Av. Ayacucho #492, Mesadilla, D1
-17.372890,-66.134133, Calle Aroma #493, Queru Queru, D1
-17.375049,-66.122015, Calle Baptista #494, Aranjuez, D1
-17.371001,-66.123761, Calle Bolívar #495, Mesadilla, D1
-17.368631,-66.121748, Calle Sucre #496, Queru Queru, D1
-17.369253,-66.125188, Av. Ayacucho #497, Aranjuez, D1
-17.372533,-66.135065, Calle Aroma #498, Mesadilla, D1
-17.373298,-66.118582, Calle Baptista #499, Queru Queru, D1
-17.363646,-66.142954, Calle Bolívar #500, Aranjuez, D1
-17.365640,-66.112792, Calle Sucre #501, Mesadilla, D1
-17.373877,-66.125408, Av. Ayacucho #502, Queru Queru, D1
-17.373134,-66.133145, Calle Aroma #503, Aranjuez, D1
-17.376479,-66.126760, Calle Baptista #504, Mesadilla, D1
-17.370980,-66.138185, Calle Bolívar #505, Queru Queru, D1
-17.368449,-66.132237, Calle Sucre #506, Aranjuez, D1
-17.367912,-66.110416, Av. Ayacucho #507, Mesadilla, D1
-17.365415,-66.123780, Calle Aroma #508, Queru Queru, D1
-17.364788,-66.143342, Calle Baptista #509, Aranjuez, D1
-17.363440,-66.130915, Calle Bolívar #510, Mesadilla, D1
-17.372331,-66.133736, Calle Sucre #511, Queru Queru, D1
-17.368276,-66.110331, Av. Ayacucho #512, Aranjuez, D1
-17.368788,-66.135750, Calle Aroma #513, Mesadilla, D1
-17.371615,-66.120808, Calle Baptista #514, Queru Queru, D1
-17.369806,-66.130721, Calle Bolívar #515, Aranjuez, D1
-17.366016,-66.113195, Calle Sucre #516, Mesadilla, D1
-17.375231,-66.124116, Av. Ayacucho #517, Queru Queru, D1
-17.373559,-66.120836, Calle Aroma #518, Aranjuez, D1
-17.369730,-66.126606, Calle Baptista #519, Mesadilla, D1
-17.377972,-66.123556, Calle Bolívar #520, Queru Queru, D1
-17.364068,-66.149219, Calle Sucre #521, Aranjuez, D1
-17.363265,-66.130773, Av. Ayacucho #522, Mesadilla, D1
-17.367505,-66.120753, Calle Aroma #523, Queru Queru, D1
-17.371912,-66.117683, Calle Baptista #524, Aranjuez, D1
-17.369913,-66.126224, Calle Bolívar #525, Mesadilla, D1
-17.364861,-66.130336, Calle Sucre #526, Queru Queru, D1
-17.367052,-66.121319, Av. Ayacucho #527, Aranjuez, D1
