-17.360417,-66.151182, Calle Alemania #100, Cala Cala, D2
-17.363881,-66.150917, Calle Mendoza #203, Temporal Pampa, D2
-17.358025,-66.177917, Calle Litoral #204, Mayorazgo, D2
-17.362730,-66.166777, Calle Alemania #205, Cala Cala, D2
-17.357163,-66.183849, Calle Ecuador #206, Temporal Pampa, D2
-17.347616,-66.195921, Av. Circunvalación #207, Mayorazgo, D2
-17.345876,-66.177926, Calle Mendoza #208, Cala Cala, D2
-17.351246,-66.175631, Calle Litoral #209, Temporal Pampa, D2
-17.347144,-66.192840, Calle Alemania #210, Mayorazgo, D2
-17.346840,-66.186863, Calle Ecuador #211, Cala Cala, D2
-17.340080,-66.190332, Av. Circunvalación #212, Temporal Pampa, D2
-17.347833,-66.170031, Calle Mendoza #213, Mayorazgo, D2
-17.339051,-66.180297, Calle Litoral #214, Cala Cala, D2
-17.351122,-66.183698, Calle Alemania #215, Temporal Pampa, D2
-17.354717,-66.183529, Calle Ecuador #216, Mayorazgo, D2
-17.352157,-66.170039, Av. Circunvalación #217, Cala Cala, D2
-17.347434,-66.197626, Calle Mendoza #218, Temporal Pampa, D2
-17.353161,-66.171686, Calle Litoral #219, Mayorazgo, D2
-17.351406,-66.178604, Calle Alemania #220, Cala Cala, D2
-17.362617,-66.177542, Calle Ecuador #221, Temporal Pampa, D2
-17.343204,-66.183948, Av. Circunvalación #222, Mayorazgo, D2
-17.357967,-66.152459, Calle Mendoza #223, Cala Cala, D2
-17.352127,-66.176698, Calle Litoral #224, Temporal Pampa, D2
-17.344875,-66.189621, Calle Alemania #225, Mayorazgo, D2
-17.343842,-66.193449, Calle Ecuador #226, Cala Cala, D2
-17.338848,-66.190563, Av. Circunvalación #227, Temporal Pampa, D2
-17.356061,-66.155632, Calle Mendoza #228, Mayorazgo, D2
-17.340254,-66.185406, Calle Litoral #229, Cala Cala, D2
-17.355240,-66.178136, Calle Alemania #230, Temporal Pampa, D2
-17.345142,-66.191637, Calle Ecuador #231, Mayorazgo, D2
-17.345580,-66.189007, Av. Circunvalación #232, Cala Cala, D2
-17.346699,-66.175820, Calle Mendoza #233, Temporal Pampa, D2
-17.345741,-66.192675, Calle Litoral #234, Mayorazgo, D2
-17.346822,-66.197163, Calle Alemania #235, Cala Cala, D2
-17.366129,-66.151450, Calle Ecuador #236, Temporal Pampa, D2
-17.341408,-66.186376, Av. Circunvalación #237, Mayorazgo, D2
-17.349450,-66.187999, Calle Mendoza #238, Cala Cala, D2
-17.347477,-66.179645, Calle Litoral #239, Temporal Pampa, D2
-17.360864,-66.167852, Calle Alemania #240, Mayorazgo, D2
-17.347266,-66.192172, Calle Ecuador #241, Cala Cala, D2
-17.353276,-66.182841, Av. Circunvalación #242, Temporal Pampa, D2
-17.352757,-66.172478, Calle Mendoza #243, Mayorazgo, D2
-17.351631,-66.172449, Calle Litoral #244, Cala Cala, D2
-17.348119,-66.185446, Calle Alemania #245, Temporal Pampa, D2
-17.363917,-66.164400, Calle Ecuador #246, Mayorazgo, D2
-17.345944,-66.188140, Av. Circunvalación #247, Cala Cala, D2
-17.362357,-66.172800, Calle Mendoza #248, Temporal Pampa, D2
-17.340694,-66.184573, Calle Litoral #249, Mayorazgo, D2
-17.341336,-66.184501, Calle Alemania #250, Cala Cala, D2
-17.339721,-66.185810, Calle Ecuador #251, Temporal Pampa, D2
-17.356262,-66.173032, Av. Circunvalación #252, Mayorazgo, D2
-17.359956,-66.155595, Calle Mendoza #253, Cala Cala, D2
-17.360971,-66.152604, Calle Litoral #254, Temporal Pampa, D2
-17.360975,-66.151507, Calle Alemania #255, Mayorazgo, D2
-17.344974,-66.189172, Calle Ecuador #256, Cala Cala, D2
-17.337823,-66.193100, Av. Circunvalación #257, Temporal Pampa, D2
-17.352216,-66.160889, Calle Mendoza #258, Mayorazgo, D2
-17.355164,-66.167449, Calle Litoral #259, Cala Cala, D2
-17.358000,-66.161193, Calle Alemania #260, Temporal Pampa, D2
-17.351976,-66.187408, Calle Ecuador #261, Mayorazgo, D2
-17.358591,-66.164216, Av. Circunvalación #262, Cala Cala, D2
-17.357519,-66.166886, Calle Mendoza #263, Temporal Pampa, D2
-17.351965,-66.171835, Calle Litoral #264, Mayorazgo, D2
-17.353080,-66.169839, Calle Alemania #265, Cala Cala, D2
-17.338698,-66.184831, Calle Ecuador #266, Temporal Pampa, D2
-17.360008,-66.160812, Av. Circunvalación #267, Mayorazgo, D2
-17.350818,-66.189166, Calle Mendoza #268, Cala Cala, D2
-17.352342,-66.188849, Calle Litoral #269, Temporal Pampa, D2
-17.340056,-66.194261, Calle Alemania #270, Mayorazgo, D2
-17.354084,-66.170822, Calle Ecuador #271, Cala Cala, D2
-17.355261,-66.179806, Av. Circunvalación #272, Temporal Pampa, D2
-17.365181,-66.153292, Calle Mendoza #273, Mayorazgo, D2
-17.362959,-66.175143, Calle Litoral #274, Cala Cala, D2
-17.360680,-66.166945, Calle Alemania #275, Temporal Pampa, D2
-17.357527,-66.158128, Calle Ecuador #276, Mayorazgo, D2
-17.345832,-66.180230, Av. Circunvalación #277, Cala Cala, D2
-17.345617,-66.170004, Calle Mendoza #278, Temporal Pampa, D2
-17.353802,-66.161150, Calle Litoral #279, Mayorazgo, D2
-17.364539,-66.172717, Calle Alemania #280, Cala Cala, D2
-17.362210,-66.157842, Calle Ecuador #281, Temporal Pampa, D2
-17.341804,-66.193698, Av. Circunvalación #282, Mayorazgo, D2
-17.347720,-66.185103, Calle Mendoza #283, Cala Cala, D2
-17.352842,-66.176381, Calle Litoral #284, Temporal Pampa, D2
-17.355383,-66.160703, Calle Alemania #285, Mayorazgo, D2
-17.360121,-66.178805, Calle Ecuador #286, Cala Cala, D2
-17.340162,-66.188043, Av. Circunvalación #287, Temporal Pampa, D2
-17.358579,-66.175229, Calle Mendoza #288, Mayorazgo, D2
-17.342555,-66.177061, Calle Litoral #289, Cala Cala, D2
-17.343805,-66.174353, Calle Alemania #290, Temporal Pampa, D2
-17.356344,-66.172223, Calle Ecuador #291, Mayorazgo, D2
-17.349451,-66.164525, Av. Circunvalación #292, Cala Cala, D2
-17.347626,-66.171483, Calle Mendoza #293, Temporal Pampa, D2
-17.346915,-66.186609, Calle Litoral #294, Mayorazgo, D2
-17.340289,-66.187686, Calle Alemania #295, Cala Cala, D2
-17.366174,-66.150581, Calle Ecuador #296, Temporal Pampa, D2
-17.358390,-66.155508, Av. Circunvalación #297, Mayorazgo, D2
-17.352565,-66.175197, Calle Mendoza #298, Cala Cala, D2
-17.362715,-66.154261, Calle Litoral #299, Temporal Pampa, D2
-17.341469,-66.179135, Calle Alemania #300, Mayorazgo, D2
-17.364279,-66.162835, Calle Ecuador #301, Cala Cala, D2
-17.358360,-66.168790, Av. Circunvalación #302, Temporal Pampa, D2
-17.353044,-66.176733, Calle Mendoza #303, Mayorazgo, D2
-17.350433,-66.179294, Calle Litoral #304, Cala Cala, D2
-17.365390,-66.153285, Calle Alemania #305, Temporal Pampa, D2
-17.363639,-66.176558, Calle Ecuador #306, Mayorazgo, D2
-17.351051,-66.174116, Av. Circunvalación #307, Cala Cala, D2
-17.347980,-66.175497, Calle Mendoza #308, Temporal Pampa, D2
-17.354446,-66.166721, Calle Litoral #309, Mayorazgo, D2
-17.361108,-66.171867, Calle Alemania #310, Cala Cala, D2
-17.344597,-66.193564, Calle Ecuador #311, Temporal Pampa, D2
-17.358375,-66.170622, Av. Circunvalación #312, Mayorazgo, D2
-17.350660,-66.184715, Calle Mendoza #313, Cala Cala, D2
-17.360063,-66.173441, Calle Litoral #314, Temporal Pampa, D2
-17.359705,-66.161807, Calle Alemania #315, Mayorazgo, D2
-17.343065,-66.183695, Calle Ecuador #316, Cala Cala, D2
-17.357250,-66.162612, Av. Circunvalación #317, Temporal Pampa, D2
-17.341522,-66.188877, Calle Mendoza #318, Mayorazgo, D2
-17.357364,-66.164748, Calle Litoral #319, Cala Cala, D2
-17.343944,-66.194481, Calle Alemania #320, Temporal Pampa, D2
-17.359588,-66.173596, Calle Ecuador #321, Mayorazgo, D2
-17.349378,-66.170271, Av. Circunvalación #322, Cala Cala, D2
-17.362809,-66.174702, Calle Mendoza #323, Temporal Pampa, D2
-17.358121,-66.155992, Calle Litoral #324, Mayorazgo, D2
-17.356671,-66.171951, Calle Alemania #325, Cala Cala, D2
-17.357444,-66.160385, Calle Ecuador #326, Temporal Pampa, D2
-17.361989,-66.158751, Av. Circunvalación #327, Mayorazgo, D2
-17.340630,-66.177310, Calle Mendoza #328, Cala Cala, D2
-17.339915,-66.176569, Calle Litoral #329, Temporal Pampa, D2
-17.340272,-66.182120, Calle Alemania #330, Mayorazgo, D2
-17.355550,-66.156322, Calle Ecuador #331, Cala Cala, D2
-17.337879,-66.186575, Av. Circunvalación #332, Temporal Pampa, D2
-17.353891,-66.162729, Calle Mendoza #333, Mayorazgo, D2
-17.358566,-66.178284, Calle Litoral #334, Cala Cala, D2
-17.356599,-66.152281, Calle Alemania #335, Temporal Pampa, D2
-17.339148,-66.182985, Calle Ecuador #336, Mayorazgo, D2
-17.344423,-66.193793, Av. Circunvalación #337, Cala Cala, D2
-17.359470,-66.158972, Calle Mendoza #338, Temporal Pampa, D2
-17.351216,-66.178025, Calle Litoral #339, Mayorazgo, D2
-17.351894,-66.187841, Calle Alemania #340, Cala Cala, D2
-17.354285,-66.173607, Calle Ecuador #341, Temporal Pampa, D2
-17.353680,-66.165181, Av. Circunvalación #342, Mayorazgo, D2
-17.346121,-66.184256, Calle Mendoza #343, Cala Cala, D2
-17.343048,-66.196357, Calle Litoral #344, Temporal Pampa, D2
-17.344974,-66.181855, Calle Alemania #345, Mayorazgo, D2
-17.340910,-66.189517, Calle Ecuador #346, Cala Cala, D2
-17.350740,-66.187214, Av. Circunvalación #347, Temporal Pampa, D2
-17.337017,-66.185135, Calle Mendoza #348, Mayorazgo, D2
-17.339344,-66.190386, Calle Litoral #349, Cala Cala, D2
-17.339742,-66.189950, Calle Alemania #350, Temporal Pampa, D2
-17.347869,-66.169057, Calle Ecuador #351, Mayorazgo, D2
-17.356173,-66.159336, Av. Circunvalación #352, Cala Cala, D2
-17.359508,-66.161247, Calle Mendoza #353, Temporal Pampa, D2
-17.358625,-66.157691, Calle Litoral #354, Mayorazgo, D2
-17.341016,-66.194098, Calle Alemania #355, Cala Cala, D2
-17.361226,-66.156253, Calle Ecuador #356, Temporal Pampa, D2
-17.351958,-66.183560, Av. Circunvalación #357, Mayorazgo, D2
-17.359722,-66.170132, Calle Mendoza #358, Cala Cala, D2
-17.351400,-66.166581, Calle Litoral #359, Temporal Pampa, D2
-17.340089,-66.193597, Calle Alemania #360, Mayorazgo, D2
-17.350152,-66.188968, Calle Ecuador #361, Cala Cala, D2
-17.363856,-66.172261, Av. Circunvalación #362, Temporal Pampa, D2
-17.339470,-66.187967, Calle Mendoza #363, Mayorazgo, D2
-17.348609,-66.184332, Calle Litoral #364, Cala Cala, D2
-17.354416,-66.166399, Calle Alemania #365, Temporal Pampa, D2
-17.357364,-66.167646, Calle Ecuador #366, Mayorazgo, D2
-17.357202,-66.151398, Av. Circunvalación #367, Cala Cala, D2
-17.350154,-66.177543, Calle Mendoza #368, Temporal Pampa, D2
-17.360245,-66.163118, Calle Litoral #369, Mayorazgo, D2
-17.353803,-66.187404, Calle Alemania #370, Cala Cala, D2
-17.344795,-66.193453, Calle Ecuador #371, Temporal Pampa, D2
-17.340148,-66.177655, Av. Circunvalación #372, Mayorazgo, D2
-17.363298,-66.174022, Calle Mendoza #373, Cala Cala, D2
-17.340222,-66.179662, Calle Litoral #374, Temporal Pampa, D2
-17.359636,-66.170393, Calle Alemania #375, Mayorazgo, D2
-17.351093,-66.162835, Calle Ecuador #376, Cala Cala, D2
-17.359307,-66.159445, Av. Circunvalación #377, Temporal Pampa, D2
-17.353894,-66.169268, Calle Mendoza #378, Mayorazgo, D2
-17.339717,-66.182497, Calle Litoral #379, Cala Cala, D2
-17.350735,-66.187663, Calle Alemania #380, Temporal Pampa, D2
-17.352785,-66.187779, Calle Ecuador #381, Mayorazgo, D2
-17.360764,-66.180687, Av. Circunvalación #382, Cala Cala, D2
-17.347558,-66.169318, Calle Mendoza #383, Temporal Pampa, D2
-17.349258,-66.173574, Calle Litoral #384, Mayorazgo, D2
-17.353607,-66.175067, Calle Alemania #385, Cala Cala, D2
-17.350044,-66.188873, Calle Ecuador #386, Temporal Pampa, D2
-17.346721,-66.193802, Av. Circunvalación #387, Mayorazgo, D2
-17.354782,-66.176613, Calle Mendoza #388, Cala Cala, D2
-17.363624,-66.158510, Calle Litoral #389, Temporal Pampa, D2
-17.347689,-66.191000, Calle Alemania #390, Mayorazgo, D2
-17.353029,-66.183752, Calle Ecuador #391, Cala Cala, D2
-17.364918,-66.157017, Av. Circunvalación #392, Temporal Pampa, D2
-17.346647,-66.182388, Calle Mendoza #393, Mayorazgo, D2
-17.357962,-66.174956, Calle Litoral #394, Cala Cala, D2
-17.349119,-66.179445, Calle Alemania #395, Temporal Pampa, D2
-17.344212,-66.179048, Calle Ecuador #396, Mayorazgo, D2
-17.337652,-66.184981, Av. Circunvalación #397, Cala Cala, D2
-17.342551,-66.185848, Calle Mendoza #398, Temporal Pampa, D2
-17.347797,-66.183038, Calle Litoral #399, Mayorazgo, D2
-17.364958,-66.149883, Calle Alemania #400, Cala Cala, D2
-17.344735,-66.192780, Calle Ecuador #401, Temporal Pampa, D2
-17.361327,-66.176465, Av. Circunvalación #402, Mayorazgo, D2
-17.361177,-66.155478, Calle Mendoza #403, Cala Cala, D2
-17.352634,-66.180001, Calle Litoral #404, Temporal Pampa, D2
-17.361742,-66.176116, Calle Alemania #405, Mayorazgo, D2
-17.356169,-66.173528, Calle Ecuador #406, Cala Cala, D2
-17.360034,-66.161974, Av. Circunvalación #407, Temporal Pampa, D2
-17.347639,-66.193058, Calle Mendoza #408, Mayorazgo, D2
-17.362874,-66.154546, Calle Litoral #409, Cala Cala, D2
-17.361082,-66.180741, Calle Alemania #410, Temporal Pampa, D2
-17.353989,-66.175015, Calle Ecuador #411, Mayorazgo, D2
-17.341068,-66.184312, Av. Circunvalación #412, Cala Cala, D2
-17.356468,-66.181546, Calle Mendoza #413, Temporal Pampa, D2
-17.351189,-66.168177, Calle Litoral #414, Mayorazgo, D2
-17.354845,-66.162703, Calle Alemania #415, Cala Cala, D2
-17.357865,-66.174160, Calle Ecuador #416, Temporal Pampa, D2
-17.340758,-66.186438, Av. Circunvalación #417, Mayorazgo, D2
-17.343870,-66.185149, Calle Mendoza #418, Cala Cala, D2
-17.348908,-66.191355, Calle Litoral #419, Temporal Pampa, D2
-17.339185,-66.193739, Calle Alemania #420, Mayorazgo, D2
-17.337762,-66.182568, Calle Ecuador #421, Cala Cala, D2
-17.341301,-66.195765, Av. Circunvalación #422, Temporal Pampa, D2
-17.357070,-66.152275, Calle Mendoza #423, Mayorazgo, D2
-17.356193,-66.154524, Calle Litoral #424, Cala Cala, D2
-17.360926,-66.162639, Calle Alemania #425, Temporal Pampa, D2
-17.358596,-66.150446, Calle Ecuador #426, Mayorazgo, D2
-17.348618,-66.173797, Av. Circunvalación #427, Cala Cala, D2
-17.346731,-66.196730, Calle Mendoza #428, Temporal Pampa, D2
-17.354658,-66.163779, Calle Litoral #429, Mayorazgo, D2
-17.351598,-66.185837, Calle Alemania #430, Cala Cala, D2
-17.359585,-66.173151, Calle Ecuador #431, Temporal Pampa, D2
-17.353563,-66.172427, Av. Circunvalación #432, Mayorazgo, D2
-17.341339,-66.192138, Calle Mendoza #433, Cala Cala, D2
-17.357827,-66.154007, Calle Litoral #434, Temporal Pampa, D2
-17.338192,-66.189893, Calle Alemania #435, Mayorazgo, D2
-17.339446,-66.184546, Calle Ecuador #436, Cala Cala, D2
-17.354306,-66.164759, Av. Circunvalación #437, Temporal Pampa, D2
-17.347624,-66.194860, Calle Mendoza #438, Mayorazgo, D2
-17.347393,-66.193978, Calle Litoral #439, Cala Cala, D2
-17.349815,-66.173081, Calle Alemania #440, Temporal Pampa, D2
-17.365219,-66.151349, Calle Ecuador #441, Mayorazgo, D2
-17.359467,-66.171079, Av. Circunvalación #442, Cala Cala, D2
-17.353493,-66.172382, Calle Mendoza #443, Temporal Pampa, D2
-17.361985,-66.172041, Calle Litoral #444, Mayorazgo, D2
-17.352543,-66.189319, Calle Alemania #445, Cala Cala, D2
-17.361050,-66.167006, Calle Ecuador #446, Temporal Pampa, D2
-17.356414,-66.152792, Av. Circunvalación #447, Mayorazgo, D2
-17.360327,-66.170165, Calle Mendoza #448, Cala Cala, D2
-17.359962,-66.179142, Calle Litoral #449, Temporal Pampa, D2
-17.361698,-66.175032, Calle Alemania #450, Mayorazgo, D2
-17.364653,-66.169123, Calle Ecuador #451, Cala Cala, D2
-17.342744,-66.183486, Av. Circunvalación #452, Temporal Pampa, D2
-17.363742,-66.171571, Calle Mendoza #453, Mayorazgo, D2
-17.361650,-66.164536, Calle Litoral #454, Cala Cala, D2
-17.339708,-66.182289, Calle Alemania #455, Temporal Pampa, D2
-17.356666,-66.167231, Calle Ecuador #456, Mayorazgo, D2
-17.344719,-66.195398, Av. Circunvalación #457, Cala Cala, D2
-17.352054,-66.187994, Calle Mendoza #458, Temporal Pampa, D2
-17.348321,-66.179389, Calle Litoral #459, Mayorazgo, D2
-17.359074,-66.170650, Calle Alemania #460, Cala Cala, D2
-17.343022,-66.179331, Calle Ecuador #461, Temporal Pampa, D2
-17.349127,-66.181369, Av. Circunvalación #462, Mayorazgo, D2
-17.358403,-66.152361, Calle Mendoza #463, Cala Cala, D2
-17.344427,-66.197401, Calle Litoral #464, Temporal Pampa, D2
-17.350925,-66.183200, Calle Alemania #465, Mayorazgo, D2
-17.351429,-66.177239, Calle Ecuador #466, Cala Cala, D2
-17.350634,-66.185425, Av. Circunvalación #467, Temporal Pampa, D2
-17.339826,-66.193048, Calle Mendoza #468, Mayorazgo, D2
-17.345914,-66.189614, Calle Litoral #469, Cala Cala, D2
-17.358412,-66.164138, Calle Alemania #470, Temporal Pampa, D2
-17.364031,-66.158174, Calle Ecuador #471, Mayorazgo, D2
-17.363291,-66.175440, Av. Circunvalación #472, Cala Cala, D2
-17.363544,-66.171806, Calle Mendoza #473, Temporal Pampa, D2
-17.345288,-66.180015, Calle Litoral #474, Mayorazgo, D2
-17.346592,-66.182002, Calle Alemania #475, Cala Cala, D2
-17.346421,-66.183286, Calle Ecuador #476, Temporal Pampa, D2
-17.352660,-66.163536, Av. Circunvalación #477, Mayorazgo, D2
-17.359114,-66.173789, Calle Mendoza #478, Cala Cala, D2
-17.349972,-66.167172, Calle Litoral #479, Temporal Pampa, D2
-17.348706,-66.171902, Calle Alemania #480, Mayorazgo, D2
-17.358179,-66.160468, Calle Ecuador #481, Cala Cala, D2
-17.355276,-66.163568, Av. Circunvalación #482, Temporal Pampa, D2
-17.347622,-66.193133, Calle Mendoza #483, Mayorazgo, D2
-17.342045,-66.186529, Calle Litoral #484, Cala Cala, D2
-17.353949,-66.174052, Calle Alemania #485, Temporal Pampa, D2
-17.360252,-66.150834, Calle Ecuador #486, Mayorazgo, D2
-17.337681,-66.189992, Av. Circunvalación #487, Cala Cala, D2
-17.357356,-66.174616, Calle Mendoza #488, Temporal Pampa, D2
-17.361949,-66.166876, Calle Litoral #489, Mayorazgo, D2
-17.361024,-66.180734, Calle Alemania #490, Cala Cala, D2
-17.362867,-66.156024, Calle Ecuador #491, Temporal Pampa, D2
-17.364458,-66.155884, Av. Circunvalación #492, Mayorazgo, D2
-17.364136,-66.161667, Calle Mendoza #493, Cala Cala, D2
-17.361367,-66.168397, Calle Litoral #494, Temporal Pampa, D2
-17.349595,-66.179037, Calle Alemania #495, Mayorazgo, D2
-17.346178,-66.187690, Calle Ecuador #496, Cala Cala, D2
-17.365993,-66.152626, Av. Circunvalación #497, Temporal Pampa, D2
-17.350612,-66.174604, Calle Mendoza #498, Mayorazgo, D2
-17.357799,-66.170480, Calle Litoral #499, Cala Cala, D2
-17.360097,-66.173091, Calle Alemania #500, Temporal Pampa, D2
-17.364538,-66.157388, Calle Ecuador #501, Mayorazgo, D2
-17.346236,-66.188660, Av. Circunvalación #502, Cala Cala, D2
-17.362339,-66.155546, Calle Mendoza #503, Temporal Pampa, D2
-17.346998,-66.169195, Calle Litoral #504, Mayorazgo, D2
-17.359457,-66.158047, Calle Alemania #505, Cala Cala, D2
-17.355133,-66.167293, Calle Ecuador #506, Temporal Pampa, D2
-17.340912,-66.183286, Av. Circunvalación #507, Mayorazgo, D2
-17.346898,-66.176004, Calle Mendoza #508, Cala Cala, D2
-17.339606,-66.186444, Calle Litoral #509, Temporal Pampa, D2
-17.350113,-66.169157, Calle Alemania #510, Mayorazgo, D2
-17.364143,-66.174240, Calle Ecuador #511, Cala Cala, D2
-17.345628,-66.196493, Av. Circunvalación #512, Temporal Pampa, D2
