-17.407483,-66.175647, Av. Blanco Galindo #100, Hipódromo, D4
-17.406086,-66.177448, Calle Tupuraya #206, La Chimba, D4
-17.395507,-66.179761, Calle Melchor Pérez #207, Coña Coña, D4
-17.394703,-66.201985, Calle Jordán #208, Hipódromo, D4
-17.405200,-66.172609, Calle Portales #209, La Chimba, D4
-17.401948,-66.188800, Av. Blanco Galindo #210, Coña Coña, D4
-17.385213,-66.197586, Calle Tupuraya #211, Hipódromo, D4
-17.393541,-66.189918, Calle Melchor Pérez #212, La Chimba, D4
-17.397857,-66.192038, Calle Jordán #213, Coña Coña, D4
-17.394676,-66.186176, Calle Portales #214, Hipódromo, D4
-17.403171,-66.179831, Av. Blanco Galindo #215, La Chimba, D4
-17.389286,-66.204117, Calle Tupuraya #216, Coña Coña, D4
-17.394994,-66.178041, Calle Melchor Pérez #217, Hipódromo, D4
-17.398545,-66.215381, Calle Jordán #218, La Chimba, D4
-17.394035,-66.207803, Calle Portales #219, Coña Coña, D4
-17.397922,-66.200636, Av. Blanco Galindo #220, Hipódromo, D4
-17.394306,-66.190351, Calle Tupuraya #221, La Chimba, D4
-17.390197,-66.200667, Calle Melchor Pérez #222, Coña Coña, D4
-17.397606,-66.205480, Calle Jordán #223, Hipódromo, D4
-17.394665,-66.187628, Calle Portales #224, La Chimba, D4
-17.383714,-66.205280, Av. Blanco Galindo #225, Coña Coña, D4
-17.400189,-66.202455, Calle Tupuraya #226, Hipódromo, D4
-17.403334,-66.171716, Calle Melchor Pérez #227, La Chimba, D4
-17.393804,-66.183808, Calle Jordán #228, Coña Coña, D4
-17.397440,-66.199257, Calle Portales #229, Hipódromo, D4
-17.395176,-66.187271, Av. Blanco Galindo #230, La Chimba, D4
-17.397075,-66.211503, Calle Tupuraya #231, Coña Coña, D4
-17.397381,-66.178379, Calle Melchor Pérez #232, Hipódromo, D4
-17.388977,-66.197583, Calle Jordán #233, La Chimba, D4
-17.399357,-66.207797, Calle Portales #234, Coña Coña, D4
-17.393121,-66.192900, Av. Blanco Galindo #235, Hipódromo, D4
-17.390751,-66.200172, Calle Tupuraya #236, La Chimba, D4
-17.393415,-66.193584, Calle Melchor Pérez #237, Coña Coña, D4
-17.397070,-66.209764, Calle Jordán #238, Hipódromo, D4
-17.403130,-66.173667, Calle Portales #239, La Chimba, D4
-17.382478,-66.202775, Av. Blanco Galindo #240, Coña Coña, D4
-17.393997,-66.175348, Calle Tupuraya #241, Hipódromo, D4
-17.404105,-66.197316, Calle Melchor Pérez #242, La Chimba, D4
-17.399550,-66.191582, Calle Jordán #243, Coña Coña, D4
-17.402039,-66.185709, Calle Portales #244, Hipódromo, D4
-17.397380,-66.175693, Av. Blanco Galindo #245, La Chimba, D4
-17.391874,-66.197301, Calle Tupuraya #246, Coña Coña, D4
-17.398520,-66.192940, Calle Melchor Pérez #247, Hipódromo, D4
-17.403227,-66.188793, Calle Jordán #248, La Chimba, D4
-17.391066,-66.207133, Calle Portales #249, Coña Coña, D4
-17.396251,-66.187203, Av. Blanco Galindo #250, Hipódromo, D4
-17.399254,-66.210163, Calle Tupuraya #251, La Chimba, D4
-17.396670,-66.190848, Calle Melchor Pérez #252, Coña Coña, D4
-17.402688,-66.172976, Calle Jordán #253, Hipódromo, D4
-17.395984,-66.206568, Calle Portales #254, La Chimba, D4
-17.394340,-66.184921, Av. Blanco Galindo #255, Coña Coña, D4
-17.406886,-66.189013, Calle Tupuraya #256, Hipódromo, D4
-17.394751,-66.174760, Calle Melchor Pérez #257, La Chimba, D4
-17.390088,-66.206742, Calle Jordán #258, Coña Coña, D4
-17.403152,-66.181212, Calle Portales #259, Hipódromo, D4
-17.394558,-66.183045, Av. Blanco Galindo #260, La Chimba, D4
-17.387412,-66.200127, Calle Tupuraya #261, Coña Coña, D4
-17.392469,-66.204157, Calle Melchor Pérez #262, Hipódromo, D4
-17.396889,-66.178403, Calle Jordán #263, La Chimba, D4
-17.399499,-66.215804, Calle Portales #264, Coña Coña, D4
-17.395674,-66.189424, Av. Blanco Galindo #265, Hipódromo, D4
-17.403259,-66.179488, Calle Tupuraya #266, La Chimba, D4
-17.386200,-66.201404, Calle Melchor Pérez #267, Coña Coña, D4
-17.390267,-66.197986, Calle Jordán #268, Hipódromo, D4
-17.388397,-66.197358, Calle Portales #269, La Chimba, D4
-17.388617,-66.207680, Av. Blanco Galindo #270, Coña Coña, D4
-17.399836,-66.210593, Calle Tupuraya #271, Hipódromo, D4
-17.409355,-66.174792, Calle Melchor Pérez #272, La Chimba, D4
-17.407688,-66.186550, Calle Jordán #273, Coña Coña, D4
-17.387641,-66.201667, Calle Portales #274, Hipódromo, D4
-17.393775,-66.188348, Av. Blanco Galindo #275, La Chimba, D4
-17.395150,-66.204405, Calle Tupuraya #276, Coña Coña, D4
-17.388993,-66.198456, Calle Melchor Pérez #277, Hipódromo, D4
-17.399804,-66.207033, Calle Jordán #278, La Chimba, D4
-17.402226,-66.186407, Calle Portales #279, Coña Coña, D4
-17.393180,-66.200194, Av. Blanco Galindo #280, Hipódromo, D4
-17.398132,-66.179386, Calle Tupuraya #281, La Chimba, D4
-17.396853,-66.172972, Calle Melchor Pérez #282, Coña Coña, D4
-17.396936,-66.169359, Calle Jordán #283, Hipódromo, D4
-17.392409,-66.201339, Calle Portales #284, La Chimba, D4
-17.404504,-66.197688, Av. Blanco Galindo #285, Coña Coña, D4
-17.390467,-66.199510, Calle Tupuraya #286, Hipódromo, D4
-17.408427,-66.184196, Calle Melchor Pérez #287, La Chimba, D4
-17.404929,-66.184799, Calle Jordán #288, Coña Coña, D4
-17.399642,-66.196179, Calle Portales #289, Hipódromo, D4
-17.395437,-66.201166, Av. Blanco Galindo #290, La Chimba, D4
-17.406234,-66.185097, Calle Tupuraya #291, Coña Coña, D4
-17.395890,-66.183141, Calle Melchor Pérez #292, Hipódromo, D4
-17.405349,-66.173339, Calle Jordán #293, La Chimba, D4
-17.396752,-66.175428, Calle Portales #294, Coña Coña, D4
-17.393791,-66.186098, Av. Blanco Galindo #295, Hipódromo, D4
-17.406406,-66.185138, Calle Tupuraya #296, La Chimba, D4
-17.395796,-66.183187, Calle Melchor Pérez #297, Coña Coña, D4
-17.394315,-66.186387, Calle Jordán #298, Hipódromo, D4
-17.398301,-66.173809, Calle Portales #299, La Chimba, D4
-17.396730,-66.207963, Av. Blanco Galindo #300, Coña Coña, D4
-17.403399,-66.173159, Calle Tupuraya #301, Hipódromo, D4
-17.405767,-66.188755, Calle Melchor Pérez #302, La Chimba, D4
-17.397552,-66.170294, Calle Jordán #303, Coña Coña, D4
-17.399025,-66.188135, Calle Portales #304, Hipódromo, D4
-17.396197,-66.176742, Av. Blanco Galindo #305, La Chimba, D4
-17.397297,-66.186645, Calle Tupuraya #306, Coña Coña, D4
-17.391359,-66.207588, Calle Melchor Pérez #307, Hipódromo, D4
-17.386866,-66.199452, Calle Jordán #308, La Chimba, D4
-17.394186,-66.202620, Calle Portales #309, Coña Coña, D4
-17.403770,-66.185001, Av. Blanco Galindo #310, Hipódromo, D4
-17.398767,-66.179283, Calle Tupuraya #311, La Chimba, D4
-17.397836,-66.182844, Calle Melchor Pérez #312, Coña Coña, D4
-17.386717,-66.200391, Calle Jordán #313, Hipódromo, D4
-17.404970,-66.177438, Calle Portales #314, La Chimba, D4
-17.399838,-66.184830, Av. Blanco Galindo #315, Coña Coña, D4
-17.393857,-66.203047, Calle Tupuraya #316, Hipódromo, D4
-17.400179,-66.177225, Calle Melchor Pérez #317, La Chimba, D4
-17.387338,-66.199137, Calle Jordán #318, Coña Coña, D4
-17.394045,-66.174234, Calle Portales #319, Hipódromo, D4
-17.399754,-66.172835, Av. Blanco Galindo #320, La Chimba, D4
-17.381718,-66.197420, Calle Tupuraya #321, Coña Coña, D4
-17.399541,-66.196211, Calle Melchor Pérez #322, Hipódromo, D4
-17.399626,-66.188477, Calle Jordán #323, La Chimba, D4
-17.395801,-66.177940, Calle Portales #324, Coña Coña, D4
-17.389172,-66.199694, Av. Blanco Galindo #325, Hipódromo, D4
-17.399088,-66.176046, Calle Tupuraya #326, La Chimba, D4
-17.395865,-66.186151, Calle Melchor Pérez #327, Coña Coña, D4
-17.407970,-66.186214, Calle Jordán #328, Hipódromo, D4
-17.398554,-66.208865, Calle Portales #329, La Chimba, D4
-17.399397,-66.193451, Av. Blanco Galindo #330, Coña Coña, D4
-17.400175,-66.202110, Calle Tupuraya #331, Hipódromo, D4
-17.396327,-66.200622, Calle Melchor Pérez #332, La Chimba, D4
-17.405918,-66.173739, Calle Jordán #333, Coña Coña, D4
-17.399321,-66.182901, Calle Portales #334, Hipódromo, D4
-17.403879,-66.179865, Av. Blanco Galindo #335, La Chimba, D4
-17.383207,-66.198600, Calle Tupuraya #336, Coña Coña, D4
-17.394857,-66.171028, Calle Melchor Pérez #337, Hipódromo, D4
-17.399922,-66.197125, Calle Jordán #338, La Chimba, D4
-17.398897,-66.201013, Calle Portales #339, Coña Coña, D4
-17.399110,-66.185124, Av. Blanco Galindo #340, Hipódromo, D4
-17.399947,-66.207534, Calle Tupuraya #341, La Chimba, D4
-17.406397,-66.185352, Calle Melchor Pérez #342, Coña Coña, D4
-17.384381,-66.198114, Calle Jordán #343, Hipódromo, D4
-17.388678,-66.207471, Calle Portales #344, La Chimba, D4
-17.383124,-66.206795, Av. Blanco Galindo #345, Coña Coña, D4
-17.404788,-66.181109, Calle Tupuraya #346, Hipódromo, D4
-17.385947,-66.207700, Calle Melchor Pérez #347, La Chimba, D4
-17.407064,-66.184947, Calle Jordán #348, Coña Coña, D4
-17.385071,-66.200902, Calle Portales #349, Hipódromo, D4
-17.394303,-66.172058, Av. Blanco Galindo #350, La Chimba, D4
-17.400180,-66.169543, Calle Tupuraya #351, Coña Coña, D4
-17.399935,-66.185551, Calle Melchor Pérez #352, Hipódromo, D4
-17.400272,-66.196133, Calle Jordán #353, La Chimba, D4
-17.385043,-66.199475, Calle Portales #354, Coña Coña, D4
-17.403394,-66.182445, Av. Blanco Galindo #355, Hipódromo, D4
-17.394819,-66.173917, Calle Tupuraya #356, La Chimba, D4
-17.396858,-66.211901, Calle Melchor Pérez #357, Coña Coña, D4
-17.395206,-66.172997, Calle Jordán #358, Hipódromo, D4
-17.401296,-66.197911, Calle Portales #359, La Chimba, D4
-17.382318,-66.204054, Av. Blanco Galindo #360, Coña Coña, D4
-17.396404,-66.169984, Calle Tupuraya #361, Hipódromo, D4
-17.391146,-66.205044, Calle Melchor Pérez #362, La Chimba, D4
-17.404218,-66.173700, Calle Jordán #363, Coña Coña, D4
-17.397310,-66.169331, Calle Portales #364, Hipódromo, D4
-17.410180,-66.178885, Av. Blanco Galindo #365, La Chimba, D4
-17.386195,-66.206451, Calle Tupuraya #366, Coña Coña, D4
-17.397994,-66.193687, Calle Melchor Pérez #367, Hipódromo, D4
-17.388661,-66.200869, Calle Jordán #368, La Chimba, D4
-17.404532,-66.178831, Calle Portales #369, Coña Coña, D4
-17.404251,-66.171964, Av. Blanco Galindo #370, Hipódromo, D4
-17.403058,-66.185063, Calle Tupuraya #371, La Chimba, D4
-17.406023,-66.187160, Calle Melchor Pérez #372, Coña Coña, D4
-17.393586,-66.199206, Calle Jordán #373, Hipódromo, D4
-17.403147,-66.186490, Calle Portales #374, La Chimba, D4
-17.398909,-66.188953, Av. Blanco Galindo #375, Coña Coña, D4
-17.395617,-66.188907, Calle Tupuraya #376, Hipódromo, D4
-17.404579,-66.187480, Calle Melchor Pérez #377, La Chimba, D4
-17.403047,-66.177909, Calle Jordán #378, Coña Coña, D4
-17.382299,-66.197048, Calle Portales #379, Hipódromo, D4
-17.383316,-66.201184, Av. Blanco Galindo #380, La Chimba, D4
-17.398435,-66.179780, Calle Tupuraya #381, Coña Coña, D4
-17.398421,-66.170627, Calle Melchor Pérez #382, Hipódromo, D4
-17.382183,-66.202948, Calle Jordán #383, La Chimba, D4
-17.395820,-66.204476, Calle Portales #384, Coña Coña, D4
-17.399369,-66.197318, Av. Blanco Galindo #385, Hipódromo, D4
-17.402585,-66.197353, Calle Tupuraya #386, La Chimba, D4
-17.403388,-66.174592, Calle Melchor Pérez #387, Coña Coña, D4
-17.402061,-66.178701, Calle Jordán #388, Hipódromo, D4
-17.397483,-66.182572, Calle Portales #389, La Chimba, D4
-17.381834,-66.199919, Av. Blanco Galindo #390, Coña Coña, D4
-17.396244,-66.171057, Calle Tupuraya #391, Hipódromo, D4
-17.394574,-66.186332, Calle Melchor Pérez #392, La Chimba, D4
-17.399295,-66.171292, Calle Jordán #393, Coña Coña, D4
-17.397081,-66.192995, Calle Portales #394, Hipódromo, D4
-17.398473,-66.188844, Av. Blanco Galindo #395, La Chimba, D4
-17.395360,-66.190144, Calle Tupuraya #396, Coña Coña, D4
-17.398777,-66.193464, Calle Melchor Pérez #397, Hipódromo, D4
-17.393858,-66.181005, Calle Jordán #398, La Chimba, D4
-17.406170,-66.179978, Calle Portales #399, Coña Coña, D4
-17.385546,-66.207360, Av. Blanco Galindo #400, Hipódromo, D4
-17.404717,-66.183569, Calle Tupuraya #401, La Chimba, D4
-17.394128,-66.177968, Calle Melchor Pérez #402, Coña Coña, D4
-17.396601,-66.183301, Calle Jordán #403, Hipódromo, D4
-17.394026,-66.188744, Calle Portales #404, La Chimba, D4
-17.403103,-66.198580, Av. Blanco Galindo #405, Coña Coña, D4
-17.395280,-66.207448, Calle Tupuraya #406, Hipódromo, D4
-17.399900,-66.208803, Calle Melchor Pérez #407, La Chimba, D4
-17.404010,-66.183771, Calle Jordán #408, Coña Coña, D4
-17.401109,-66.169541, Calle Portales #409, Hipódromo, D4
-17.401519,-66.182431, Av. Blanco Galindo #410, La Chimba, D4
-17.398358,-66.214149, Calle Tupuraya #411, Coña Coña, D4
-17.395908,-66.196681, Calle Melchor Pérez #412, Hipódromo, D4
-17.398447,-66.182449, Calle Jordán #413, La Chimba, D4
-17.402622,-66.170982, Calle Portales #414, Coña Coña, D4
-17.394657,-66.172589, Av. Blanco Galindo #415, Hipódromo, D4
-17.394201,-66.181693, Calle Tupuraya #416, La Chimba, D4
-17.398554,-66.179931, Calle Melchor Pérez #417, Coña Coña, D4
-17.408231,-66.177700, Calle Jordán #418, Hipódromo, D4
-17.402975,-66.178929, Calle Portales #419, La Chimba, D4
-17.395340,-66.190666, Av. Blanco Galindo #420, Coña Coña, D4
-17.389521,-66.207242, Calle Tupuraya #421, Hipódromo, D4
-17.409110,-66.177933, Calle Melchor Pérez #422, La Chimba, D4
-17.393079,-66.192467, Calle Jordán #423, Coña Coña, D4
-17.395574,-66.204393, Calle Portales #424, Hipódromo, D4
-17.405278,-66.181010, Av. Blanco Galindo #425, La Chimba, D4
-17.398385,-66.194281, Calle Tupuraya #426, Coña Coña, D4
-17.389408,-66.201045, Calle Melchor Pérez #427, Hipódromo, D4
-17.397554,-66.187500, Calle Jordán #428, La Chimba, D4
-17.399636,-66.190099, Calle Portales #429, Coña Coña, D4
-17.395826,-66.207924, Av. Blanco Galindo #430, Hipódromo, D4
-17.390954,-66.206232, Calle Tupuraya #431, La Chimba, D4
-17.400381,-66.197381, Calle Melchor Pérez #432, Coña Coña, D4
-17.398678,-66.181292, Calle Jordán #433, Hipódromo, D4
-17.399498,-66.188742, Calle Portales #434, La Chimba, D4
-17.388654,-66.199627, Av. Blanco Galindo #435, Coña Coña, D4
-17.383534,-66.206295, Calle Tupuraya #436, Hipódromo, D4
-17.398780,-66.196139, Calle Melchor Pérez #437, La Chimba, D4
-17.386305,-66.203491, Calle Jordán #438, Coña Coña, D4
-17.397782,-66.205073, Calle Portales #439, Hipódromo, D4
-17.399393,-66.214770, Av. Blanco Galindo #440, La Chimba, D4
-17.405213,-66.197392, Calle Tupuraya #441, Coña Coña, D4
-17.407262,-66.177295, Calle Melchor Pérez #442, Hipódromo, D4
-17.403187,-66.173968, Calle Jordán #443, La Chimba, D4
-17.382740,-66.206202, Calle Portales #444, Coña Coña, D4
-17.396086,-66.194273, Av. Blanco Galindo #445, Hipódromo, D4
-17.397341,-66.192937, Calle Tupuraya #446, La Chimba, D4
-17.384963,-66.201135, Calle Melchor Pérez #447, Coña Coña, D4
-17.404861,-66.183157, Calle Jordán #448, Hipódromo, D4
-17.384070,-66.202595, Calle Portales #449, La Chimba, D4
-17.393992,-66.185822, Av. Blanco Galindo #450, Coña Coña, D4
-17.396504,-66.207617, Calle Tupuraya #451, Hipódromo, D4
-17.409842,-66.181970, Calle Melchor Pérez #452, La Chimba, D4
-17.400788,-66.177645, Calle Jordán #453, Coña Coña, D4
-17.399524,-66.184827, Calle Portales #454, Hipódromo, D4
-17.390172,-66.207177, Av. Blanco Galindo #455, La Chimba, D4
-17.399775,-66.184791, Calle Tupuraya #456, Coña Coña, D4
-17.396829,-66.209398, Calle Melchor Pérez #457, Hipódromo, D4
-17.396148,-66.168382, Calle Jordán #458, La Chimba, D4
-17.386359,-66.200511, Calle Portales #459, Coña Coña, D4
-17.394045,-66.185257, Av. Blanco Galindo #460, Hipódromo, D4
-17.394797,-66.190005, Calle Tupuraya #461, La Chimba, D4
-17.399270,-66.174280, Calle Melchor Pérez #462, Coña Coña, D4
-17.396161,-66.173865, Calle Jordán #463, Hipódromo, D4
-17.403025,-66.198074, Calle Portales #464, La Chimba, D4
-17.396614,-66.207524, Av. Blanco Galindo #465, Coña Coña, D4
-17.404806,-66.183199, Calle Tupuraya #466, Hipódromo, D4
-17.399348,-66.205364, Calle Melchor Pérez #467, La Chimba, D4
-17.400671,-66.197468, Calle Jordán #468, Coña Coña, D4
-17.397688,-66.192577, Calle Portales #469, Hipódromo, D4
-17.398881,-66.199567, Av. Blanco Galindo #470, La Chimba, D4
-17.395573,-66.179414, Calle Tupuraya #471, Coña Coña, D4
-17.399230,-66.214656, Calle Melchor Pérez #472, Hipódromo, D4
-17.395768,-66.174519, Calle Jordán #473, La Chimba, D4
-17.395361,-66.207765, Calle Portales #474, Coña Coña, D4
-17.389482,-66.198818, Av. Blanco Galindo #475, Hipódromo, D4
-17.392344,-66.204979, Calle Tupuraya #476, La Chimba, D4
-17.394236,-66.186017, Calle Melchor Pérez #477, Coña Coña, D4
-17.383721,-66.206183, Calle Jordán #478, Hipódromo, D4
-17.390772,-66.204798, Calle Portales #479, La Chimba, D4
-17.406596,-66.186175, Av. Blanco Galindo #480, Coña Coña, D4
-17.397073,-66.169753, Calle Tupuraya #481, Hipódromo, D4
-17.382678,-66.200470, Calle Melchor Pérez #482, La Chimba, D4
-17.407378,-66.179658, Calle Jordán #483, Coña Coña, D4
-17.394054,-66.198283, Calle Portales #484, Hipódromo, D4
-17.387705,-66.201929, Av. Blanco Galindo #485, La Chimba, D4
-17.403131,-66.180136, Calle Tupuraya #486, Coña Coña, D4
-17.395686,-66.189176, Calle Melchor Pérez #487, Hipódromo, D4
-17.395087,-66.181199, Calle Jordán #488, La Chimba, D4
-17.388215,-66.207165, Calle Portales #489, Coña Coña, D4
-17.403437,-66.185326, Av. Blanco Galindo #490, Hipódromo, D4
-17.394231,-66.169821, Calle Tupuraya #491, La Chimba, D4
-17.404523,-66.189037, Calle Melchor Pérez #492, Coña Coña, D4
-17.395714,-66.178855, Calle Jordán #493, Hipódromo, D4
-17.385440,-66.201708, Calle Portales #494, La Chimba, D4
-17.398144,-66.206240, Av. Blanco Galindo #495, Coña Coña, D4
-17.397466,-66.178272, Calle Tupuraya #496, Hipódromo, D4
-17.400073,-66.199831, Calle Melchor Pérez #497, La Chimba, D4
-17.400973,-66.176733, Calle Jordán #498, Coña Coña, D4
-17.409974,-66.179999, Calle Portales #499, Hipódromo, D4
-17.405831,-66.198632, Av. Blanco Galindo #500, La Chimba, D4
-17.399307,-66.210024, Calle Tupuraya #501, Coña Coña, D4
-17.392497,-66.202654, Calle Melchor Pérez #502, Hipódromo, D4
-17.407483,-66.186766, Calle Jordán #503, La Chimba, D4
-17.405867,-66.181790, Calle Portales #504, Coña Coña, D4
-17.396203,-66.198846, Av. Blanco Galindo #505, Hipódromo, D4
-17.390516,-66.207867, Calle Tupuraya #506, La Chimba, D4
-17.408369,-66.182466, Calle Melchor Pérez #507, Coña Coña, D4
-17.396197,-66.168199, Calle Jordán #508, Hipódromo, D4
-17.398204,-66.180425, Calle Portales #509, La Chimba, D4
-17.404584,-66.182212, Av. Blanco Galindo #510, Coña Coña, D4
-17.398806,-66.206010, Calle Tupuraya #511, Hipódromo, D4
-17.406154,-66.184876, Calle Melchor Pérez #512, La Chimba, D4
-17.393680,-66.185120, Calle Jordán #513, Coña Coña, D4
-17.406204,-66.189578, Calle Portales #514, Hipódromo, D4
-17.398324,-66.212659, Av. Blanco Galindo #515, La Chimba, D4
-17.397716,-66.169769, Calle Tupuraya #516, Coña Coña, D4
