-17.433056,-66.138849, Calle Roma #100, Ticti Norte, D8
-17.469680,-66.101572, Calle Hamburgo #216, Ushpa Ushpa, D8
-17.472128,-66.097048, Calle Ticti #217, Ticti Norte, D8
-17.463506,-66.107681, Calle Sierra Nevada #218, Valle Hermoso, D8
-17.452310,-66.093603, Calle Colorado #219, Ushpa Ushpa, D8
-17.467166,-66.096929, Calle Roma #220, Ticti Norte, D8
-17.468621,-66.085554, Calle Hamburgo #221, Valle Hermoso, D8
-17.429711,-66.132495, Calle Ticti #222, Ushpa Ushpa, D8
-17.462506,-66.119544, Calle Sierra Nevada #223, Ticti Norte, D8
-17.439836,-66.140849, Calle Colorado #224, Valle Hermoso, D8
-17.470601,-66.105235, Calle Roma #225, Ushpa Ushpa, D8
-17.455837,-66.097192, Calle Hamburgo #226, Ticti Norte, D8
-17.476202,-66.095958, Calle Ticti #227, Valle Hermoso, D8
-17.454837,-66.105296, Calle Sierra Nevada #228, Ushpa Ushpa, D8
-17.459514,-66.117989, Calle Colorado #229, Ticti Norte, D8
-17.441447,-66.135130, Calle Roma #230, Valle Hermoso, D8
-17.451766,-66.098403, Calle Hamburgo #231, Ushpa Ushpa, D8
-17.437633,-66.131161, Calle Ticti #232, Ticti Norte, D8
-17.458321,-66.121388, Calle Sierra Nevada #233, Valle Hermoso, D8
-17.465057,-66.106721, Calle Colorado #234, Ushpa Ushpa, D8
-17.442313,-66.100894, Calle Roma #235, Ticti Norte, D8
-17.461050,-66.092038, Calle Hamburgo #236, Valle Hermoso, D8
-17.474307,-66.089099, Calle Ticti #237, Ushpa Ushpa, D8
-17.478394,-66.107660, Calle Sierra Nevada #238, Ticti Norte, D8
-17.479243,-66.108955, Calle Colorado #239, Valle Hermoso, D8
-17.446867,-66.129569, Calle Roma #240, Ushpa Ushpa, D8
-17.463873,-66.109646, Calle Hamburgo #241, Ticti Norte, D8
-17.431626,-66.131590, Calle Ticti #242, Valle Hermoso, D8
-17.437903,-66.141273, Calle Sierra Nevada #243, Ushpa Ushpa, D8
-17.457609,-66.089907, Calle Colorado #244, Ticti Norte, D8
-17.429291,-66.137123, Calle Roma #245, Valle Hermoso, D8
-17.460576,-66.110739, Calle Hamburgo #246, Ushpa Ushpa, D8
-17.453248,-66.120364, Calle Ticti #247, Ticti Norte, D8
-17.464166,-66.088203, Calle Sierra Nevada #248, Valle Hermoso, D8
-17.430630,-66.142648, Calle Colorado #249, Ushpa Ushpa, D8
-17.442053,-66.127392, Calle Roma #250, Ticti Norte, D8
-17.437022,-66.129575, Calle Hamburgo #251, Valle Hermoso, D8
-17.432373,-66.133005, Calle Ticti #252, Ushpa Ushpa, D8
-17.468531,-66.098746, Calle Sierra Nevada #253, Ticti Norte, D8
-17.451615,-66.119333, Calle Colorado #254, Valle Hermoso, D8
-17.459486,-66.108604, Calle Roma #255, Ushpa Ushpa, D8
-17.465096,-66.092417, Calle Hamburgo #256, Ticti Norte, D8
-17.434509,-66.135041, Calle Ticti #257, Valle Hermoso, D8
-17.477773,-66.090747, Calle Sierra Nevada #258, Ushpa Ushpa, D8
-17.458927,-66.104580, Calle Colorado #259, Ticti Norte, D8
-17.442806,-66.138923, Calle Roma #260, Valle Hermoso, D8
-17.441026,-66.140924, Calle Hamburgo #261, Ushpa Ushpa, D8
-17.443071,-66.135865, Calle Ticti #262, Ticti Norte, D8
-17.443033,-66.126911, Calle Sierra Nevada #263, Valle Hermoso, D8
-17.474720,-66.110966, Calle Colorado #264, Ushpa Ushpa, D8
-17.475159,-66.107306, Calle Roma #265, Ticti Norte, D8
-17.441073,-66.137576, Calle Hamburgo #266, Valle Hermoso, D8
-17.432054,-66.142506, Calle Ticti #267, Ushpa Ushpa, D8
-17.465559,-66.086957, Calle Sierra Nevada #268, Ticti Norte, D8
-17.456535,-66.104736, Calle Colorado #269, Valle Hermoso, D8
-17.460989,-66.114168, Calle Roma #270, Ushpa Ushpa, D8
-17.454516,-66.119480, Calle Hamburgo #271, Ticti Norte, D8
-17.467705,-66.097305, Calle Ticti #272, Valle Hermoso, D8
-17.440587,-66.137448, Calle Sierra Nevada #273, Ushpa Ushpa, D8
-17.460223,-66.098643, Calle Colorado #274, Ticti Norte, D8
-17.474634,-66.096262, Calle Roma #275, Valle Hermoso, D8
-17.465734,-66.093553, Calle Hamburgo #276, Ushpa Ushpa, D8
-17.476305,-66.101318, Calle Ticti #277, Ticti Norte, D8
-17.447438,-66.102747, Calle Sierra Nevada #278, Valle Hermoso, D8
-17.467247,-66.099089, Calle Colorado #279, Ushpa Ushpa, D8
-17.462367,-66.104840, Calle Roma #280, Ticti Norte, D8
-17.464672,-66.090716, Calle Hamburgo #281, Valle Hermoso, D8
-17.436391,-66.133199, Calle Ticti #282, Ushpa Ushpa, D8
-17.470351,-66.091254, Calle Sierra Nevada #283, Ticti Norte, D8
-17.476883,-66.091943, Calle Colorado #284, Valle Hermoso, D8
-17.464701,-66.086368, Calle Roma #285, Ushpa Ushpa, D8
-17.426157,-66.140287, Calle Hamburgo #286, Ticti Norte, D8
-17.459539,-66.089760, Calle Ticti #287, Valle Hermoso, D8
-17.427401,-66.135608, Calle Sierra Nevada #288, Ushpa Ushpa, D8
-17.448645,-66.100274, Calle Colorado #289, Ticti Norte, D8
-17.461525,-66.097403, Calle Roma #290, Valle Hermoso, D8
-17.452722,-66.102038, Calle Hamburgo #291, Ushpa Ushpa, D8
-17.461297,-66.089369, Calle Ticti #292, Ticti Norte, D8
-17.444508,-66.124028, Calle Sierra Nevada #293, Valle Hermoso, D8
-17.456133,-66.098763, Calle Colorado #294, Ushpa Ushpa, D8
-17.434791,-66.147033, Calle Roma #295, Ticti Norte, D8
-17.473283,-66.105239, Calle Hamburgo #296, Valle Hermoso, D8
-17.447462,-66.099356, Calle Ticti #297, Ushpa Ushpa, D8
-17.467667,-66.089168, Calle Sierra Nevada #298, Ticti Norte, D8
-17.444495,-66.131442, Calle Colorado #299, Valle Hermoso, D8
-17.442692,-66.133557, Calle Roma #300, Ushpa Ushpa, D8
-17.482439,-66.097232, Calle Hamburgo #301, Ticti Norte, D8
-17.478057,-66.101452, Calle Ticti #302, Valle Hermoso, D8
-17.458369,-66.090802, Calle Sierra Nevada #303, Ushpa Ushpa, D8
-17.444174,-66.126406, Calle Colorado #304, Ticti Norte, D8
-17.432749,-66.138860, Calle Roma #305, Valle Hermoso, D8
-17.466297,-66.099647, Calle Hamburgo #306, Ushpa Ushpa, D8
-17.445209,-66.133194, Calle Ticti #307, Ticti Norte, D8
-17.446146,-66.130705, Calle Sierra Nevada #308, Valle Hermoso, D8
-17.448492,-66.122352, Calle Colorado #309, Ushpa Ushpa, D8
-17.456253,-66.100463, Calle Roma #310, Ticti Norte, D8
-17.454328,-66.103755, Calle Hamburgo #311, Valle Hermoso, D8
-17.465242,-66.110984, Calle Ticti #312, Ushpa Ushpa, D8
-17.428772,-66.145943, Calle Sierra Nevada #313, Ticti Norte, D8
-17.467606,-66.110100, Calle Colorado #314, Valle Hermoso, D8
-17.460564,-66.102266, Calle Roma #315, Ushpa Ushpa, D8
-17.462867,-66.118242, Calle Hamburgo #316, Ticti Norte, D8
-17.465036,-66.094118, Calle Ticti #317, Valle Hermoso, D8
-17.429944,-66.136198, Calle Sierra Nevada #318, Ushpa Ushpa, D8
-17.427006,-66.141577, Calle Colorado #319, Ticti Norte, D8
-17.452295,-66.103188, Calle Roma #320, Valle Hermoso, D8
-17.452910,-66.125375, Calle Hamburgo #321, Ushpa Ushpa, D8
-17.440027,-66.100164, Calle Ticti #322, Ticti Norte, D8
-17.443503,-66.120856, Calle Sierra Nevada #323, Valle Hermoso, D8
-17.433851,-66.135641, Calle Colorado #324, Ushpa Ushpa, D8
-17.431552,-66.147302, Calle Roma #325, Ticti Norte, D8
-17.459046,-66.109662, Calle Hamburgo #326, Valle Hermoso, D8
-17.451954,-66.097831, Calle Ticti #327, Ushpa Ushpa, D8
-17.479891,-66.094738, Calle Sierra Nevada #328, Ticti Norte, D8
-17.475386,-66.099647, Calle Colorado #329, Valle Hermoso, D8
-17.465038,-66.090126, Calle Roma #330, Ushpa Ushpa, D8
-17.456591,-66.120718, Calle Hamburgo #331, Ticti Norte, D8
-17.474554,-66.109494, Calle Ticti #332, Valle Hermoso, D8
-17.447029,-66.102378, Calle Sierra Nevada #333, Ushpa Ushpa, D8
-17.460859,-66.087466, Calle Colorado #334, Ticti Norte, D8
-17.429812,-66.133331, Calle Roma #335, Valle Hermoso, D8
-17.434985,-66.135023, Calle Hamburgo #336, Ushpa Ushpa, D8
-17.456409,-66.092155, Calle Ticti #337, Ticti Norte, D8
-17.426441,-66.140168, Calle Sierra Nevada #338, Valle Hermoso, D8
-17.430268,-66.147016, Calle Colorado #339, Ushpa Ushpa, D8
-17.462911,-66.102905, Calle Roma #340, Ticti Norte, D8
-17.437760,-66.135703, Calle Hamburgo #341, Valle Hermoso, D8
-17.466008,-66.089135, Calle Ticti #342, Ushpa Ushpa, D8
-17.480042,-66.098960, Calle Sierra Nevada #343, Ticti Norte, D8
-17.467293,-66.102358, Calle Colorado #344, Valle Hermoso, D8
-17.468818,-66.086611, Calle Roma #345, Ushpa Ushpa, D8
-17.432332,-66.141251, Calle Hamburgo #346, Ticti Norte, D8
-17.472903,-66.094442, Calle Ticti #347, Valle Hermoso, D8
-17.447396,-66.099217, Calle Sierra Nevada #348, Ushpa Ushpa, D8
-17.438638,-66.135831, Calle Colorado #349, Ticti Norte, D8
-17.428022,-66.139037, Calle Roma #350, Valle Hermoso, D8
-17.462459,-66.102394, Calle Hamburgo #351, Ushpa Ushpa, D8
-17.444044,-66.100238, Calle Ticti #352, Ticti Norte, D8
-17.461384,-66.088458, Calle Sierra Nevada #353, Valle Hermoso, D8
-17.451660,-66.101076, Calle Colorado #354, Ushpa Ushpa, D8
-17.459092,-66.108636, Calle Roma #355, Ticti Norte, D8
-17.472465,-66.100804, Calle Hamburgo #356, Valle Hermoso, D8
-17.461062,-66.107875, Calle Ticti #357, Ushpa Ushpa, D8
-17.431167,-66.144362, Calle Sierra Nevada #358, Ticti Norte, D8
-17.429092,-66.133666, Calle Colorado #359, Valle Hermoso, D8
-17.434780,-66.140583, Calle Roma #360, Ushpa Ushpa, D8
-17.468121,-66.111267, Calle Hamburgo #361, Ticti Norte, D8
-17.449554,-66.124009, Calle Ticti #362, Valle Hermoso, D8
-17.467461,-66.097993, Calle Sierra Nevada #363, Ushpa Ushpa, D8
-17.446536,-66.097429, Calle Colorado #364, Ticti Norte, D8
-17.476160,-66.106095, Calle Roma #365, Valle Hermoso, D8
-17.474149,-66.103016, Calle Hamburgo #366, Ushpa Ushpa, D8
-17.464778,-66.089525, Calle Ticti #367, Ticti Norte, D8
-17.454917,-66.124930, Calle Sierra Nevada #368, Valle Hermoso, D8
-17.467576,-66.108968, Calle Colorado #369, Ushpa Ushpa, D8
-17.433437,-66.133390, Calle Roma #370, Ticti Norte, D8
-17.429778,-66.132416, Calle Hamburgo #371, Valle Hermoso, D8
-17.451228,-66.099702, Calle Ticti #372, Ushpa Ushpa, D8
-17.471828,-66.100400, Calle Sierra Nevada #373, Ticti Norte, D8
-17.469070,-66.102987, Calle Colorado #374, Valle Hermoso, D8
-17.474593,-66.103488, Calle Roma #375, Ushpa Ushpa, D8
-17.464802,-66.089410, Calle Hamburgo #376, Ticti Norte, D8
-17.477531,-66.099405, Calle Ticti #377, Valle Hermoso, D8
-17.471596,-66.095887, Calle Sierra Nevada #378, Ushpa Ushpa, D8
-17.435990,-66.142617, Calle Colorado #379, Ticti Norte, D8
-17.479424,-66.098054, Calle Roma #380, Valle Hermoso, D8
-17.441653,-66.127692, Calle Hamburgo #381, Ushpa Ushpa, D8
-17.474257,-66.096041, Calle Ticti #382, Ticti Norte, D8
-17.455044,-66.124477, Calle Sierra Nevada #383, Valle Hermoso, D8
-17.456135,-66.120209, Calle Colorado #384, Ushpa Ushpa, D8
-17.477526,-66.104371, Calle Roma #385, Ticti Norte, D8
-17.472056,-66.099471, Calle Hamburgo #386, Valle Hermoso, D8
-17.430705,-66.143418, Calle Ticti #387, Ushpa Ushpa, D8
-17.440478,-66.133556, Calle Sierra Nevada #388, Ticti Norte, D8
-17.477789,-66.099518, Calle Colorado #389, Valle Hermoso, D8
-17.481712,-66.105669, Calle Roma #390, Ushpa Ushpa, D8
-17.461359,-66.114713, Calle Hamburgo #391, Ticti Norte, D8
-17.445278,-66.121929, Calle Ticti #392, Valle Hermoso, D8
-17.465837,-66.109438, Calle Sierra Nevada #393, Ushpa Ushpa, D8
-17.441683,-66.135876, Calle Colorado #394, Ticti Norte, D8
-17.457204,-66.094086, Calle Roma #395, Valle Hermoso, D8
-17.481284,-66.099950, Calle Hamburgo #396, Ushpa Ushpa, D8
-17.463470,-66.092174, Calle Ticti #397, Ticti Norte, D8
-17.432998,-66.131982, Calle Sierra Nevada #398, Valle Hermoso, D8
-17.445050,-66.131546, Calle Colorado #399, Ushpa Ushpa, D8
-17.433811,-66.145006, Calle Roma #400, Ticti Norte, D8
-17.479895,-66.100854, Calle Hamburgo #401, Valle Hermoso, D8
-17.476992,-66.108863, Calle Ticti #402, Ushpa Ushpa, D8
-17.431011,-66.144510, Calle Sierra Nevada #403, Ticti Norte, D8
-17.469823,-66.093144, Calle Colorado #404, Valle Hermoso, D8
-17.430022,-66.142414, Calle Roma #405, Ushpa Ushpa, D8
-17.479805,-66.106960, Calle Hamburgo #406, Ticti Norte, D8
-17.467005,-66.104905, Calle Ticti #407, Valle Hermoso, D8
-17.449909,-66.123267, Calle Sierra Nevada #408, Ushpa Ushpa, D8
-17.456157,-66.101378, Calle Colorado #409, Ticti Norte, D8
-17.466207,-66.095995, Calle Roma #410, Valle Hermoso, D8
-17.434907,-66.133474, Calle Hamburgo #411, Ushpa Ushpa, D8
-17.462105,-66.094659, Calle Ticti #412, Ticti Norte, D8
-17.450400,-66.099480, Calle Sierra Nevada #413, Valle Hermoso, D8
-17.435495,-66.101872, Calle Colorado #414, Ushpa Ushpa, D8
-17.474839,-66.100118, Calle Roma #415, Ticti Norte, D8
-17.439961,-66.133932, Calle Hamburgo #416, Valle Hermoso, D8
-17.471844,-66.107431, Calle Ticti #417, Ushpa Ushpa, D8
-17.441472,-66.125339, Calle Sierra Nevada #418, Ticti Norte, D8
-17.451411,-66.096220, Calle Colorado #419, Valle Hermoso, D8
-17.429543,-66.139466, Calle Roma #420, Ushpa Ushpa, D8
-17.481976,-66.099781, Calle Hamburgo #421, Ticti Norte, D8
-17.468453,-66.092184, Calle Ticti #422, Valle Hermoso, D8
-17.477725,-66.103501, Calle Sierra Nevada #423, Ushpa Ushpa, D8
-17.436826,-66.132661, Calle Colorado #424, Ticti Norte, D8
-17.455310,-66.121292, Calle Roma #425, Valle Hermoso, D8
-17.469706,-66.097021, Calle Hamburgo #426, Ushpa Ushpa, D8
-17.443986,-66.130122, Calle Ticti #427, Ticti Norte, D8
-17.465914,-66.099291, Calle Sierra Nevada #428, Valle Hermoso, D8
-17.459701,-66.094911, Calle Colorado #429, Ushpa Ushpa, D8
-17.464559,-66.104726, Calle Roma #430, Ticti Norte, D8
-17.480375,-66.108381, Calle Hamburgo #431, Valle Hermoso, D8
-17.442890,-66.127063, Calle Ticti #432, Ushpa Ushpa, D8
-17.465053,-66.103655, Calle Sierra Nevada #433, Ticti Norte, D8
-17.430037,-66.133809, Calle Colorado #434, Valle Hermoso, D8
-17.476292,-66.101999, Calle Roma #435, Ushpa Ushpa, D8
-17.473084,-66.088239, Calle Hamburgo #436, Ticti Norte, D8
-17.439396,-66.127944, Calle Ticti #437, Valle Hermoso, D8
-17.432028,-66.137726, Calle Sierra Nevada #438, Ushpa Ushpa, D8
-17.445096,-66.102401, Calle Colorado #439, Ticti Norte, D8
-17.448945,-66.129357, Calle Roma #440, Valle Hermoso, D8
-17.447364,-66.097636, Calle Hamburgo #441, Ushpa Ushpa, D8
-17.459101,-66.093617, Calle Ticti #442, Ticti Norte, D8
-17.470495,-66.108052, Calle Sierra Nevada #443, Valle Hermoso, D8
-17.476495,-66.092591, Calle Colorado #444, Ushpa Ushpa, D8
-17.467538,-66.096502, Calle Roma #445, Ticti Norte, D8
-17.430926,-66.134346, Calle Hamburgo #446, Valle Hermoso, D8
-17.479160,-66.106718, Calle Ticti #447, Ushpa Ushpa, D8
-17.461620,-66.108037, Calle Sierra Nevada #448, Ticti Norte, D8
-17.470245,-66.094118, Calle Colorado #449, Valle Hermoso, D8
-17.475573,-66.110488, Calle Roma #450, Ushpa Ushpa, D8
-17.427914,-66.135610, Calle Hamburgo #451, Ticti Norte, D8
-17.475978,-66.093472, Calle Ticti #452, Valle Hermoso, D8
-17.473005,-66.095006, Calle Sierra Nevada #453, Ushpa Ushpa, D8
-17.446519,-66.101145, Calle Colorado #454, Ticti Norte, D8
-17.439145,-66.101313, Calle Roma #455, Valle Hermoso, D8
-17.465560,-66.106485, Calle Hamburgo #456, Ushpa Ushpa, D8
-17.448909,-66.129021, Calle Ticti #457, Ticti Norte, D8
-17.438877,-66.135785, Calle Sierra Nevada #458, Valle Hermoso, D8
-17.457973,-66.099793, Calle Colorado #459, Ushpa Ushpa, D8
-17.471515,-66.090868, Calle Roma #460, Ticti Norte, D8
-17.451630,-66.123865, Calle Hamburgo #461, Valle Hermoso, D8
-17.438273,-66.143067, Calle Ticti #462, Ushpa Ushpa, D8
-17.462411,-66.090640, Calle Sierra Nevada #463, Ticti Norte, D8
-17.472835,-66.088557, Calle Colorado #464, Valle Hermoso, D8
-17.443509,-66.125694, Calle Roma #465, Ushpa Ushpa, D8
-17.449964,-66.123333, Calle Hamburgo #466, Ticti Norte, D8
-17.469615,-66.107894, Calle Ticti #467, Valle Hermoso, D8
-17.433692,-66.142072, Calle Sierra Nevada #468, Ushpa Ushpa, D8
-17.440733,-66.135965, Calle Colorado #469, Ticti Norte, D8
-17.441421,-66.099528, Calle Roma #470, Valle Hermoso, D8
-17.469980,-66.087118, Calle Hamburgo #471, Ushpa Ushpa, D8
-17.461231,-66.120220, Calle Ticti #472, Ticti Norte, D8
-17.472578,-66.104457, Calle Sierra Nevada #473, Valle Hermoso, D8
-17.437830,-66.129070, Calle Colorado #474, Ushpa Ushpa, D8
-17.459143,-66.109270, Calle Roma #475, Ticti Norte, D8
-17.464947,-66.114475, Calle Hamburgo #476, Valle Hermoso, D8
-17.456903,-66.103574, Calle Ticti #477, Ushpa Ushpa, D8
-17.469415,-66.092932, Calle Sierra Nevada #478, Ticti Norte, D8
-17.438104,-66.102324, Calle Colorado #479, Valle Hermoso, D8
-17.462497,-66.112348, Calle Roma #480, Ushpa Ushpa, D8
-17.454608,-66.104881, Calle Hamburgo #481, Ticti Norte, D8
-17.445097,-66.125242, Calle Ticti #482, Valle Hermoso, D8
-17.451885,-66.098740, Calle Sierra Nevada #483, Ushpa Ushpa, D8
-17.444148,-66.133400, Calle Colorado #484, Ticti Norte, D8
-17.454603,-66.094207, Calle Roma #485, Valle Hermoso, D8
-17.466480,-66.087336, Calle Hamburgo #486, Ushpa Ushpa, D8
-17.456079,-66.124052, Calle Ticti #487, Ticti Norte, D8
-17.446384,-66.127867, Calle Sierra Nevada #488, Valle Hermoso, D8
-17.450441,-66.101360, Calle Colorado #489, Ushpa Ushpa, D8
-17.441268,-66.132207, Calle Roma #490, Ticti Norte, D8
-17.444224,-66.130482, Calle Hamburgo #491, Valle Hermoso, D8
-17.469724,-66.106743, Calle Ticti #492, Ushpa Ushpa, D8
-17.453396,-66.103946, Calle Sierra Nevada #493, Ticti Norte, D8
-17.473348,-66.088395, Calle Colorado #494, Valle Hermoso, D8
