-17.372714,-66.182021, Calle Tarija #100, Sarco, D3
-17.360545,-66.197536, Calle Tarija #140, Sarcobamba, D3
-17.383707,-66.190402, Calle Colón #141, Villa Busch, D3
-17.388280,-66.181324, Av. América #142, Sarco, D3
-17.358276,-66.199029, Calle Monseñor Rivero #143, Sarcobamba, D3
-17.349247,-66.198955, Calle Adela Zamudio #144, Villa Busch, D3
-17.390056,-66.191413, Calle Tarija #145, Sarco, D3
-17.377183,-66.203431, Calle Colón #146, Sarcobamba, D3
-17.374003,-66.182329, Av. América #147, Villa Busch, D3
-17.360359,-66.192343, Calle Monseñor Rivero #148, Sarco, D3
-17.382573,-66.187767, Calle Adela Zamudio #149, Sarcobamba, D3
-17.354574,-66.197635, Calle Tarija #150, Villa Busch, D3
-17.372177,-66.188567, Calle Colón #151, Sarco, D3
-17.361320,-66.192497, Av. América #152, Sarcobamba, D3
-17.375477,-66.206209, Calle Monseñor Rivero #153, Villa Busch, D3
-17.370950,-66.179022, Calle Adela Zamudio #154, Sarco, D3
-17.363258,-66.201852, Calle Tarija #155, Sarcobamba, D3
-17.365303,-66.196010, Calle Colón #156, Villa Busch, D3
-17.374684,-66.200534, Av. América #157, Sarco, D3
-17.373628,-66.202406, Calle Monseñor Rivero #158, Sarcobamba, D3
-17.375387,-66.188783, Calle Adela Zamudio #159, Villa Busch, D3
-17.379743,-66.189551, Calle Tarija #160, Sarco, D3
-17.382579,-66.188229, Calle Colón #161, Sarcobamba, D3
-17.361867,-66.188670, Av. América #162, Villa Busch, D3
-17.373963,-66.202141, Calle Monseñor Rivero #163, Sarco, D3
-17.350377,-66.199173, Calle Adela Zamudio #164, Sarcobamba, D3
-17.350339,-66.196812, Calle Tarija #165, Villa Busch, D3
-17.389924,-66.187642, Calle Colón #166, Sarco, D3
-17.386923,-66.194404, Av. América #167, Sarcobamba, D3
-17.378185,-66.203219, Calle Monseñor Rivero #168, Villa Busch, D3
-17.387682,-66.192748, Calle Adela Zamudio #169, Sarco, D3
-17.371706,-66.176904, Calle Tarija #170, Sarcobamba, D3
-17.378700,-66.189541, Calle Colón #171, Villa Busch, D3
-17.370907,-66.206816, Av. América #172, Sarco, D3
-17.366461,-66.203302, Calle Monseñor Rivero #173, Sarcobamba, D3
-17.352038,-66.193530, Calle Adela Zamudio #174, Villa Busch, D3
-17.365673,-66.191179, Calle Tarija #175, Sarco, D3
-17.373316,-66.201304, Calle Colón #176, Sarcobamba, D3
-17.376255,-66.200818, Av. América #177, Villa Busch, D3
-17.384335,-66.181484, Calle Monseñor Rivero #178, Sarco, D3
-17.369141,-66.189874, Calle Adela Zamudio #179, Sarcobamba, D3
-17.361710,-66.189813, Calle Tarija #180, Villa Busch, D3
-17.369981,-66.200886, Calle Colón #181, Sarco, D3
-17.379116,-66.188051, Av. América #182, Sarcobamba, D3
-17.360287,-66.188602, Calle Monseñor Rivero #183, Villa Busch, D3
-17.356441,-66.196464, Calle Adela Zamudio #184, Sarco, D3
-17.369405,-66.193035, Calle Tarija #185, Sarcobamba, D3
-17.356055,-66.198877, Calle Colón #186, Villa Busch, D3
-17.370296,-66.179965, Av. América #187, Sarco, D3
-17.369101,-66.182763, Calle Monseñor Rivero #188, Sarcobamba, D3
-17.368512,-66.179079, Calle Adela Zamudio #189, Villa Busch, D3
-17.354276,-66.190078, Calle Tarija #190, Sarco, D3
-17.374493,-66.205704, Calle Colón #191, Sarcobamba, D3
-17.390640,-66.183333, Av. América #192, Villa Busch, D3
-17.365590,-66.196108, Calle Monseñor Rivero #193, Sarco, D3
-17.368262,-66.177387, Calle Adela Zamudio #194, Sarcobamba, D3
-17.374383,-66.194752, Calle Tarija #195, Villa Busch, D3
-17.366169,-66.182242, Calle Colón #196, Sarco, D3
-17.368749,-66.185821, Av. América #197, Sarcobamba, D3
-17.378396,-66.189875, Calle Monseñor Rivero #198, Villa Busch, D3
-17.388956,-66.187733, Calle Adela Zamudio #199, Sarco, D3
-17.355231,-66.194391, Calle Tarija #200, Sarcobamba, D3
-17.388140,-66.184573, Calle Colón #201, Villa Busch, D3
-17.370974,-66.198960, Av. América #202, Sarco, D3
-17.366292,-66.189970, Calle Monseñor Rivero #203, Sarcobamba, D3
-17.376930,-66.191913, Calle Adela Zamudio #204, Villa Busch, D3
-17.355626,-66.198127, Calle Tarija #205, Sarco, D3
-17.378117,-66.198030, Calle Colón #206, Sarcobamba, D3
-17.380479,-66.202505, Av. América #207, Villa Busch, D3
-17.375002,-66.206834, Calle Monseñor Rivero #208, Sarco, D3
-17.360406,-66.194217, Calle Adela Zamudio #209, Sarcobamba, D3
-17.377244,-66.197186, Calle Tarija #210, Villa Busch, D3
-17.355714,-66.195526, Calle Colón #211, Sarco, D3
-17.373345,-66.189289, Av. América #212, Sarcobamba, D3
-17.360950,-66.204135, Calle Monseñor Rivero #213, Villa Busch, D3
-17.381493,-66.188369, Calle Adela Zamudio #214, Sarco, D3
-17.384502,-66.187980, Calle Tarija #215, Sarcobamba, D3
-17.386263,-66.183081, Calle Colón #216, Villa Busch, D3
-17.388884,-66.190041, Av. América #217, Sarco, D3
-17.391227,-66.189866, Calle Monseñor Rivero #218, Sarcobamba, D3
-17.391013,-66.184572, Calle Adela Zamudio #219, Villa Busch, D3
-17.370299,-66.206038, Calle Tarija #220, Sarco, D3
-17.390983,-66.190019, Calle Colón #221, Sarcobamba, D3
-17.374457,-66.193546, Av. América #222, Villa Busch, D3
-17.363505,-66.203087, Calle Monseñor Rivero #223, Sarco, D3
-17.379280,-66.181190, Calle Adela Zamudio #224, Sarcobamba, D3
-17.374772,-66.201077, Calle Tarija #225, Villa Busch, D3
-17.356076,-66.199696, Calle Colón #226, Sarco, D3
-17.389799,-66.180941, Av. América #227, Sarcobamba, D3
-17.360126,-66.202377, Calle Monseñor Rivero #228, Villa Busch, D3
-17.358291,-66.196873, Calle Adela Zamudio #229, Sarco, D3
-17.391231,-66.193687, Calle Tarija #230, Sarcobamba, D3
-17.368734,-66.177675, Calle Colón #231, Villa Busch, D3
-17.373101,-66.204253, Av. América #232, Sarco, D3
-17.379260,-66.184812, Calle Monseñor Rivero #233, Sarcobamba, D3
-17.358566,-66.191285, Calle Adela Zamudio #234, Villa Busch, D3
-17.360968,-66.192945, Calle Tarija #235, Sarco, D3
-17.379396,-66.198568, Calle Colón #236, Sarcobamba, D3
-17.377917,-66.187898, Av. América #237, Villa Busch, D3
-17.373567,-66.191479, Calle Monseñor Rivero #238, Sarco, D3
-17.388189,-66.179839, Calle Adela Zamudio #239, Sarcobamba, D3
-17.360140,-66.191846, Calle Tarija #240, Villa Busch, D3
-17.379332,-66.194232, Calle Colón #241, Sarco, D3
-17.359554,-66.201376, Av. América #242, Sarcobamba, D3
-17.374406,-66.192069, Calle Monseñor Rivero #243, Villa Busch, D3
-17.374932,-66.181930, Calle Adela Zamudio #244, Sarco, D3
-17.387546,-66.189705, Calle Tarija #245, Sarcobamba, D3
-17.388340,-66.179153, Calle Colón #246, Villa Busch, D3
-17.371107,-66.184336, Av. América #247, Sarco, D3
-17.367446,-66.196228, Calle Monseñor Rivero #248, Sarcobamba, D3
-17.376470,-66.179824, Calle Adela Zamudio #249, Villa Busch, D3
-17.389755,-66.180788, Calle Tarija #250, Sarco, D3
-17.380068,-66.203299, Calle Colón #251, Sarcobamba, D3
-17.383375,-66.180775, Av. América #252, Villa Busch, D3
-17.367838,-66.191389, Calle Monseñor Rivero #253, Sarco, D3
-17.374453,-66.176903, Calle Adela Zamudio #254, Sarcobamba, D3
-17.385982,-66.186067, Calle Tarija #255, Villa Busch, D3
-17.363163,-66.184063, Calle Colón #256, Sarco, D3
-17.378261,-66.205844, Av. América #257, Sarcobamba, D3
-17.390993,-66.184823, Calle Monseñor Rivero #258, Villa Busch, D3
-17.380902,-66.189994, Calle Adela Zamudio #259, Sarco, D3
-17.350744,-66.197436, Calle Tarija #260, Sarcobamba, D3
-17.352754,-66.193246, Calle Colón #261, Villa Busch, D3
-17.360704,-66.202302, Av. América #262, Sarco, D3
-17.373766,-66.204168, Calle Monseñor Rivero #263, Sarcobamba, D3
-17.389925,-66.189546, Calle Adela Zamudio #264, Villa Busch, D3
-17.358294,-66.199741, Calle Tarija #265, Sarco, D3
-17.383502,-66.178774, Calle Colón #266, Sarcobamba, D3
-17.381840,-66.180664, Av. América #267, Villa Busch, D3
-17.365713,-66.184672, Calle Monseñor Rivero #268, Sarco, D3
-17.363733,-66.184559, Calle Adela Zamudio #269, Sarcobamba, D3
-17.390514,-66.183100, Calle Tarija #270, Villa Busch, D3
-17.379298,-66.178797, Calle Colón #271, Sarco, D3
-17.370687,-66.204872, Av. América #272, Sarcobamba, D3
-17.368030,-66.190771, Calle Monseñor Rivero #273, Villa Busch, D3
-17.383283,-66.194253, Calle Adela Zamudio #274, Sarco, D3
-17.380160,-66.192517, Calle Tarija #275, Sarcobamba, D3
-17.374361,-66.180399, Calle Colón #276, Villa Busch, D3
-17.374554,-66.191250, Av. América #277, Sarco, D3
-17.380391,-66.193787, Calle Monseñor Rivero #278, Sarcobamba, D3
-17.378787,-66.188316, Calle Adela Zamudio #279, Villa Busch, D3
-17.390008,-66.183678, Calle Tarija #280, Sarco, D3
-17.368327,-66.202614, Calle Colón #281, Sarcobamba, D3
-17.357035,-66.186735, Av. América #282, Villa Busch, D3
-17.356751,-66.200480, Calle Monseñor Rivero #283, Sarco, D3
-17.390595,-66.189306, Calle Adela Zamudio #284, Sarcobamba, D3
-17.354388,-66.197584, Calle Tarija #285, Villa Busch, D3
-17.353724,-66.201512, Calle Colón #286, Sarco, D3
-17.351300,-66.196522, Av. América #287, Sarcobamba, D3
-17.364173,-66.189697, Calle Monseñor Rivero #288, Villa Busch, D3
-17.371334,-66.191416, Calle Adela Zamudio #289, Sarco, D3
-17.357933,-66.198772, Calle Tarija #290, Sarcobamba, D3
-17.358296,-66.195857, Calle Colón #291, Villa Busch, D3
-17.374996,-66.182001, Av. América #292, Sarco, D3
-17.375021,-66.200304, Calle Monseñor Rivero #293, Sarcobamba, D3
-17.355755,-66.200162, Calle Adela Zamudio #294, Villa Busch, D3
-17.387002,-66.179497, Calle Tarija #295, Sarco, D3
-17.357644,-66.193001, Calle Colón #296, Sarcobamba, D3
-17.370174,-66.195557, Av. América #297, Villa Busch, D3
-17.377512,-66.180930, Calle Monseñor Rivero #298, Sarco, D3
-17.375105,-66.199635, Calle Adela Zamudio #299, Sarcobamba, D3
-17.375955,-66.185637, Calle Tarija #300, Villa Busch, D3
-17.363989,-66.195413, Calle Colón #301, Sarco, D3
-17.379250,-66.195064, Av. América #302, Sarcobamba, D3
-17.377214,-66.187839, Calle Monseñor Rivero #303, Villa Busch, D3
-17.360231,-66.197268, Calle Adela Zamudio #304, Sarco, D3
-17.359447,-66.184991, Calle Tarija #305, Sarcobamba, D3
-17.359701,-66.194462, Calle Colón #306, Villa Busch, D3
-17.356730,-66.194518, Av. América #307, Sarco, D3
-17.379769,-66.179437, Calle Monseñor Rivero #308, Sarcobamba, D3
-17.368373,-66.199908, Calle Adela Zamudio #309, Villa Busch, D3
-17.372808,-66.181479, Calle Tarija #310, Sarco, D3
-17.373588,-66.187813, Calle Colón #311, Sarcobamba, D3
-17.358747,-66.199759, Av. América #312, Villa Busch, D3
-17.373018,-66.187199, Calle Monseñor Rivero #313, Sarco, D3
-17.360940,-66.194123, Calle Adela Zamudio #314, Sarcobamba, D3
-17.374460,-66.180120, Calle Tarija #315, Villa Busch, D3
-17.371421,-66.186536, Calle Colón #316, Sarco, D3
-17.366749,-66.198070, Av. América #317, Sarcobamba, D3
-17.376210,-66.199224, Calle Monseñor Rivero #318, Villa Busch, D3
-17.366741,-66.188259, Calle Adela Zamudio #319, Sarco, D3
-17.385926,-66.185109, Calle Tarija #320, Sarcobamba, D3
-17.367330,-66.189965, Calle Colón #321, Villa Busch, D3
-17.370442,-66.182647, Av. América #322, Sarco, D3
-17.370840,-66.200942, Calle Monseñor Rivero #323, Sarcobamba, D3
-17.387749,-66.178986, Calle Adela Zamudio #324, Villa Busch, D3
-17.379405,-66.183955, Calle Tarija #325, Sarco, D3
-17.351087,-66.200053, Calle Colón #326, Sarcobamba, D3
-17.366192,-66.199417, Av. América #327, Villa Busch, D3
-17.382303,-66.194474, Calle Monseñor Rivero #328, Sarco, D3
-17.382503,-66.194679, Calle Adela Zamudio #329, Sarcobamba, D3
-17.354975,-66.192291, Calle Tarija #330, Villa Busch, D3
-17.367249,-66.176529, Calle Colón #331, Sarco, D3
-17.378215,-66.191216, Av. América #332, Sarcobamba, D3
-17.390415,-66.193616, Calle Monseñor Rivero #333, Villa Busch, D3
-17.375848,-66.201079, Calle Adela Zamudio #334, Sarco, D3
-17.391182,-66.183862, Calle Tarija #335, Sarcobamba, D3
-17.375154,-66.205305, Calle Colón #336, Villa Busch, D3
-17.373492,-66.190415, Av. América #337, Sarco, D3
-17.363153,-66.202456, Calle Monseñor Rivero #338, Sarcobamba, D3
-17.356874,-66.197704, Calle Adela Zamudio #339, Villa Busch, D3
-17.360942,-66.190551, Calle Tarija #340, Sarco, D3
-17.359933,-66.197489, Calle Colón #341, Sarcobamba, D3
-17.359263,-66.185604, Av. América #342, Villa Busch, D3
-17.380241,-66.203998, Calle Monseñor Rivero #343, Sarco, D3
-17.373261,-66.189371, Calle Adela Zamudio #344, Sarcobamba, D3
-17.375526,-66.180889, Calle Tarija #345, Villa Busch, D3
-17.374879,-66.189133, Calle Colón #346, Sarco, D3
-17.388843,-66.187142, Av. América #347, Sarcobamba, D3
-17.376979,-66.186301, Calle Monseñor Rivero #348, Villa Busch, D3
-17.391704,-66.183925, Calle Adela Zamudio #349, Sarco, D3
-17.362469,-66.198112, Calle Tarija #350, Sarcobamba, D3
-17.383139,-66.195009, Calle Colón #351, Villa Busch, D3
-17.363916,-66.181390, Av. América #352, Sarco, D3
-17.359471,-66.186979, Calle Monseñor Rivero #353, Sarcobamba, D3
-17.382015,-66.188769, Calle Adela Zamudio #354, Villa Busch, D3
-17.375319,-66.199223, Calle Tarija #355, Sarco, D3
-17.369977,-66.204894, Calle Colón #356, Sarcobamba, D3
-17.386557,-66.191475, Av. América #357, Villa Busch, D3
-17.376571,-66.189811, Calle Monseñor Rivero #358, Sarco, D3
-17.379022,-66.177084, Calle Adela Zamudio #359, Sarcobamba, D3
-17.371044,-66.181337, Calle Tarija #360, Villa Busch, D3
-17.381364,-66.192194, Calle Colón #361, Sarco, D3
-17.382285,-66.188613, Av. América #362, Sarcobamba, D3
-17.381346,-66.187606, Calle Monseñor Rivero #363, Villa Busch, D3
-17.355716,-66.195452, Calle Adela Zamudio #364, Sarco, D3
-17.375088,-66.192523, Calle Tarija #365, Sarcobamba, D3
-17.387942,-66.192834, Calle Colón #366, Villa Busch, D3
-17.390667,-66.188994, Av. América #367, Sarco, D3
-17.372758,-66.177480, Calle Monseñor Rivero #368, Sarcobamba, D3
-17.364932,-66.179101, Calle Adela Zamudio #369, Villa Busch, D3
-17.377031,-66.180518, Calle Tarija #370, Sarco, D3
-17.388605,-66.187662, Calle Colón #371, Sarcobamba, D3
-17.365499,-66.188096, Av. América #372, Villa Busch, D3
-17.355584,-66.188315, Calle Monseñor Rivero #373, Sarco, D3
-17.362712,-66.193472, Calle Adela Zamudio #374, Sarcobamba, D3
-17.367900,-66.207351, Calle Tarija #375, Villa Busch, D3
-17.378878,-66.180730, Calle Colón #376, Sarco, D3
-17.358442,-66.190263, Av. América #377, Sarcobamba, D3
-17.374781,-66.197837, Calle Monseñor Rivero #378, Villa Busch, D3
-17.391786,-66.192669, Calle Adela Zamudio #379, Sarco, D3
-17.361541,-66.197402, Calle Tarija #380, Sarcobamba, D3
-17.385077,-66.180228, Calle Colón #381, Villa Busch, D3
-17.383448,-66.188223, Av. América #382, Sarco, D3
-17.387947,-66.180408, Calle Monseñor Rivero #383, Sarcobamba, D3
-17.365408,-66.191501, Calle Adela Zamudio #384, Villa Busch, D3
-17.366233,-66.185107, Calle Tarija #385, Sarco, D3
-17.368817,-66.186890, Calle Colón #386, Sarcobamba, D3
-17.376716,-66.190460, Av. América #387, Villa Busch, D3
-17.358566,-66.195655, Calle Monseñor Rivero #388, Sarco, D3
-17.357854,-66.199481, Calle Adela Zamudio #389, Sarcobamba, D3
-17.371106,-66.187692, Calle Tarija #390, Villa Busch, D3
-17.366389,-66.180702, Calle Colón #391, Sarco, D3
-17.367568,-66.188864, Av. América #392, Sarcobamba, D3
-17.376666,-66.206425, Calle Monseñor Rivero #393, Villa Busch, D3
-17.379873,-66.203398, Calle Adela Zamudio #394, Sarco, D3
-17.362574,-66.199301, Calle Tarija #395, Sarcobamba, D3
-17.368108,-66.200882, Calle Colón #396, Villa Busch, D3
-17.356874,-66.193965, Av. América #397, Sarco, D3
-17.391563,-66.191814, Calle Monseñor Rivero #398, Sarcobamba, D3
-17.366082,-66.194629, Calle Adela Zamudio #399, Villa Busch, D3
-17.370580,-66.194229, Calle Tarija #400, Sarco, D3
-17.382717,-66.177417, Calle Colón #401, Sarcobamba, D3
-17.363353,-66.201880, Av. América #402, Villa Busch, D3
-17.387025,-66.185739, Calle Monseñor Rivero #403, Sarco, D3
-17.378740,-66.184049, Calle Adela Zamudio #404, Sarcobamba, D3
-17.370875,-66.196106, Calle Tarija #405, Villa Busch, D3
-17.369555,-66.178569, Calle Colón #406, Sarco, D3
-17.366215,-66.200590, Av. América #407, Sarcobamba, D3
-17.370041,-66.186149, Calle Monseñor Rivero #408, Villa Busch, D3
-17.388187,-66.179638, Calle Adela Zamudio #409, Sarco, D3
-17.367345,-66.192903, Calle Tarija #410, Sarcobamba, D3
-17.389916,-66.189660, Calle Colón #411, Villa Busch, D3
-17.370323,-66.206889, Av. América #412, Sarco, D3
-17.388522,-66.191604, Calle Monseñor Rivero #413, Sarcobamba, D3
-17.375167,-66.182048, Calle Adela Zamudio #414, Villa Busch, D3
-17.363469,-66.194191, Calle Tarija #415, Sarco, D3
-17.377973,-66.193424, Calle Colón #416, Sarcobamba, D3
-17.377890,-66.199125, Av. América #417, Villa Busch, D3
-17.380031,-66.197208, Calle Monseñor Rivero #418, Sarco, D3
-17.355328,-66.194675, Calle Adela Zamudio #419, Sarcobamba, D3
-17.376089,-66.205736, Calle Tarija #420, Villa Busch, D3
-17.353142,-66.198561, Calle Colón #421, Sarco, D3
-17.376399,-66.194872, Av. América #422, Sarcobamba, D3
-17.373355,-66.178918, Calle Monseñor Rivero #423, Villa Busch, D3
-17.390524,-66.185860, Calle Adela Zamudio #424, Sarco, D3
-17.368202,-66.195319, Calle Tarija #425, Sarcobamba, D3
-17.368933,-66.202667, Calle Colón #426, Villa Busch, D3
-17.369114,-66.176463, Av. América #427, Sarco, D3
-17.377448,-66.204570, Calle Monseñor Rivero #428, Sarcobamba, D3
-17.366215,-66.202823, Calle Adela Zamudio #429, Villa Busch, D3
-17.367089,-66.205224, Calle Tarija #430, Sarco, D3
-17.391847,-66.190532, Calle Colón #431, Sarcobamba, D3
-17.385107,-66.193468, Av. América #432, Villa Busch, D3
-17.362490,-66.203916, Calle Monseñor Rivero #433, Sarco, D3
-17.380917,-66.204833, Calle Adela Zamudio #434, Sarcobamba, D3
-17.354959,-66.194340, Calle Tarija #435, Villa Busch, D3
-17.351972,-66.196055, Calle Colón #436, Sarco, D3
-17.373568,-66.184050, Av. América #437, Sarcobamba, D3
-17.375944,-66.200156, Calle Monseñor Rivero #438, Villa Busch, D3
-17.376468,-66.205594, Calle Adela Zamudio #439, Sarco, D3
-17.359811,-66.190929, Calle Tarija #440, Sarcobamba, D3
-17.379689,-66.205544, Calle Colón #441, Villa Busch, D3
-17.388876,-66.185175, Av. América #442, Sarco, D3
-17.378393,-66.197659, Calle Monseñor Rivero #443, Sarcobamba, D3
-17.376640,-66.181610, Calle Adela Zamudio #444, Villa Busch, D3
-17.360615,-66.201762, Calle Tarija #445, Sarco, D3
-17.377216,-66.197352, Calle Colón #446, Sarcobamba, D3
-17.370414,-66.197719, Av. América #447, Villa Busch, D3
-17.371576,-66.196571, Calle Monseñor Rivero #448, Sarco, D3
-17.380687,-66.181790, Calle Adela Zamudio #449, Sarcobamba, D3
-17.370648,-66.185996, Calle Tarija #450, Villa Busch, D3
-17.373571,-66.178173, Calle Colón #451, Sarco, D3
-17.379225,-66.205034, Av. América #452, Sarcobamba, D3
-17.373002,-66.188814, Calle Monseñor Rivero #453, Villa Busch, D3
-17.360686,-66.188514, Calle Adela Zamudio #454, Sarco, D3
-17.363469,-66.190656, Calle Tarija #455, Sarcobamba, D3
-17.371887,-66.191474, Calle Colón #456, Villa Busch, D3
-17.371159,-66.179262, Av. América #457, Sarco, D3
-17.360997,-66.197745, Calle Monseñor Rivero #458, Sarcobamba, D3
-17.357461,-66.194859, Calle Adela Zamudio #459, Villa Busch, D3
-17.391895,-66.187802, Calle Tarija #460, Sarco, D3
-17.367356,-66.205191, Calle Colón #461, Sarcobamba, D3
-17.367305,-66.201624, Av. América #462, Villa Busch, D3
-17.392011,-66.191202, Calle Monseñor Rivero #463, Sarco, D3
-17.359225,-66.197884, Calle Adela Zamudio #464, Sarcobamba, D3
-17.365218,-66.184627, Calle Tarija #465, Villa Busch, D3
-17.372160,-66.204915, Calle Colón #466, Sarco, D3
-17.377505,-66.199288, Av. América #467, Sarcobamba, D3
-17.384688,-66.187367, Calle Monseñor Rivero #468, Villa Busch, D3
-17.360551,-66.186384, Calle Adela Zamudio #469, Sarco, D3
-17.366215,-66.200343, Calle Tarija #470, Sarcobamba, D3
-17.362984,-66.186300, Calle Colón #471, Villa Busch, D3
-17.360611,-66.200450, Av. América #472, Sarco, D3
-17.382173,-66.195611, Calle Monseñor Rivero #473, Sarcobamba, D3
-17.356567,-66.201877, Calle Adela Zamudio #474, Villa Busch, D3
-17.360048,-66.202981, Calle Tarija #475, Sarco, D3
-17.364365,-66.202961, Calle Colón #476, Sarcobamba, D3
-17.378104,-66.198744, Av. América #477, Villa Busch, D3
-17.390872,-66.195505, Calle Monseñor Rivero #478, Sarco, D3
-17.351900,-66.197166, Calle Adela Zamudio #479, Sarcobamba, D3
-17.380227,-66.203072, Calle Tarija #480, Villa Busch, D3
-17.379166,-66.191207, Calle Colón #481, Sarco, D3
-17.353983,-66.196376, Av. América #482, Sarcobamba, D3
-17.376685,-66.190626, Calle Monseñor Rivero #483, Villa Busch, D3
-17.390867,-66.189240, Calle Adela Zamudio #484, Sarco, D3
-17.384343,-66.178200, Calle Tarija #485, Sarcobamba, D3
-17.384577,-66.185323, Calle Colón #486, Villa Busch, D3
-17.383840,-66.182301, Av. América #487, Sarco, D3
-17.373189,-66.176693, Calle Monseñor Rivero #488, Sarcobamba, D3
-17.373242,-66.203487, Calle Adela Zamudio #489, Villa Busch, D3
-17.373801,-66.204289, Calle Tarija #490, Sarco, D3
-17.378937,-66.186031, Calle Colón #491, Sarcobamba, D3
-17.362301,-66.196046, Av. América #492, Villa Busch, D3
-17.371191,-66.188045, Calle Monseñor Rivero #493, Sarco, D3
-17.391188,-66.183389, Calle Adela Zamudio #494, Sarcobamba, D3
-17.367556,-66.187526, Calle Tarija #495, Villa Busch, D3
-17.355139,-66.201995, Calle Colón #496, Sarco, D3
-17.363485,-66.184769, Av. América #497, Sarcobamba, D3
-17.386831,-66.194561, Calle Monseñor Rivero #498, Villa Busch, D3
-17.385104,-66.182959, Calle Adela Zamudio #499, Sarco, D3
-17.388954,-66.184379, Calle Tarija #500, Sarcobamba, D3
-17.390550,-66.189381, Calle Colón #501, Villa Busch, D3
-17.369606,-66.204920, Av. América #502, Sarco, D3
-17.385255,-66.189165, Calle Monseñor Rivero #503, Sarcobamba, D3
-17.369160,-66.185739, Calle Adela Zamudio #504, Villa Busch, D3
-17.366363,-66.200920, Calle Tarija #505, Sarco, D3
-17.359515,-66.188522, Calle Colón #506, Sarcobamba, D3
-17.366991,-66.194271, Av. América #507, Villa Busch, D3
-17.366805,-66.203562, Calle Monseñor Rivero #508, Sarco, D3
-17.359085,-66.203865, Calle Adela Zamudio #509, Sarcobamba, D3
-17.358186,-66.195987, Calle Tarija #510, Villa Busch, D3
-17.374018,-66.184393, Calle Colón #511, Sarco, D3
-17.360686,-66.187487, Av. América #512, Sarcobamba, D3
-17.361512,-66.196217, Calle Monseñor Rivero #513, Villa Busch, D3
-17.379180,-66.178393, Calle Adela Zamudio #514, Sarco, D3
-17.361396,-66.202245, Calle Tarija #515, Sarcobamba, D3
-17.350460,-66.201079, Calle Colón #516, Villa Busch, D3
-17.379176,-66.188699, Av. América #517, Sarco, D3
-17.374639,-66.199536, Calle Monseñor Rivero #518, Sarcobamba, D3
-17.366252,-66.179588, Calle Adela Zamudio #519, Villa Busch, D3
-17.380620,-66.206419, Calle Tarija #520, Sarco, D3
-17.370357,-66.201897, Calle Colón #521, Sarcobamba, D3
-17.364417,-66.199838, Av. América #522, Villa Busch, D3
-17.385710,-66.193523, Calle Monseñor Rivero #523, Sarco, D3
-17.358224,-66.187843, Calle Adela Zamudio #524, Sarcobamba, D3
-17.375102,-66.204045, Calle Tarija #525, Villa Busch, D3
-17.354089,-66.190565, Calle Colón #526, Sarco, D3
