-17.442000,-66.170180, Calle Tamborada #100, Pukara Grande, D9
-17.485520,-66.175488, Calle Esperanza #159, Tamborada Pukarita, D9
-17.485493,-66.230368, Calle Tamborada #160, Pukara Grande, D9
-17.465093,-66.164377, Calle San Benito #161, 1ro de Mayo, D9
-17.454842,-66.215571, Calle Abaroa #162, Tamborada Pukarita, D9
-17.478780,-66.219738, Calle 1ro de Mayo #163, Pukara Grande, D9
-17.452993,-66.180724, Calle Esperanza #164, 1ro de Mayo, D9
-17.503346,-66.163154, Calle Tamborada #165, Tamborada Pukarita, D9
-17.425982,-66.209097, Calle San Benito #166, Pukara Grande, D9
-17.460889,-66.210267, Calle Abaroa #167, 1ro de Mayo, D9
-17.495826,-66.183674, Calle 1ro de Mayo #168, Tamborada Pukarita, D9
-17.504828,-66.172272, Calle Esperanza #169, Pukara Grande, D9
-17.436526,-66.177200, Calle Tamborada #170, 1ro de Mayo, D9
-17.498421,-66.171414, Calle San Benito #171, Tamborada Pukarita, D9
-17.429355,-66.217933, Calle Abaroa #172, Pukara Grande, D9
-17.450929,-66.193456, Calle 1ro de Mayo #173, 1ro de Mayo, D9
-17.459297,-66.208053, Calle Esperanza #174, Tamborada Pukarita, D9
-17.460100,-66.202516, Calle Tamborada #175, Pukara Grande, D9
-17.419621,-66.207111, Calle San Benito #176, 1ro de Mayo, D9
-17.486268,-66.162550, Calle Abaroa #177, Tamborada Pukarita, D9
-17.487108,-66.182171, Calle 1ro de Mayo #178, Pukara Grande, D9
-17.459658,-66.198799, Calle Esperanza #179, 1ro de Mayo, D9
-17.448883,-66.202375, Calle Tamborada #180, Tamborada Pukarita, D9
-17.455796,-66.224139, Calle San Benito #181, Pukara Grande, D9
-17.450373,-66.193605, Calle Abaroa #182, 1ro de Mayo, D9
-17.493830,-66.155661, Calle 1ro de Mayo #183, Tamborada Pukarita, D9
-17.478623,-66.180996, Calle Esperanza #184, Pukara Grande, D9
-17.436104,-66.222361, Calle Tamborada #185, 1ro de Mayo, D9
-17.501833,-66.181526, Calle San Benito #186, Tamborada Pukarita, D9
-17.467775,-66.183989, Calle Abaroa #187, Pukara Grande, D9
-17.477593,-66.194394, Calle 1ro de Mayo #188, 1ro de Mayo, D9
-17.484338,-66.237781, Calle Esperanza #189, Tamborada Pukarita, D9
-17.470992,-66.248015, Calle Tamborada #190, Pukara Grande, D9
-17.471262,-66.230618, Calle San Benito #191, 1ro de Mayo, D9
-17.477948,-66.243406, Calle Abaroa #192, Tamborada Pukarita, D9
-17.450190,-66.188928, Calle 1ro de Mayo #193, Pukara Grande, D9
-17.485205,-66.201254, Calle Esperanza #194, 1ro de Mayo, D9
-17.414912,-66.210585, Calle Tamborada #195, Tamborada Pukarita, D9
-17.484637,-66.232138, Calle San Benito #196, Pukara Grande, D9
-17.503998,-66.163177, Calle Abaroa #197, 1ro de Mayo, D9
-17.461553,-66.241422, Calle 1ro de Mayo #198, Tamborada Pukarita, D9
-17.458847,-66.183509, Calle Esperanza #199, Pukara Grande, D9
-17.452961,-66.228290, Calle Tamborada #200, 1ro de Mayo, D9
-17.469829,-66.236067, Calle San Benito #201, Tamborada Pukarita, D9
-17.471288,-66.251400, Calle Abaroa #202, Pukara Grande, D9
-17.415880,-66.223911, Calle 1ro de Mayo #203, 1ro de Mayo, D9
-17.492733,-66.194620, Calle Esperanza #204, Tamborada Pukarita, D9
-17.427517,-66.200090, Calle Tamborada #205, Pukara Grande, D9
-17.453252,-66.196950, Calle San Benito #206, 1ro de Mayo, D9
-17.485342,-66.202337, Calle Abaroa #207, Tamborada Pukarita, D9
-17.480018,-66.250409, Calle 1ro de Mayo #208, Pukara Grande, D9
-17.471793,-66.237018, Calle Esperanza #209, 1ro de Mayo, D9
-17.474294,-66.247024, Calle Tamborada #210, Tamborada Pukarita, D9
-17.456475,-66.208801, Calle San Benito #211, Pukara Grande, D9
-17.459311,-66.185951, Calle Abaroa #212, 1ro de Mayo, D9
-17.476740,-66.224665, Calle 1ro de Mayo #213, Tamborada Pukarita, D9
-17.450461,-66.191110, Calle Esperanza #214, Pukara Grande, D9
-17.443642,-66.170740, Calle Tamborada #215, 1ro de Mayo, D9
-17.420790,-66.222320, Calle San Benito #216, Tamborada Pukarita, D9
-17.470984,-66.173178, Calle Abaroa #217, Pukara Grande, D9
-17.493512,-66.180363, Calle 1ro de Mayo #218, 1ro de Mayo, D9
-17.447571,-66.174092, Calle Esperanza #219, Tamborada Pukarita, D9
-17.461117,-66.165995, Calle Tamborada #220, Pukara Grande, D9
-17.484487,-66.164649, Calle San Benito #221, 1ro de Mayo, D9
-17.488413,-66.172434, Calle Abaroa #222, Tamborada Pukarita, D9
-17.451503,-66.187049, Calle 1ro de Mayo #223, Pukara Grande, D9
-17.463775,-66.212001, Calle Esperanza #224, 1ro de Mayo, D9
-17.421743,-66.185589, Calle Tamborada #225, Tamborada Pukarita, D9
-17.466372,-66.172824, Calle San Benito #226, Pukara Grande, D9
-17.431614,-66.204423, Calle Abaroa #227, 1ro de Mayo, D9
-17.483836,-66.249954, Calle 1ro de Mayo #228, Tamborada Pukarita, D9
-17.482377,-66.202638, Calle Esperanza #229, Pukara Grande, D9
-17.405095,-66.205545, Calle Tamborada #230, 1ro de Mayo, D9
-17.408520,-66.210664, Calle San Benito #231, Tamborada Pukarita, D9
-17.459527,-66.210986, Calle Abaroa #232, Pukara Grande, D9
-17.465167,-66.239312, Calle 1ro de Mayo #233, 1ro de Mayo, D9
-17.443919,-66.154538, Calle Esperanza #234, Tamborada Pukarita, D9
-17.443677,-66.223141, Calle Tamborada #235, Pukara Grande, D9
-17.460369,-66.188186, Calle San Benito #236, 1ro de Mayo, D9
-17.430670,-66.203177, Calle Abaroa #237, Tamborada Pukarita, D9
-17.484722,-66.155949, Calle 1ro de Mayo #238, Pukara Grande, D9
-17.482743,-66.184860, Calle Esperanza #239, 1ro de Mayo, D9
-17.465677,-66.241729, Calle Tamborada #240, Tamborada Pukarita, D9
-17.483089,-66.229303, Calle San Benito #241, Pukara Grande, D9
-17.446513,-66.184152, Calle Abaroa #242, 1ro de Mayo, D9
-17.425577,-66.207652, Calle 1ro de Mayo #243, Tamborada Pukarita, D9
-17.503078,-66.177245, Calle Esperanza #244, Pukara Grande, D9
-17.480004,-66.208177, Calle Tamborada #245, 1ro de Mayo, D9
-17.424503,-66.184713, Calle San Benito #246, Tamborada Pukarita, D9
-17.405220,-66.193740, Calle Abaroa #247, Pukara Grande, D9
-17.484822,-66.260306, Calle 1ro de Mayo #248, 1ro de Mayo, D9
-17.485142,-66.194010, Calle Esperanza #249, Tamborada Pukarita, D9
-17.454015,-66.163947, Calle Tamborada #250, Pukara Grande, D9
-17.459517,-66.211495, Calle San Benito #251, 1ro de Mayo, D9
-17.478039,-66.209067, Calle Abaroa #252, Tamborada Pukarita, D9
-17.462451,-66.225456, Calle 1ro de Mayo #253, Pukara Grande, D9
-17.403427,-66.193484, Calle Esperanza #254, 1ro de Mayo, D9
-17.479377,-66.235790, Calle Tamborada #255, Tamborada Pukarita, D9
-17.468916,-66.181418, Calle San Benito #256, Pukara Grande, D9
-17.446585,-66.221824, Calle Abaroa #257, 1ro de Mayo, D9
-17.470150,-66.185040, Calle 1ro de Mayo #258, Tamborada Pukarita, D9
-17.402146,-66.202305, Calle Esperanza #259, Pukara Grande, D9
-17.440972,-66.183362, Calle Tamborada #260, 1ro de Mayo, D9
-17.438412,-66.195527, Calle San Benito #261, Tamborada Pukarita, D9
-17.446007,-66.175939, Calle Abaroa #262, Pukara Grande, D9
-17.476996,-66.195494, Calle 1ro de Mayo #263, 1ro de Mayo, D9
-17.482402,-66.179111, Calle Esperanza #264, Tamborada Pukarita, D9
-17.417802,-66.214734, Calle Tamborada #265, Pukara Grande, D9
-17.472479,-66.222501, Calle San Benito #266, 1ro de Mayo, D9
-17.469243,-66.181592, Calle Abaroa #267, Tamborada Pukarita, D9
-17.433663,-66.177025, Calle 1ro de Mayo #268, Pukara Grande, D9
-17.442657,-66.175059, Calle Esperanza #269, 1ro de Mayo, D9
-17.438953,-66.207821, Calle Tamborada #270, Tamborada Pukarita, D9
-17.452375,-66.210044, Calle San Benito #271, Pukara Grande, D9
-17.481105,-66.166611, Calle Abaroa #272, 1ro de Mayo, D9
-17.431565,-66.205685, Calle 1ro de Mayo #273, Tamborada Pukarita, D9
-17.411928,-66.215472, Calle Esperanza #274, Pukara Grande, D9
-17.475220,-66.222963, Calle Tamborada #275, 1ro de Mayo, D9
-17.497275,-66.156171, Calle San Benito #276, Tamborada Pukarita, D9
-17.434640,-66.224231, Calle Abaroa #277, Pukara Grande, D9
-17.456096,-66.193865, Calle 1ro de Mayo #278, 1ro de Mayo, D9
-17.448704,-66.202450, Calle Esperanza #279, Tamborada Pukarita, D9
-17.486278,-66.184075, Calle Tamborada #280, Pukara Grande, D9
-17.439396,-66.218704, Calle San Benito #281, 1ro de Mayo, D9
-17.493730,-66.174434, Calle Abaroa #282, Tamborada Pukarita, D9
-17.420684,-66.209930, Calle 1ro de Mayo #283, Pukara Grande, D9
-17.442219,-66.198592, Calle Esperanza #284, 1ro de Mayo, D9
-17.449541,-66.179624, Calle Tamborada #285, Tamborada Pukarita, D9
-17.460287,-66.186339, Calle San Benito #286, Pukara Grande, D9
-17.436632,-66.206664, Calle Abaroa #287, 1ro de Mayo, D9
-17.477952,-66.183975, Calle 1ro de Mayo #288, Tamborada Pukarita, D9
-17.441200,-66.172407, Calle Esperanza #289, Pukara Grande, D9
-17.434105,-66.224244, Calle Tamborada #290, 1ro de Mayo, D9
-17.449304,-66.218818, Calle San Benito #291, Tamborada Pukarita, D9
-17.422275,-66.197342, Calle Abaroa #292, Pukara Grande, D9
-17.417179,-66.217117, Calle 1ro de Mayo #293, 1ro de Mayo, D9
-17.478742,-66.208753, Calle Esperanza #294, Tamborada Pukarita, D9
-17.458360,-66.167644, Calle Tamborada #295, Pukara Grande, D9
-17.426379,-66.213371, Calle San Benito #296, 1ro de Mayo, D9
-17.457287,-66.228866, Calle Abaroa #297, Tamborada Pukarita, D9
-17.455225,-66.212307, Calle 1ro de Mayo #298, Pukara Grande, D9
-17.468708,-66.196116, Calle Esperanza #299, 1ro de Mayo, D9
-17.472868,-66.251815, Calle Tamborada #300, Tamborada Pukarita, D9
-17.447719,-66.201049, Calle San Benito #301, Pukara Grande, D9
-17.433665,-66.191023, Calle Abaroa #302, 1ro de Mayo, D9
-17.468619,-66.201880, Calle 1ro de Mayo #303, Tamborada Pukarita, D9
-17.469327,-66.243035, Calle Esperanza #304, Pukara Grande, D9
-17.458655,-66.158838, Calle Tamborada #305, 1ro de Mayo, D9
-17.465008,-66.175709, Calle San Benito #306, Tamborada Pukarita, D9
-17.452103,-66.181764, Calle Abaroa #307, Pukara Grande, D9
-17.444863,-66.173251, Calle 1ro de Mayo #308, 1ro de Mayo, D9
-17.492339,-66.166593, Calle Esperanza #309, Tamborada Pukarita, D9
-17.469391,-66.224000, Calle Tamborada #310, Pukara Grande, D9
-17.436349,-66.212851, Calle San Benito #311, 1ro de Mayo, D9
-17.481610,-66.203334, Calle Abaroa #312, Tamborada Pukarita, D9
-17.442700,-66.229492, Calle 1ro de Mayo #313, Pukara Grande, D9
-17.484114,-66.183212, Calle Esperanza #314, 1ro de Mayo, D9
-17.455989,-66.229597, Calle Tamborada #315, Tamborada Pukarita, D9
-17.472981,-66.197568, Calle San Benito #316, Pukara Grande, D9
-17.504849,-66.173764, Calle Abaroa #317, 1ro de Mayo, D9
-17.442174,-66.204631, Calle 1ro de Mayo #318, Tamborada Pukarita, D9
-17.503570,-66.162778, Calle Esperanza #319, Pukara Grande, D9
-17.408853,-66.208813, Calle Tamborada #320, 1ro de Mayo, D9
-17.413283,-66.212548, Calle San Benito #321, Tamborada Pukarita, D9
-17.446273,-66.193841, Calle Abaroa #322, Pukara Grande, D9
-17.502618,-66.156676, Calle 1ro de Mayo #323, 1ro de Mayo, D9
-17.455289,-66.205330, Calle Esperanza #324, Tamborada Pukarita, D9
-17.436888,-66.184415, Calle Tamborada #325, Pukara Grande, D9
-17.420920,-66.210242, Calle San Benito #326, 1ro de Mayo, D9
-17.500417,-66.173059, Calle Abaroa #327, Tamborada Pukarita, D9
-17.451084,-66.167854, Calle 1ro de Mayo #328, Pukara Grande, D9
-17.425199,-66.217410, Calle Esperanza #329, 1ro de Mayo, D9
-17.502096,-66.176576, Calle Tamborada #330, Tamborada Pukarita, D9
-17.444695,-66.219096, Calle San Benito #331, Pukara Grande, D9
-17.506013,-66.164865, Calle Abaroa #332, 1ro de Mayo, D9
-17.491531,-66.159854, Calle 1ro de Mayo #333, Tamborada Pukarita, D9
-17.451238,-66.210996, Calle Esperanza #334, Pukara Grande, D9
-17.464772,-66.210451, Calle Tamborada #335, 1ro de Mayo, D9
-17.481452,-66.230151, Calle San Benito #336, Tamborada Pukarita, D9
-17.479267,-66.182249, Calle Abaroa #337, Pukara Grande, D9
-17.433629,-66.189889, Calle 1ro de Mayo #338, 1ro de Mayo, D9
-17.439549,-66.183805, Calle Esperanza #339, Tamborada Pukarita, D9
-17.458520,-66.168746, Calle Tamborada #340, Pukara Grande, D9
-17.479707,-66.175821, Calle San Benito #341, 1ro de Mayo, D9
-17.446386,-66.222425, Calle Abaroa #342, Tamborada Pukarita, D9
-17.416222,-66.216966, Calle 1ro de Mayo #343, Pukara Grande, D9
-17.469884,-66.221105, Calle Esperanza #344, 1ro de Mayo, D9
-17.412159,-66.221182, Calle Tamborada #345, Tamborada Pukarita, D9
-17.473350,-66.233330, Calle San Benito #346, Pukara Grande, D9
-17.467296,-66.203635, Calle Abaroa #347, 1ro de Mayo, D9
-17.465646,-66.180990, Calle 1ro de Mayo #348, Tamborada Pukarita, D9
-17.502727,-66.161982, Calle Esperanza #349, Pukara Grande, D9
-17.492321,-66.166621, Calle Tamborada #350, 1ro de Mayo, D9
-17.459628,-66.187357, Calle San Benito #351, Tamborada Pukarita, D9
-17.439515,-66.179220, Calle Abaroa #352, Pukara Grande, D9
-17.460043,-66.167490, Calle 1ro de Mayo #353, 1ro de Mayo, D9
-17.449491,-66.212995, Calle Esperanza #354, Tamborada Pukarita, D9
-17.472087,-66.160586, Calle Tamborada #355, Pukara Grande, D9
-17.491336,-66.196279, Calle San Benito #356, 1ro de Mayo, D9
-17.478003,-66.240564, Calle Abaroa #357, Tamborada Pukarita, D9
-17.407589,-66.204946, Calle 1ro de Mayo #358, Pukara Grande, D9
-17.477856,-66.190571, Calle Esperanza #359, 1ro de Mayo, D9
-17.445894,-66.184954, Calle Tamborada #360, Tamborada Pukarita, D9
-17.424276,-66.219786, Calle San Benito #361, Pukara Grande, D9
-17.478511,-66.212750, Calle Abaroa #362, 1ro de Mayo, D9
-17.487672,-66.257113, Calle 1ro de Mayo #363, Tamborada Pukarita, D9
-17.491817,-66.180733, Calle Esperanza #364, Pukara Grande, D9
-17.496484,-66.168680, Calle Tamborada #365, 1ro de Mayo, D9
-17.451410,-66.200799, Calle San Benito #366, Tamborada Pukarita, D9
-17.446333,-66.220165, Calle Abaroa #367, Pukara Grande, D9
-17.481854,-66.174503, Calle 1ro de Mayo #368, 1ro de Mayo, D9
-17.497825,-66.177423, Calle Esperanza #369, Tamborada Pukarita, D9
-17.485730,-66.164751, Calle Tamborada #370, Pukara Grande, D9
-17.476889,-66.191129, Calle San Benito #371, 1ro de Mayo, D9
-17.492554,-66.196713, Calle Abaroa #372, Tamborada Pukarita, D9
-17.485618,-66.182099, Calle 1ro de Mayo #373, Pukara Grande, D9
-17.498349,-66.185221, Calle Esperanza #374, 1ro de Mayo, D9
-17.482276,-66.255054, Calle Tamborada #375, Tamborada Pukarita, D9
-17.459313,-66.202814, Calle San Benito #376, Pukara Grande, D9
-17.404910,-66.201864, Calle Abaroa #377, 1ro de Mayo, D9
-17.460310,-66.235888, Calle 1ro de Mayo #378, Tamborada Pukarita, D9
-17.479615,-66.251441, Calle Esperanza #379, Pukara Grande, D9
-17.428887,-66.211104, Calle Tamborada #380, 1ro de Mayo, D9
-17.470197,-66.165390, Calle San Benito #381, Tamborada Pukarita, D9
-17.445852,-66.161054, Calle Abaroa #382, Pukara Grande, D9
-17.502744,-66.165652, Calle 1ro de Mayo #383, 1ro de Mayo, D9
-17.406567,-66.194695, Calle Esperanza #384, Tamborada Pukarita, D9
-17.452831,-66.194268, Calle Tamborada #385, Pukara Grande, D9
-17.443645,-66.180250, Calle San Benito #386, 1ro de Mayo, D9
-17.484575,-66.236611, Calle Abaroa #387, Tamborada Pukarita, D9
-17.444791,-66.172709, Calle 1ro de Mayo #388, Pukara Grande, D9
-17.455083,-66.229358, Calle Esperanza #389, 1ro de Mayo, D9
-17.481344,-66.199140, Calle Tamborada #390, Tamborada Pukarita, D9
-17.427162,-66.192029, Calle San Benito #391, Pukara Grande, D9
-17.416544,-66.207511, Calle Abaroa #392, 1ro de Mayo, D9
-17.448119,-66.212258, Calle 1ro de Mayo #393, Tamborada Pukarita, D9
-17.446822,-66.230043, Calle Esperanza #394, Pukara Grande, D9
-17.434150,-66.196048, Calle Tamborada #395, 1ro de Mayo, D9
-17.418168,-66.191418, Calle San Benito #396, Tamborada Pukarita, D9
-17.450801,-66.193394, Calle Abaroa #397, Pukara Grande, D9
-17.406850,-66.204122, Calle 1ro de Mayo #398, 1ro de Mayo, D9
-17.485785,-66.156907, Calle Esperanza #399, Tamborada Pukarita, D9
-17.477286,-66.191360, Calle Tamborada #400, Pukara Grande, D9
-17.452008,-66.206570, Calle San Benito #401, 1ro de Mayo, D9
-17.451721,-66.211714, Calle Abaroa #402, Tamborada Pukarita, D9
-17.471513,-66.173323, Calle 1ro de Mayo #403, Pukara Grande, D9
-17.485510,-66.202068, Calle Esperanza #404, 1ro de Mayo, D9
-17.444262,-66.203436, Calle Tamborada #405, Tamborada Pukarita, D9
-17.486799,-66.158136, Calle San Benito #406, Pukara Grande, D9
-17.451709,-66.164278, Calle Abaroa #407, 1ro de Mayo, D9
-17.422000,-66.211672, Calle 1ro de Mayo #408, Tamborada Pukarita, D9
-17.405063,-66.212965, Calle Esperanza #409, Pukara Grande, D9
-17.418007,-66.220629, Calle Tamborada #410, 1ro de Mayo, D9
-17.424435,-66.222362, Calle San Benito #411, Tamborada Pukarita, D9
-17.468913,-66.192174, Calle Abaroa #412, Pukara Grande, D9
-17.481598,-66.250227, Calle 1ro de Mayo #413, 1ro de Mayo, D9
-17.448481,-66.174251, Calle Esperanza #414, Tamborada Pukarita, D9
-17.448101,-66.174218, Calle Tamborada #415, Pukara Grande, D9
-17.415762,-66.213455, Calle San Benito #416, 1ro de Mayo, D9
-17.440283,-66.223035, Calle Abaroa #417, Tamborada Pukarita, D9
-17.440589,-66.203953, Calle 1ro de Mayo #418, Pukara Grande, D9
-17.484006,-66.238584, Calle Esperanza #419, 1ro de Mayo, D9
-17.454041,-66.205153, Calle Tamborada #420, Tamborada Pukarita, D9
-17.438929,-66.208375, Calle San Benito #421, Pukara Grande, D9
-17.468382,-66.171819, Calle Abaroa #422, 1ro de Mayo, D9
-17.416855,-66.214909, Calle 1ro de Mayo #423, Tamborada Pukarita, D9
-17.482887,-66.173585, Calle Esperanza #424, Pukara Grande, D9
-17.472266,-66.190467, Calle Tamborada #425, 1ro de Mayo, D9
-17.422713,-66.211081, Calle San Benito #426, Tamborada Pukarita, D9
-17.470642,-66.213077, Calle Abaroa #427, Pukara Grande, D9
-17.464942,-66.201608, Calle 1ro de Mayo #428, 1ro de Mayo, D9
-17.466857,-66.237601, Calle Esperanza #429, Tamborada Pukarita, D9
-17.497025,-66.158678, Calle Tamborada #430, Pukara Grande, D9
-17.444565,-66.166472, Calle San Benito #431, 1ro de Mayo, D9
-17.440099,-66.193199, Calle Abaroa #432, Tamborada Pukarita, D9
-17.466826,-66.216947, Calle 1ro de Mayo #433, Pukara Grande, D9
-17.455742,-66.212346, Calle Esperanza #434, 1ro de Mayo, D9
-17.458775,-66.195105, Calle Tamborada #435, Tamborada Pukarita, D9
-17.456087,-66.178960, Calle San Benito #436, Pukara Grande, D9
-17.461646,-66.222887, Calle Abaroa #437, 1ro de Mayo, D9
-17.496225,-66.172791, Calle 1ro de Mayo #438, Tamborada Pukarita, D9
-17.471014,-66.234849, Calle Esperanza #439, Pukara Grande, D9
-17.458489,-66.165686, Calle Tamborada #440, 1ro de Mayo, D9
-17.467911,-66.238626, Calle San Benito #441, Tamborada Pukarita, D9
-17.446034,-66.175574, Calle Abaroa #442, Pukara Grande, D9
-17.446377,-66.180016, Calle 1ro de Mayo #443, 1ro de Mayo, D9
-17.485141,-66.241530, Calle Esperanza #444, Tamborada Pukarita, D9
-17.464670,-66.232977, Calle Tamborada #445, Pukara Grande, D9
-17.492913,-66.196712, Calle San Benito #446, 1ro de Mayo, D9
-17.442245,-66.173465, Calle Abaroa #447, Tamborada Pukarita, D9
-17.462455,-66.199167, Calle 1ro de Mayo #448, Pukara Grande, D9
-17.449119,-66.207971, Calle Esperanza #449, 1ro de Mayo, D9
-17.441523,-66.215082, Calle Tamborada #450, Tamborada Pukarita, D9
-17.422584,-66.188642, Calle San Benito #451, Pukara Grande, D9
-17.467030,-66.212115, Calle Abaroa #452, 1ro de Mayo, D9
-17.415799,-66.198121, Calle 1ro de Mayo #453, Tamborada Pukarita, D9
-17.459622,-66.173418, Calle Esperanza #454, Pukara Grande, D9
-17.410345,-66.209749, Calle Tamborada #455, 1ro de Mayo, D9
-17.475097,-66.240552, Calle San Benito #456, Tamborada Pukarita, D9
-17.479959,-66.257403, Calle Abaroa #457, Pukara Grande, D9
-17.496627,-66.167336, Calle 1ro de Mayo #458, 1ro de Mayo, D9
-17.445486,-66.222072, Calle Esperanza #459, Tamborada Pukarita, D9
-17.503303,-66.171554, Calle Tamborada #460, Pukara Grande, D9
-17.508270,-66.161491, Calle San Benito #461, 1ro de Mayo, D9
-17.482204,-66.217711, Calle Abaroa #462, Tamborada Pukarita, D9
-17.426094,-66.187725, Calle 1ro de Mayo #463, Pukara Grande, D9
-17.436618,-66.192333, Calle Esperanza #464, 1ro de Mayo, D9
-17.428007,-66.204807, Calle Tamborada #465, Tamborada Pukarita, D9
-17.424271,-66.184728, Calle San Benito #466, Pukara Grande, D9
-17.483068,-66.233624, Calle Abaroa #467, 1ro de Mayo, D9
-17.446122,-66.190774, Calle 1ro de Mayo #468, Tamborada Pukarita, D9
-17.415767,-66.199968, Calle Esperanza #469, Pukara Grande, D9
-17.482849,-66.191784, Calle Tamborada #470, 1ro de Mayo, D9
-17.465574,-66.183691, Calle San Benito #471, Tamborada Pukarita, D9
-17.459364,-66.235513, Calle Abaroa #472, Pukara Grande, D9
-17.411640,-66.209852, Calle 1ro de Mayo #473, 1ro de Mayo, D9
-17.482645,-66.165179, Calle Esperanza #474, Tamborada Pukarita, D9
-17.456750,-66.217637, Calle Tamborada #475, Pukara Grande, D9
-17.467192,-66.195501, Calle San Benito #476, 1ro de Mayo, D9
-17.479565,-66.156181, Calle Abaroa #477, Tamborada Pukarita, D9
-17.454759,-66.191485, Calle 1ro de Mayo #478, Pukara Grande, D9
-17.466594,-66.166361, Calle Esperanza #479, 1ro de Mayo, D9
-17.486829,-66.179203, Calle Tamborada #480, Tamborada Pukarita, D9
-17.415416,-66.213425, Calle San Benito #481, Pukara Grande, D9
-17.474725,-66.244146, Calle Abaroa #482, 1ro de Mayo, D9
-17.472272,-66.208290, Calle 1ro de Mayo #483, Tamborada Pukarita, D9
-17.462324,-66.188272, Calle Esperanza #484, Pukara Grande, D9
