-17.428250,-66.160547, Calle Libertad #100, Jaihuayco, D5
-17.433446,-66.150933, Calle Ballivián #168, Lacma, D5
-17.428566,-66.168099, Av. Petrolera #169, Jaihuayco, D5
-17.435268,-66.167971, Calle Libertad #170, Alalay Norte, D5
-17.436535,-66.150649, Calle Villarroel #171, Lacma, D5
-17.414177,-66.176585, Calle Antezana #172, Jaihuayco, D5
-17.422373,-66.160977, Calle Ballivián #173, Alalay Norte, D5
-17.438860,-66.147307, Av. Petrolera #174, Lacma, D5
-17.413049,-66.158054, Calle Libertad #175, Jaihuayco, D5
-17.427810,-66.173443, Calle Villarroel #176, Alalay Norte, D5
-17.428065,-66.164104, Calle Antezana #177, Lacma, D5
-17.424986,-66.166911, Calle Ballivián #178, Jaihuayco, D5
-17.431934,-66.154711, Av. Petrolera #179, Alalay Norte, D5
-17.440313,-66.146400, Calle Libertad #180, Lacma, D5
-17.428590,-66.154005, Calle Villarroel #181, Jaihuayco, D5
-17.424227,-66.165035, Calle Antezana #182, Alalay Norte, D5
-17.434073,-66.169184, Calle Ballivián #183, Lacma, D5
-17.433908,-66.156410, Av. Petrolera #184, Jaihuayco, D5
-17.434761,-66.154060, Calle Libertad #185, Alalay Norte, D5
-17.434366,-66.152204, Calle Villarroel #186, Lacma, D5
-17.412816,-66.175347, Calle Antezana #187, Jaihuayco, D5
-17.432896,-66.165852, Calle Ballivián #188, Alalay Norte, D5
-17.427725,-66.160697, Av. Petrolera #189, Lacma, D5
-17.430754,-66.165194, Calle Libertad #190, Jaihuayco, D5
-17.415079,-66.170611, Calle Villarroel #191, Alalay Norte, D5
-17.412011,-66.174472, Calle Antezana #192, Lacma, D5
-17.435859,-66.159016, Calle Ballivián #193, Jaihuayco, D5
-17.415025,-66.174319, Av. Petrolera #194, Alalay Norte, D5
-17.429808,-66.171735, Calle Libertad #195, Lacma, D5
-17.436926,-66.152980, Calle Villarroel #196, Jaihuayco, D5
-17.414925,-66.167486, Calle Antezana #197, Alalay Norte, D5
-17.426172,-66.163279, Calle Ballivián #198, Lacma, D5
-17.418844,-66.167919, Av. Petrolera #199, Jaihuayco, D5
-17.428566,-66.158569, Calle Libertad #200, Alalay Norte, D5
-17.424578,-66.160088, Calle Villarroel #201, Lacma, D5
-17.424349,-66.163361, Calle Antezana #202, Jaihuayco, D5
-17.417521,-66.161759, Calle Ballivián #203, Alalay Norte, D5
-17.433079,-66.153901, Av. Petrolera #204, Lacma, D5
-17.424574,-66.176499, Calle Libertad #205, Jaihuayco, D5
-17.419502,-66.170259, Calle Villarroel #206, Alalay Norte, D5
-17.430230,-66.166579, Calle Antezana #207, Lacma, D5
-17.440526,-66.150581, Calle Ballivián #208, Jaihuayco, D5
-17.431043,-66.155817, Av. Petrolera #209, Alalay Norte, D5
-17.427822,-66.157487, Calle Libertad #210, Lacma, D5
-17.413151,-66.158333, Calle Villarroel #211, Jaihuayco, D5
-17.427414,-66.160636, Calle Antezana #212, Alalay Norte, D5
-17.429891,-66.166938, Calle Ballivián #213, Lacma, D5
-17.419606,-66.158225, Av. Petrolera #214, Jaihuayco, D5
-17.422681,-66.170113, Calle Libertad #215, Alalay Norte, D5
-17.437157,-66.159713, Calle Villarroel #216, Lacma, D5
-17.425731,-66.160089, Calle Antezana #217, Jaihuayco, D5
-17.437393,-66.165234, Calle Ballivián #218, Alalay Norte, D5
-17.415025,-66.186977, Av. Petrolera #219, Lacma, D5
-17.436154,-66.154537, Calle Libertad #220, Jaihuayco, D5
-17.417409,-66.161003, Calle Villarroel #221, Alalay Norte, D5
-17.436542,-66.167620, Calle Antezana #222, Lacma, D5
-17.426087,-66.171212, Calle Ballivián #223, Jaihuayco, D5
-17.437148,-66.156421, Av. Petrolera #224, Alalay Norte, D5
-17.411606,-66.182543, Calle Libertad #225, Lacma, D5
-17.421068,-66.172710, Calle Villarroel #226, Jaihuayco, D5
-17.412213,-66.170636, Calle Antezana #227, Alalay Norte, D5
-17.408525,-66.189355, Calle Ballivián #228, Lacma, D5
-17.427145,-66.155595, Av. Petrolera #229, Jaihuayco, D5
-17.410410,-66.173512, Calle Libertad #230, Alalay Norte, D5
-17.409332,-66.190776, Calle Villarroel #231, Lacma, D5
-17.411165,-66.187157, Calle Antezana #232, Jaihuayco, D5
-17.410898,-66.165973, Calle Ballivián #233, Alalay Norte, D5
-17.431247,-66.155599, Av. Petrolera #234, Lacma, D5
-17.411467,-66.168839, Calle Libertad #235, Jaihuayco, D5
-17.435138,-66.168688, Calle Villarroel #236, Alalay Norte, D5
-17.416030,-66.160819, Calle Antezana #237, Lacma, D5
-17.423993,-66.161640, Calle Ballivián #238, Jaihuayco, D5
-17.420077,-66.169596, Av. Petrolera #239, Alalay Norte, D5
-17.422896,-66.155489, Calle Libertad #240, Lacma, D5
-17.434334,-66.167803, Calle Villarroel #241, Jaihuayco, D5
-17.410628,-66.170805, Calle Antezana #242, Alalay Norte, D5
-17.429140,-66.170401, Calle Ballivián #243, Lacma, D5
-17.407696,-66.190277, Av. Petrolera #244, Jaihuayco, D5
-17.418684,-66.178076, Calle Libertad #245, Alalay Norte, D5
-17.428218,-66.172409, Calle Villarroel #246, Lacma, D5
-17.435736,-66.159930, Calle Antezana #247, Jaihuayco, D5
-17.411070,-66.183082, Calle Ballivián #248, Alalay Norte, D5
-17.435295,-66.150638, Av. Petrolera #249, Lacma, D5
-17.431691,-66.166835, Calle Libertad #250, Jaihuayco, D5
-17.432266,-66.164235, Calle Villarroel #251, Alalay Norte, D5
-17.434113,-66.168472, Calle Antezana #252, Lacma, D5
-17.420999,-66.175960, Calle Ballivián #253, Jaihuayco, D5
-17.426941,-66.178644, Av. Petrolera #254, Alalay Norte, D5
-17.414082,-66.178231, Calle Libertad #255, Lacma, D5
-17.416099,-66.165769, Calle Villarroel #256, Jaihuayco, D5
-17.412341,-66.166469, Calle Antezana #257, Alalay Norte, D5
-17.422401,-66.156162, Calle Ballivián #258, Lacma, D5
-17.429296,-66.165703, Av. Petrolera #259, Jaihuayco, D5
-17.413902,-66.161697, Calle Libertad #260, Alalay Norte, D5
-17.429278,-66.162637, Calle Villarroel #261, Lacma, D5
-17.425559,-66.163826, Calle Antezana #262, Jaihuayco, D5
-17.437404,-66.151606, Calle Ballivián #263, Alalay Norte, D5
-17.427240,-66.165650, Av. Petrolera #264, Lacma, D5
-17.434404,-66.169831, Calle Libertad #265, Jaihuayco, D5
-17.413075,-66.177605, Calle Villarroel #266, Alalay Norte, D5
-17.415537,-66.171608, Calle Antezana #267, Lacma, D5
-17.423478,-66.173914, Calle Ballivián #268, Jaihuayco, D5
-17.423113,-66.163532, Av. Petrolera #269, Alalay Norte, D5
-17.414810,-66.175569, Calle Libertad #270, Lacma, D5
-17.418663,-66.156804, Calle Villarroel #271, Jaihuayco, D5
-17.429370,-66.168322, Calle Antezana #272, Alalay Norte, D5
-17.412406,-66.168007, Calle Ballivián #273, Lacma, D5
-17.438587,-66.153170, Av. Petrolera #274, Jaihuayco, D5
-17.440589,-66.147498, Calle Libertad #275, Alalay Norte, D5
-17.413060,-66.180389, Calle Villarroel #276, Lacma, D5
-17.420499,-66.161582, Calle Antezana #277, Jaihuayco, D5
-17.438169,-66.149947, Calle Ballivián #278, Alalay Norte, D5
-17.412841,-66.181755, Av. Petrolera #279, Lacma, D5
-17.420431,-66.179573, Calle Libertad #280, Jaihuayco, D5
-17.421701,-66.166153, Calle Villarroel #281, Alalay Norte, D5
-17.424049,-66.171373, Calle Antezana #282, Lacma, D5
-17.438697,-66.154483, Calle Ballivián #283, Jaihuayco, D5
-17.421272,-66.168286, Av. Petrolera #284, Alalay Norte, D5
-17.430410,-66.170540, Calle Libertad #285, Lacma, D5
-17.416020,-66.163053, Calle Villarroel #286, Jaihuayco, D5
-17.419485,-66.159998, Calle Antezana #287, Alalay Norte, D5
-17.429288,-66.163438, Calle Ballivián #288, Lacma, D5
-17.434263,-66.157123, Av. Petrolera #289, Jaihuayco, D5
-17.435280,-66.151055, Calle Libertad #290, Alalay Norte, D5
-17.413772,-66.179623, Calle Villarroel #291, Lacma, D5
-17.425430,-66.181010, Calle Antezana #292, Jaihuayco, D5
-17.410977,-66.184563, Calle Ballivián #293, Alalay Norte, D5
-17.420755,-66.163157, Av. Petrolera #294, Lacma, D5
-17.433599,-66.151804, Calle Libertad #295, Jaihuayco, D5
-17.417337,-66.161170, Calle Villarroel #296, Alalay Norte, D5
-17.427948,-66.158948, Calle Antezana #297, Lacma, D5
-17.424176,-66.171044, Calle Ballivián #298, Jaihuayco, D5
-17.408891,-66.190416, Av. Petrolera #299, Alalay Norte, D5
-17.415333,-66.156418, Calle Libertad #300, Lacma, D5
-17.439170,-66.149173, Calle Villarroel #301, Jaihuayco, D5
-17.429992,-66.152437, Calle Antezana #302, Alalay Norte, D5
-17.425808,-66.164672, Calle Ballivián #303, Lacma, D5
-17.434507,-66.163736, Av. Petrolera #304, Jaihuayco, D5
-17.432882,-66.161705, Calle Libertad #305, Alalay Norte, D5
-17.425839,-66.166049, Calle Villarroel #306, Lacma, D5
-17.414802,-66.184208, Calle Antezana #307, Jaihuayco, D5
-17.431282,-66.169028, Calle Ballivián #308, Alalay Norte, D5
-17.432349,-66.152648, Av. Petrolera #309, Lacma, D5
-17.422172,-66.156270, Calle Libertad #310, Jaihuayco, D5
-17.423476,-66.160647, Calle Villarroel #311, Alalay Norte, D5
-17.420297,-66.163976, Calle Antezana #312, Lacma, D5
-17.416637,-66.183250, Calle Ballivián #313, Jaihuayco, D5
-17.425560,-66.163367, Av. Petrolera #314, Alalay Norte, D5
-17.434705,-66.149519, Calle Libertad #315, Lacma, D5
-17.425573,-66.158979, Calle Villarroel #316, Jaihuayco, D5
-17.419616,-66.175890, Calle Antezana #317, Alalay Norte, D5
-17.438444,-66.146548, Calle Ballivián #318, Lacma, D5
-17.428446,-66.158160, Av. Petrolera #319, Jaihuayco, D5
-17.440575,-66.155564, Calle Libertad #320, Alalay Norte, D5
-17.438284,-66.150472, Calle Villarroel #321, Lacma, D5
-17.434373,-66.149614, Calle Antezana #322, Jaihuayco, D5
-17.412458,-66.168688, Calle Ballivián #323, Alalay Norte, D5
-17.413126,-66.168860, Av. Petrolera #324, Lacma, D5
-17.424188,-66.173950, Calle Libertad #325, Jaihuayco, D5
-17.430196,-66.168856, Calle Villarroel #326, Alalay Norte, D5
-17.421497,-66.160895, Calle Antezana #327, Lacma, D5
-17.426609,-66.174730, Calle Ballivián #328, Jaihuayco, D5
-17.423878,-66.178121, Av. Petrolera #329, Alalay Norte, D5
-17.432161,-66.168662, Calle Libertad #330, Lacma, D5
-17.410331,-66.167491, Calle Villarroel #331, Jaihuayco, D5
-17.428727,-66.158832, Calle Antezana #332, Alalay Norte, D5
-17.419561,-66.156835, Calle Ballivián #333, Lacma, D5
-17.429502,-66.183134, Av. Petrolera #334, Jaihuayco, D5
-17.411182,-66.172191, Calle Libertad #335, Alalay Norte, D5
-17.417586,-66.175491, Calle Villarroel #336, Lacma, D5
-17.418077,-66.159490, Calle Antezana #337, Jaihuayco, D5
-17.438495,-66.161153, Calle Ballivián #338, Alalay Norte, D5
-17.440793,-66.157778, Av. Petrolera #339, Lacma, D5
-17.424830,-66.167209, Calle Libertad #340, Jaihuayco, D5
-17.426124,-66.163269, Calle Villarroel #341, Alalay Norte, D5
-17.414492,-66.176397, Calle Antezana #342, Lacma, D5
-17.436613,-66.161989, Calle Ballivián #343, Jaihuayco, D5
-17.424695,-66.178285, Av. Petrolera #344, Alalay Norte, D5
-17.430236,-66.171694, Calle Libertad #345, Lacma, D5
-17.412865,-66.187349, Calle Villarroel #346, Jaihuayco, D5
-17.423119,-66.156709, Calle Antezana #347, Alalay Norte, D5
-17.434380,-66.164789, Calle Ballivián #348, Lacma, D5
-17.415283,-66.156924, Av. Petrolera #349, Jaihuayco, D5
-17.436217,-66.159884, Calle Libertad #350, Alalay Norte, D5
-17.411757,-66.185987, Calle Villarroel #351, Lacma, D5
-17.440641,-66.149233, Calle Antezana #352, Jaihuayco, D5
-17.423791,-66.170780, Calle Ballivián #353, Alalay Norte, D5
-17.410150,-66.186888, Av. Petrolera #354, Lacma, D5
-17.440336,-66.146702, Calle Libertad #355, Jaihuayco, D5
-17.418987,-66.167431, Calle Villarroel #356, Alalay Norte, D5
-17.414314,-66.172841, Calle Antezana #357, Lacma, D5
-17.412913,-66.169220, Calle Ballivián #358, Jaihuayco, D5
-17.438441,-66.156385, Av. Petrolera #359, Alalay Norte, D5
-17.411718,-66.185732, Calle Libertad #360, Lacma, D5
-17.419428,-66.160129, Calle Villarroel #361, Jaihuayco, D5
-17.438642,-66.163534, Calle Antezana #362, Alalay Norte, D5
-17.419491,-66.176961, Calle Ballivián #363, Lacma, D5
-17.437751,-66.152229, Av. Petrolera #364, Jaihuayco, D5
-17.436513,-66.165204, Calle Libertad #365, Alalay Norte, D5
-17.433147,-66.155609, Calle Villarroel #366, Lacma, D5
-17.416365,-66.181197, Calle Antezana #367, Jaihuayco, D5
-17.410129,-66.167588, Calle Ballivián #368, Alalay Norte, D5
-17.433858,-66.165532, Av. Petrolera #369, Lacma, D5
-17.440301,-66.149053, Calle Libertad #370, Jaihuayco, D5
-17.436138,-66.150070, Calle Villarroel #371, Alalay Norte, D5
-17.408870,-66.172337, Calle Antezana #372, Lacma, D5
-17.430372,-66.169427, Calle Ballivián #373, Jaihuayco, D5
-17.434069,-66.149976, Av. Petrolera #374, Alalay Norte, D5
-17.418138,-66.156431, Calle Libertad #375, Lacma, D5
-17.415097,-66.170016, Calle Villarroel #376, Jaihuayco, D5
-17.415920,-66.163987, Calle Antezana #377, Alalay Norte, D5
-17.410880,-66.167584, Calle Ballivián #378, Lacma, D5
-17.414099,-66.178220, Av. Petrolera #379, Jaihuayco, D5
-17.418437,-66.165974, Calle Libertad #380, Alalay Norte, D5
-17.412948,-66.183183, Calle Villarroel #381, Lacma, D5
-17.415799,-66.178061, Calle Antezana #382, Jaihuayco, D5
-17.408964,-66.189503, Calle Ballivián #383, Alalay Norte, D5
-17.434301,-66.169306, Av. Petrolera #384, Lacma, D5
-17.432383,-66.153081, Calle Libertad #385, Jaihuayco, D5
-17.427108,-66.158979, Calle Villarroel #386, Alalay Norte, D5
-17.423509,-66.169508, Calle Antezana #387, Lacma, D5
-17.435466,-66.161746, Calle Ballivián #388, Jaihuayco, D5
-17.413738,-66.185984, Av. Petrolera #389, Alalay Norte, D5
-17.419194,-66.171107, Calle Libertad #390, Lacma, D5
-17.417807,-66.157930, Calle Villarroel #391, Jaihuayco, D5
-17.418389,-66.163326, Calle Antezana #392, Alalay Norte, D5
-17.434332,-66.168462, Calle Ballivián #393, Lacma, D5
-17.424861,-66.173243, Av. Petrolera #394, Jaihuayco, D5
-17.431661,-66.153100, Calle Libertad #395, Alalay Norte, D5
-17.420847,-66.168689, Calle Villarroel #396, Lacma, D5
-17.417966,-66.179298, Calle Antezana #397, Jaihuayco, D5
-17.430519,-66.166311, Calle Ballivián #398, Alalay Norte, D5
-17.437074,-66.164564, Av. Petrolera #399, Lacma, D5
-17.419409,-66.171201, Calle Libertad #400, Jaihuayco, D5
-17.414370,-66.165800, Calle Villarroel #401, Alalay Norte, D5
-17.415422,-66.179839, Calle Antezana #402, Lacma, D5
-17.423444,-66.158511, Calle Ballivián #403, Jaihuayco, D5
-17.416290,-66.174079, Av. Petrolera #404, Alalay Norte, D5
-17.428168,-66.180524, Calle Libertad #405, Lacma, D5
-17.426056,-66.170022, Calle Villarroel #406, Jaihuayco, D5
-17.415132,-66.179768, Calle Antezana #407, Alalay Norte, D5
-17.437017,-66.156791, Calle Ballivián #408, Lacma, D5
-17.409914,-66.189835, Av. Petrolera #409, Jaihuayco, D5
-17.440531,-66.148558, Calle Libertad #410, Alalay Norte, D5
-17.432660,-66.161743, Calle Villarroel #411, Lacma, D5
-17.432269,-66.151613, Calle Antezana #412, Jaihuayco, D5
-17.413003,-66.168103, Calle Ballivián #413, Alalay Norte, D5
-17.410460,-66.189467, Av. Petrolera #414, Lacma, D5
-17.435527,-66.157584, Calle Libertad #415, Jaihuayco, D5
-17.415825,-66.179759, Calle Villarroel #416, Alalay Norte, D5
-17.438360,-66.157413, Calle Antezana #417, Lacma, D5
-17.428020,-66.173545, Calle Ballivián #418, Jaihuayco, D5
-17.426107,-66.170830, Av. Petrolera #419, Alalay Norte, D5
-17.428250,-66.170251, Calle Libertad #420, Lacma, D5
-17.412128,-66.174060, Calle Villarroel #421, Jaihuayco, D5
-17.416541,-66.156862, Calle Antezana #422, Alalay Norte, D5
-17.411019,-66.170623, Calle Ballivián #423, Lacma, D5
-17.413190,-66.178986, Av. Petrolera #424, Jaihuayco, D5
-17.427934,-66.159691, Calle Libertad #425, Alalay Norte, D5
-17.415753,-66.174893, Calle Villarroel #426, Lacma, D5
-17.414786,-66.174851, Calle Antezana #427, Jaihuayco, D5
-17.428022,-66.155010, Calle Ballivián #428, Alalay Norte, D5
-17.429483,-66.163102, Av. Petrolera #429, Lacma, D5
-17.434364,-66.150130, Calle Libertad #430, Jaihuayco, D5
-17.410294,-66.168456, Calle Villarroel #431, Alalay Norte, D5
-17.430325,-66.153951, Calle Antezana #432, Lacma, D5
-17.427060,-66.164449, Calle Ballivián #433, Jaihuayco, D5
-17.433832,-66.156090, Av. Petrolera #434, Alalay Norte, D5
-17.418442,-66.162924, Calle Libertad #435, Lacma, D5
-17.427292,-66.175029, Calle Villarroel #436, Jaihuayco, D5
-17.429106,-66.163262, Calle Antezana #437, Alalay Norte, D5
-17.430300,-66.168318, Calle Ballivián #438, Lacma, D5
-17.436668,-66.158709, Av. Petrolera #439, Jaihuayco, D5
-17.417157,-66.183955, Calle Libertad #440, Alalay Norte, D5
-17.420904,-66.156846, Calle Villarroel #441, Lacma, D5
-17.440944,-66.156537, Calle Antezana #442, Jaihuayco, D5
-17.436786,-66.156172, Calle Ballivián #443, Alalay Norte, D5
-17.433649,-66.159131, Av. Petrolera #444, Lacma, D5
-17.424914,-66.164588, Calle Libertad #445, Jaihuayco, D5
-17.426201,-66.173540, Calle Villarroel #446, Alalay Norte, D5
-17.440195,-66.156781, Calle Antezana #447, Lacma, D5
-17.414907,-66.177418, Calle Ballivián #448, Jaihuayco, D5
-17.435329,-66.149322, Av. Petrolera #449, Alalay Norte, D5
-17.425368,-66.170364, Calle Libertad #450, Lacma, D5
-17.432221,-66.166780, Calle Villarroel #451, Jaihuayco, D5
-17.432005,-66.169415, Calle Antezana #452, Alalay Norte, D5
-17.420172,-66.156973, Calle Ballivián #453, Lacma, D5
-17.416410,-66.156506, Av. Petrolera #454, Jaihuayco, D5
-17.427912,-66.162698, Calle Libertad #455, Alalay Norte, D5
-17.419249,-66.174689, Calle Villarroel #456, Lacma, D5
-17.409738,-66.187332, Calle Antezana #457, Jaihuayco, D5
-17.413040,-66.170246, Calle Ballivián #458, Alalay Norte, D5
-17.414800,-66.172171, Av. Petrolera #459, Lacma, D5
-17.409910,-66.185808, Calle Libertad #460, Jaihuayco, D5
-17.425040,-66.169400, Calle Villarroel #461, Alalay Norte, D5
-17.438477,-66.149333, Calle Antezana #462, Lacma, D5
-17.419869,-66.165506, Calle Ballivián #463, Jaihuayco, D5
-17.410387,-66.184984, Av. Petrolera #464, Alalay Norte, D5
-17.414587,-66.157792, Calle Libertad #465, Lacma, D5
-17.425867,-66.176503, Calle Villarroel #466, Jaihuayco, D5
-17.436207,-66.152931, Calle Antezana #467, Alalay Norte, D5
-17.421910,-66.155899, Calle Ballivián #468, Lacma, D5
-17.435022,-66.151056, Av. Petrolera #469, Jaihuayco, D5
-17.440886,-66.148602, Calle Libertad #470, Alalay Norte, D5
-17.424144,-66.162430, Calle Villarroel #471, Lacma, D5
-17.408751,-66.190313, Calle Antezana #472, Jaihuayco, D5
-17.439999,-66.151037, Calle Ballivián #473, Alalay Norte, D5
-17.429098,-66.167737, Av. Petrolera #474, Lacma, D5
-17.414351,-66.174863, Calle Libertad #475, Jaihuayco, D5
-17.409507,-66.169497, Calle Villarroel #476, Alalay Norte, D5
-17.414599,-66.177611, Calle Antezana #477, Lacma, D5
-17.435263,-66.160724, Calle Ballivián #478, Jaihuayco, D5
-17.413831,-66.177800, Av. Petrolera #479, Alalay Norte, D5
-17.424037,-66.177348, Calle Libertad #480, Lacma, D5
-17.435007,-66.167186, Calle Villarroel #481, Jaihuayco, D5
-17.419259,-66.180539, Calle Antezana #482, Alalay Norte, D5
-17.416331,-66.162531, Calle Ballivián #483, Lacma, D5
-17.411468,-66.174802, Av. Petrolera #484, Jaihuayco, D5
-17.414028,-66.178536, Calle Libertad #485, Alalay Norte, D5
-17.428083,-66.169785, Calle Villarroel #486, Lacma, D5
-17.426333,-66.172259, Calle Antezana #487, Jaihuayco, D5
-17.418260,-66.180730, Calle Ballivián #488, Alalay Norte, D5
-17.427445,-66.179588, Av. Petrolera #489, Lacma, D5
-17.426007,-66.156246, Calle Libertad #490, Jaihuayco, D5
-17.436604,-66.148741, Calle Villarroel #491, Alalay Norte, D5
-17.416273,-66.182608, Calle Antezana #492, Lacma, D5
-17.430975,-66.156230, Calle Ballivián #493, Jaihuayco, D5
-17.432459,-66.162544, Av. Petrolera #494, Alalay Norte, D5
-17.414935,-66.173927, Calle Libertad #495, Lacma, D5
-17.416085,-66.181071, Calle Villarroel #496, Jaihuayco, D5
-17.415069,-66.159445, Calle Antezana #497, Alalay Norte, D5
-17.424831,-66.170135, Calle Ballivián #498, Lacma, D5
-17.429752,-66.152361, Av. Petrolera #499, Jaihuayco, D5
-17.435694,-66.151143, Calle Libertad #500, Alalay Norte, D5
-17.429203,-66.184543, Calle Villarroel #501, Lacma, D5
-17.414672,-66.182151, Calle Antezana #502, Jaihuayco, D5
-17.420281,-66.155975, Calle Ballivián #503, Alalay Norte, D5
-17.424954,-66.161469, Av. Petrolera #504, Lacma, D5
-17.428244,-66.159202, Calle Libertad #505, Jaihuayco, D5
-17.436894,-66.165408, Calle Villarroel #506, Alalay Norte, D5
-17.424538,-66.170590, Calle Antezana #507, Lacma, D5
-17.438759,-66.159000, Calle Ballivián #508, Jaihuayco, D5
-17.411629,-66.174569, Av. Petrolera #509, Alalay Norte, D5
-17.417028,-66.157687, Calle Libertad #510, Lacma, D5
-17.410648,-66.185947, Calle Villarroel #511, Jaihuayco, D5
-17.424427,-66.179609, Calle Antezana #512, Alalay Norte, D5
-17.426821,-66.169762, Calle Ballivián #513, Lacma, D5
-17.408975,-66.169816, Av. Petrolera #514, Jaihuayco, D5
-17.438627,-66.149026, Calle Libertad #515, Alalay Norte, D5
-17.419375,-66.162845, Calle Villarroel #516, Lacma, D5
-17.424818,-66.162923, Calle Antezana #517, Jaihuayco, D5
-17.436813,-66.149126, Calle Ballivián #518, Alalay Norte, D5
-17.428342,-66.155488, Av. Petrolera #519, Lacma, D5
-17.432917,-66.161379, Calle Libertad #520, Jaihuayco, D5
-17.410173,-66.188153, Calle Villarroel #521, Alalay Norte, D5
-17.422676,-66.158043, Calle Antezana #522, Lacma, D5
-17.438806,-66.148893, Calle Ballivián #523, Jaihuayco, D5
-17.414893,-66.180792, Av. Petrolera #524, Alalay Norte, D5
-17.433207,-66.170278, Calle Libertad #525, Lacma, D5
-17.414470,-66.184355, Calle Villarroel #526, Jaihuayco, D5
-17.438026,-66.158228, Calle Antezana #527, Alalay Norte, D5
