-17.424504,-66.148321, Calle Kantuta #100, Alalay Sud, D6
-17.416034,-66.129524, Calle Dalence #219, Villa Hermosa, D6
-17.409781,-66.139896, Calle Kantuta #220, Alalay Sud, D6
-17.406660,-66.145903, Calle Siringuero #221, Kantuta, D6
-17.403557,-66.139820, Calle Tupac Katari #222, Villa Hermosa, D6
-17.410708,-66.140307, Av. Melchor Urquidi #223, Alalay Sud, D6
-17.401068,-66.127075, Calle Dalence #224, Kantuta, D6
-17.412733,-66.144612, Calle Kantuta #225, Villa Hermosa, D6
-17.406176,-66.152918, Calle Siringuero #226, Alalay Sud, D6
-17.414939,-66.128549, Calle Tupac Katari #227, Kantuta, D6
-17.416499,-66.142200, Av. Melchor Urquidi #228, Villa Hermosa, D6
-17.410765,-66.152881, Calle Dalence #229, Alalay Sud, D6
-17.402426,-66.134760, Calle Kantuta #230, Kantuta, D6
-17.407837,-66.147946, Calle Siringuero #231, Villa Hermosa, D6
-17.416302,-66.154250, Calle Tupac Katari #232, Alalay Sud, D6
-17.417388,-66.152985, Av. Melchor Urquidi #233, Kantuta, D6
-17.418285,-66.147875, Calle Dalence #234, Villa Hermosa, D6
-17.406784,-66.132965, Calle Kantuta #235, Alalay Sud, D6
-17.416776,-66.133738, Calle Siringuero #236, Kantuta, D6
-17.406446,-66.145798, Calle Tupac Katari #237, Villa Hermosa, D6
-17.415281,-66.146542, Av. Melchor Urquidi #238, Alalay Sud, D6
-17.403907,-66.126362, Calle Dalence #239, Kantuta, D6
-17.406599,-66.138226, Calle Kantuta #240, Villa Hermosa, D6
-17.412541,-66.136213, Calle Siringuero #241, Alalay Sud, D6
-17.412270,-66.137005, Calle Tupac Katari #242, Kantuta, D6
-17.407877,-66.152748, Av. Melchor Urquidi #243, Villa Hermosa, D6
-17.401817,-66.128592, Calle Dalence #244, Alalay Sud, D6
-17.412073,-66.148409, Calle Kantuta #245, Kantuta, D6
-17.419011,-66.133922, Calle Siringuero #246, Villa Hermosa, D6
-17.401688,-66.146981, Calle Tupac Katari #247, Alalay Sud, D6
-17.411607,-66.147313, Av. Melchor Urquidi #248, Kantuta, D6
-17.421655,-66.140783, Calle Dalence #249, Villa Hermosa, D6
-17.421075,-66.137500, Calle Kantuta #250, Alalay Sud, D6
-17.408571,-66.134060, Calle Siringuero #251, Kantuta, D6
-17.404044,-66.133976, Calle Tupac Katari #252, Villa Hermosa, D6
-17.401544,-66.142106, Av. Melchor Urquidi #253, Alalay Sud, D6
-17.423280,-66.144083, Calle Dalence #254, Kantuta, D6
-17.407312,-66.139379, Calle Kantuta #255, Villa Hermosa, D6
-17.411852,-66.127902, Calle Siringuero #256, Alalay Sud, D6
-17.416551,-66.142415, Calle Tupac Katari #257, Kantuta, D6
-17.404477,-66.137321, Av. Melchor Urquidi #258, Villa Hermosa, D6
-17.414864,-66.149237, Calle Dalence #259, Alalay Sud, D6
-17.414665,-66.152531, Calle Kantuta #260, Kantuta, D6
-17.408762,-66.130132, Calle Siringuero #261, Villa Hermosa, D6
-17.420164,-66.151774, Calle Tupac Katari #262, Alalay Sud, D6
-17.417496,-66.128583, Av. Melchor Urquidi #263, Kantuta, D6
-17.423031,-66.146145, Calle Dalence #264, Villa Hermosa, D6
-17.402133,-66.140824, Calle Kantuta #265, Alalay Sud, D6
-17.402200,-66.150456, Calle Siringuero #266, Kantuta, D6
-17.415807,-66.146096, Calle Tupac Katari #267, Villa Hermosa, D6
-17.426244,-66.147861, Av. Melchor Urquidi #268, Alalay Sud, D6
-17.411188,-66.132655, Calle Dalence #269, Kantuta, D6
-17.428495,-66.150820, Calle Kantuta #270, Villa Hermosa, D6
-17.400575,-66.134608, Calle Siringuero #271, Alalay Sud, D6
-17.425377,-66.146638, Calle Tupac Katari #272, Kantuta, D6
-17.401091,-66.138471, Av. Melchor Urquidi #273, Villa Hermosa, D6
-17.415704,-66.144453, Calle Dalence #274, Alalay Sud, D6
-17.409902,-66.129104, Calle Kantuta #275, Kantuta, D6
-17.422369,-66.135900, Calle Siringuero #276, Villa Hermosa, D6
-17.409068,-66.128418, Calle Tupac Katari #277, Alalay Sud, D6
-17.417378,-66.152768, Av. Melchor Urquidi #278, Kantuta, D6
-17.419955,-66.150022, Calle Dalence #279, Villa Hermosa, D6
-17.420650,-66.148553, Calle Kantuta #280, Alalay Sud, D6
-17.402177,-66.125938, Calle Siringuero #281, Kantuta, D6
-17.411863,-66.145930, Calle Tupac Katari #282, Villa Hermosa, D6
-17.400862,-66.127531, Av. Melchor Urquidi #283, Alalay Sud, D6
-17.417854,-66.137848, Calle Dalence #284, Kantuta, D6
-17.407756,-66.137244, Calle Kantuta #285, Villa Hermosa, D6
-17.414478,-66.135433, Calle Siringuero #286, Alalay Sud, D6
-17.404255,-66.131121, Calle Tupac Katari #287, Kantuta, D6
-17.413289,-66.146601, Av. Melchor Urquidi #288, Villa Hermosa, D6
-17.417122,-66.142831, Calle Dalence #289, Alalay Sud, D6
-17.398653,-66.136078, Calle Kantuta #290, Kantuta, D6
-17.417590,-66.131663, Calle Siringuero #291, Villa Hermosa, D6
-17.425434,-66.144643, Calle Tupac Katari #292, Alalay Sud, D6
-17.404200,-66.130993, Av. Melchor Urquidi #293, Kantuta, D6
-17.406599,-66.137635, Calle Dalence #294, Villa Hermosa, D6
-17.421059,-66.139865, Calle Kantuta #295, Alalay Sud, D6
-17.423940,-66.149890, Calle Siringuero #296, Kantuta, D6
-17.417420,-66.134376, Calle Tupac Katari #297, Villa Hermosa, D6
-17.402852,-66.131520, Av. Melchor Urquidi #298, Alalay Sud, D6
-17.418633,-66.138989, Calle Dalence #299, Kantuta, D6
-17.423640,-66.143048, Calle Kantuta #300, Villa Hermosa, D6
-17.418212,-66.138042, Calle Siringuero #301, Alalay Sud, D6
-17.419120,-66.146879, Calle Tupac Katari #302, Kantuta, D6
-17.401757,-66.131540, Av. Melchor Urquidi #303, Villa Hermosa, D6
-17.423401,-66.135339, Calle Dalence #304, Alalay Sud, D6
-17.412151,-66.140423, Calle Kantuta #305, Kantuta, D6
-17.410024,-66.133437, Calle Siringuero #306, Villa Hermosa, D6
-17.401304,-66.128128, Calle Tupac Katari #307, Alalay Sud, D6
-17.425728,-66.152589, Av. Melchor Urquidi #308, Kantuta, D6
-17.405677,-66.148617, Calle Dalence #309, Villa Hermosa, D6
-17.398208,-66.128879, Calle Kantuta #310, Alalay Sud, D6
-17.413986,-66.143419, Calle Siringuero #311, Kantuta, D6
-17.412222,-66.129293, Calle Tupac Katari #312, Villa Hermosa, D6
-17.420808,-66.137924, Av. Melchor Urquidi #313, Alalay Sud, D6
-17.419678,-66.148181, Calle Dalence #314, Kantuta, D6
-17.422560,-66.142147, Calle Kantuta #315, Villa Hermosa, D6
-17.421028,-66.139722, Calle Siringuero #316, Alalay Sud, D6
-17.401457,-66.126999, Calle Tupac Katari #317, Kantuta, D6
-17.401586,-66.149186, Av. Melchor Urquidi #318, Villa Hermosa, D6
-17.418270,-66.154684, Calle Dalence #319, Alalay Sud, D6
-17.403841,-66.142182, Calle Kantuta #320, Kantuta, D6
-17.418886,-66.146133, Calle Siringuero #321, Villa Hermosa, D6
-17.400474,-66.147820, Calle Tupac Katari #322, Alalay Sud, D6
-17.420722,-66.151406, Av. Melchor Urquidi #323, Kantuta, D6
-17.401140,-66.133520, Calle Dalence #324, Villa Hermosa, D6
-17.410591,-66.134419, Calle Kantuta #325, Alalay Sud, D6
-17.410762,-66.146353, Calle Siringuero #326, Kantuta, D6
-17.418501,-66.130861, Calle Tupac Katari #327, Villa Hermosa, D6
-17.400266,-66.139650, Av. Melchor Urquidi #328, Alalay Sud, D6
-17.408603,-66.135807, Calle Dalence #329, Kantuta, D6
-17.407047,-66.150888, Calle Kantuta #330, Villa Hermosa, D6
-17.419219,-66.142702, Calle Siringuero #331, Alalay Sud, D6
-17.404523,-66.123238, Calle Tupac Katari #332, Kantuta, D6
-17.415888,-66.134820, Av. Melchor Urquidi #333, Villa Hermosa, D6
-17.425072,-66.147755, Calle Dalence #334, Alalay Sud, D6
-17.414325,-66.134293, Calle Kantuta #335, Kantuta, D6
-17.405904,-66.124713, Calle Siringuero #336, Villa Hermosa, D6
-17.404798,-66.140053, Calle Tupac Katari #337, Alalay Sud, D6
-17.416025,-66.150839, Av. Melchor Urquidi #338, Kantuta, D6
-17.415992,-66.133956, Calle Dalence #339, Villa Hermosa, D6
-17.417070,-66.140606, Calle Kantuta #340, Alalay Sud, D6
-17.422200,-66.138327, Calle Siringuero #341, Kantuta, D6
-17.424997,-66.143165, Calle Tupac Katari #342, Villa Hermosa, D6
-17.404789,-66.126129, Av. Melchor Urquidi #343, Alalay Sud, D6
-17.417213,-66.128260, Calle Dalence #344, Kantuta, D6
-17.406392,-66.136445, Calle Kantuta #345, Villa Hermosa, D6
-17.403804,-66.124368, Calle Siringuero #346, Alalay Sud, D6
-17.414121,-66.127246, Calle Tupac Katari #347, Kantuta, D6
-17.416055,-66.141718, Av. Melchor Urquidi #348, Villa Hermosa, D6
-17.399934,-66.129379, Calle Dalence #349, Alalay Sud, D6
-17.399190,-66.129238, Calle Kantuta #350, Kantuta, D6
-17.407283,-66.137895, Calle Siringuero #351, Villa Hermosa, D6
-17.404276,-66.140188, Calle Tupac Katari #352, Alalay Sud, D6
-17.405969,-66.135818, Av. Melchor Urquidi #353, Kantuta, D6
-17.403699,-66.143038, Calle Dalence #354, Villa Hermosa, D6
-17.410598,-66.138888, Calle Kantuta #355, Alalay Sud, D6
-17.413386,-66.130251, Calle Siringuero #356, Kantuta, D6
-17.400889,-66.150500, Calle Tupac Katari #357, Villa Hermosa, D6
-17.410108,-66.138002, Av. Melchor Urquidi #358, Alalay Sud, D6
-17.401186,-66.129966, Calle Dalence #359, Kantuta, D6
-17.413699,-66.126507, Calle Kantuta #360, Villa Hermosa, D6
-17.415202,-66.152621, Calle Siringuero #361, Alalay Sud, D6
-17.407072,-66.139547, Calle Tupac Katari #362, Kantuta, D6
-17.403488,-66.133737, Av. Melchor Urquidi #363, Villa Hermosa, D6
-17.423106,-66.154669, Calle Dalence #364, Alalay Sud, D6
-17.421694,-66.140762, Calle Kantuta #365, Kantuta, D6
-17.414378,-66.146338, Calle Siringuero #366, Villa Hermosa, D6
-17.400001,-66.137657, Calle Tupac Katari #367, Alalay Sud, D6
-17.412283,-66.134918, Av. Melchor Urquidi #368, Kantuta, D6
-17.405072,-66.132606, Calle Dalence #369, Villa Hermosa, D6
-17.407246,-66.148898, Calle Kantuta #370, Alalay Sud, D6
-17.399748,-66.141174, Calle Siringuero #371, Kantuta, D6
-17.418072,-66.144425, Calle Tupac Katari #372, Villa Hermosa, D6
-17.406868,-66.149465, Av. Melchor Urquidi #373, Alalay Sud, D6
-17.402745,-66.150047, Calle Dalence #374, Kantuta, D6
-17.414259,-66.141107, Calle Kantuta #375, Villa Hermosa, D6
-17.417721,-66.151574, Calle Siringuero #376, Alalay Sud, D6
-17.415983,-66.155260, Calle Tupac Katari #377, Kantuta, D6
-17.413641,-66.146820, Av. Melchor Urquidi #378, Villa Hermosa, D6
-17.422634,-66.147464, Calle Dalence #379, Alalay Sud, D6
-17.408231,-66.129751, Calle Kantuta #380, Kantuta, D6
-17.403349,-66.143867, Calle Siringuero #381, Villa Hermosa, D6
-17.423070,-66.143922, Calle Tupac Katari #382, Alalay Sud, D6
-17.413975,-66.151062, Av. Melchor Urquidi #383, Kantuta, D6
-17.419865,-66.140386, Calle Dalence #384, Villa Hermosa, D6
-17.417969,-66.150693, Calle Kantuta #385, Alalay Sud, D6
-17.402470,-66.139918, Calle Siringuero #386, Kantuta, D6
-17.400365,-66.143420, Calle Tupac Katari #387, Villa Hermosa, D6
-17.404612,-66.130725, Av. Melchor Urquidi #388, Alalay Sud, D6
-17.423004,-66.141872, Calle Dalence #389, Kantuta, D6
-17.420617,-66.144505, Calle Kantuta #390, Villa Hermosa, D6
-17.403729,-66.137610, Calle Siringuero #391, Alalay Sud, D6
-17.402994,-66.144813, Calle Tupac Katari #392, Kantuta, D6
-17.427665,-66.147469, Av. Melchor Urquidi #393, Villa Hermosa, D6
-17.412124,-66.142542, Calle Dalence #394, Alalay Sud, D6
-17.401325,-66.147841, Calle Kantuta #395, Kantuta, D6
-17.419044,-66.143558, Calle Siringuero #396, Villa Hermosa, D6
-17.417372,-66.132277, Calle Tupac Katari #397, Alalay Sud, D6
-17.416852,-66.147580, Av. Melchor Urquidi #398, Kantuta, D6
-17.406810,-66.127444, Calle Dalence #399, Villa Hermosa, D6
-17.414718,-66.143985, Calle Kantuta #400, Alalay Sud, D6
-17.409778,-66.128773, Calle Siringuero #401, Kantuta, D6
-17.406014,-66.146375, Calle Tupac Katari #402, Villa Hermosa, D6
-17.405672,-66.134937, Av. Melchor Urquidi #403, Alalay Sud, D6
-17.405314,-66.128373, Calle Dalence #404, Kantuta, D6
-17.423392,-66.148625, Calle Kantuta #405, Villa Hermosa, D6
-17.397626,-66.135671, Calle Siringuero #406, Alalay Sud, D6
-17.423339,-66.147817, Calle Tupac Katari #407, Kantuta, D6
-17.421893,-66.153965, Av. Melchor Urquidi #408, Villa Hermosa, D6
-17.417113,-66.130358, Calle Dalence #409, Alalay Sud, D6
-17.421919,-66.142140, Calle Kantuta #410, Kantuta, D6
-17.405944,-66.123687, Calle Siringuero #411, Villa Hermosa, D6
-17.420619,-66.144727, Calle Tupac Katari #412, Alalay Sud, D6
-17.418320,-66.144893, Av. Melchor Urquidi #413, Kantuta, D6
-17.399773,-66.128381, Calle Dalence #414, Villa Hermosa, D6
-17.417991,-66.129574, Calle Kantuta #415, Alalay Sud, D6
-17.407158,-66.141782, Calle Siringuero #416, Kantuta, D6
-17.411337,-66.127436, Calle Tupac Katari #417, Villa Hermosa, D6
-17.422735,-66.132814, Av. Melchor Urquidi #418, Alalay Sud, D6
-17.408962,-66.135853, Calle Dalence #419, Kantuta, D6
-17.421594,-66.144208, Calle Kantuta #420, Villa Hermosa, D6
-17.406990,-66.134010, Calle Siringuero #421, Alalay Sud, D6
-17.425439,-66.150313, Calle Tupac Katari #422, Kantuta, D6
-17.405262,-66.136796, Av. Melchor Urquidi #423, Villa Hermosa, D6
-17.413510,-66.127739, Calle Dalence #424, Alalay Sud, D6
-17.401263,-66.125136, Calle Kantuta #425, Kantuta, D6
-17.402014,-66.144047, Calle Siringuero #426, Villa Hermosa, D6
-17.416232,-66.140118, Calle Tupac Katari #427, Alalay Sud, D6
-17.399652,-66.125550, Av. Melchor Urquidi #428, Kantuta, D6
-17.407513,-66.144624, Calle Dalence #429, Villa Hermosa, D6
-17.402951,-66.127906, Calle Kantuta #430, Alalay Sud, D6
-17.403358,-66.136943, Calle Siringuero #431, Kantuta, D6
-17.403707,-66.126583, Calle Tupac Katari #432, Villa Hermosa, D6
-17.426488,-66.147918, Av. Melchor Urquidi #433, Alalay Sud, D6
-17.420239,-66.153078, Calle Dalence #434, Kantuta, D6
-17.406458,-66.145425, Calle Kantuta #435, Villa Hermosa, D6
-17.404479,-66.147829, Calle Siringuero #436, Alalay Sud, D6
-17.418224,-66.129604, Calle Tupac Katari #437, Kantuta, D6
-17.402453,-66.144420, Av. Melchor Urquidi #438, Villa Hermosa, D6
-17.412015,-66.132443, Calle Dalence #439, Alalay Sud, D6
-17.409707,-66.137372, Calle Kantuta #440, Kantuta, D6
-17.412294,-66.152141, Calle Siringuero #441, Villa Hermosa, D6
-17.410430,-66.139981, Calle Tupac Katari #442, Alalay Sud, D6
-17.414498,-66.136541, Av. Melchor Urquidi #443, Kantuta, D6
-17.421599,-66.137311, Calle Dalence #444, Villa Hermosa, D6
-17.419797,-66.131621, Calle Kantuta #445, Alalay Sud, D6
-17.402055,-66.129573, Calle Siringuero #446, Kantuta, D6
-17.414457,-66.137522, Calle Tupac Katari #447, Villa Hermosa, D6
-17.414420,-66.153347, Av. Melchor Urquidi #448, Alalay Sud, D6
-17.406918,-66.138679, Calle Dalence #449, Kantuta, D6
-17.402310,-66.148532, Calle Kantuta #450, Villa Hermosa, D6
-17.412525,-66.143155, Calle Siringuero #451, Alalay Sud, D6
-17.420840,-66.151711, Calle Tupac Katari #452, Kantuta, D6
-17.420294,-66.150087, Av. Melchor Urquidi #453, Villa Hermosa, D6
-17.421793,-66.131353, Calle Dalence #454, Alalay Sud, D6
-17.425201,-66.153351, Calle Kantuta #455, Kantuta, D6
-17.410133,-66.141395, Calle Siringuero #456, Villa Hermosa, D6
-17.409966,-66.133736, Calle Tupac Katari #457, Alalay Sud, D6
-17.408325,-66.139628, Av. Melchor Urquidi #458, Kantuta, D6
-17.406823,-66.139201, Calle Dalence #459, Villa Hermosa, D6
-17.420933,-66.139983, Calle Kantuta #460, Alalay Sud, D6
-17.408620,-66.140181, Calle Siringuero #461, Kantuta, D6
-17.410382,-66.137127, Calle Tupac Katari #462, Villa Hermosa, D6
-17.398874,-66.127581, Av. Melchor Urquidi #463, Alalay Sud, D6
-17.427158,-66.146924, Calle Dalence #464, Kantuta, D6
-17.414879,-66.149846, Calle Kantuta #465, Villa Hermosa, D6
-17.408011,-66.148554, Calle Siringuero #466, Alalay Sud, D6
-17.426237,-66.150490, Calle Tupac Katari #467, Kantuta, D6
-17.415798,-66.144806, Av. Melchor Urquidi #468, Villa Hermosa, D6
-17.408631,-66.136877, Calle Dalence #469, Alalay Sud, D6
-17.401196,-66.128062, Calle Kantuta #470, Kantuta, D6
-17.400162,-66.141589, Calle Siringuero #471, Villa Hermosa, D6
-17.412391,-66.135501, Calle Tupac Katari #472, Alalay Sud, D6
-17.417491,-66.140994, Av. Melchor Urquidi #473, Kantuta, D6
-17.426243,-66.148696, Calle Dalence #474, Villa Hermosa, D6
-17.420384,-66.140686, Calle Kantuta #475, Alalay Sud, D6
-17.405477,-66.142977, Calle Siringuero #476, Kantuta, D6
-17.418822,-66.152639, Calle Tupac Katari #477, Villa Hermosa, D6
-17.401107,-66.129084, Av. Melchor Urquidi #478, Alalay Sud, D6
-17.408185,-66.145380, Calle Dalence #479, Kantuta, D6
-17.412814,-66.134849, Calle Kantuta #480, Villa Hermosa, D6
-17.417789,-66.133070, Calle Siringuero #481, Alalay Sud, D6
-17.419732,-66.143330, Calle Tupac Katari #482, Kantuta, D6
-17.412147,-66.135605, Av. Melchor Urquidi #483, Villa Hermosa, D6
-17.421380,-66.151242, Calle Dalence #484, Alalay Sud, D6
-17.417975,-66.140483, Calle Kantuta #485, Kantuta, D6
-17.406535,-66.140714, Calle Siringuero #486, Villa Hermosa, D6
-17.425185,-66.152639, Calle Tupac Katari #487, Alalay Sud, D6
-17.400340,-66.127854, Av. Melchor Urquidi #488, Kantuta, D6
-17.412636,-66.147340, Calle Dalence #489, Villa Hermosa, D6
-17.408437,-66.141004, Calle Kantuta #490, Alalay Sud, D6
-17.421835,-66.153112, Calle Siringuero #491, Kantuta, D6
-17.413296,-66.150081, Calle Tupac Katari #492, Villa Hermosa, D6
-17.424764,-66.144581, Av. Melchor Urquidi #493, Alalay Sud, D6
-17.411365,-66.132747, Calle Dalence #494, Kantuta, D6
-17.421826,-66.134521, Calle Kantuta #495, Villa Hermosa, D6
-17.411249,-66.141252, Calle Siringuero #496, Alalay Sud, D6
-17.413139,-66.151440, Calle Tupac Katari #497, Kantuta, D6
-17.403010,-66.150802, Av. Melchor Urquidi #498, Villa Hermosa, D6
-17.408232,-66.144248, Calle Dalence #499, Alalay Sud, D6
-17.421594,-66.154298, Calle Kantuta #500, Kantuta, D6
-17.417073,-66.140426, Calle Siringuero #501, Villa Hermosa, D6
