-17.339004,-66.151933, Calle Terminal #100, Cara Cara, D13
-17.326992,-66.118311, Calle Tupiza #264, K’ara K’ara II, D13
-17.360274,-66.110498, Calle Terminal #265, Cara Cara, D13
-17.349440,-66.123853, Calle Cementerio #266, La Temible, D13
-17.290227,-66.144877, Calle Industrial #267, K’ara K’ara II, D13
-17.299243,-66.142624, Calle Ferrocarril #268, Cara Cara, D13
-17.315531,-66.153512, Calle Tupiza #269, La Temible, D13
-17.355699,-66.127337, Calle Terminal #270, K’ara K’ara II, D13
-17.346330,-66.125249, Calle Cementerio #271, Cara Cara, D13
-17.321115,-66.148468, Calle Industrial #272, La Temible, D13
-17.328772,-66.157154, Calle Ferrocarril #273, K’ara K’ara II, D13
-17.345902,-66.161083, Calle Tupiza #274, Cara Cara, D13
-17.321469,-66.129556, Calle Terminal #275, La Temible, D13
-17.359497,-66.120921, Calle Cementerio #276, K’ara K’ara II, D13
-17.350455,-66.140384, Calle Industrial #277, Cara Cara, D13
-17.307412,-66.160382, Calle Ferrocarril #278, La Temible, D13
-17.323394,-66.126965, Calle Tupiza #279, K’ara K’ara II, D13
-17.337442,-66.131573, Calle Terminal #280, Cara Cara, D13
-17.341614,-66.125367, Calle Cementerio #281, La Temible, D13
-17.334747,-66.139940, Calle Industrial #282, K’ara K’ara II, D13
-17.315113,-66.150267, Calle Ferrocarril #283, Cara Cara, D13
-17.347691,-66.143150, Calle Tupiza #284, La Temible, D13
-17.323892,-66.143272, Calle Terminal #285, K’ara K’ara II, D13
-17.328800,-66.163661, Calle Cementerio #286, Cara Cara, D13
-17.310405,-66.141170, Calle Industrial #287, La Temible, D13
-17.316552,-66.152084, Calle Ferrocarril #288, K’ara K’ara II, D13
-17.289121,-66.140615, Calle Tupiza #289, Cara Cara, D13
-17.350413,-66.124778, Calle Terminal #290, La Temible, D13
-17.302802,-66.148378, Calle Cementerio #291, K’ara K’ara II, D13
-17.301383,-66.136805, Calle Industrial #292, Cara Cara, D13
-17.317845,-66.161340, Calle Ferrocarril #293, La Temible, D13
-17.357523,-66.136521, Calle Tupiza #294, K’ara K’ara II, D13
-17.344715,-66.158443, Calle Terminal #295, Cara Cara, D13
-17.316268,-66.139477, Calle Cementerio #296, La Temible, D13
-17.332031,-66.164977, Calle Industrial #297, K’ara K’ara II, D13
-17.313972,-66.125095, Calle Ferrocarril #298, Cara Cara, D13
-17.288718,-66.136284, Calle Tupiza #299, La Temible, D13
-17.309872,-66.159295, Calle Terminal #300, K’ara K’ara II, D13
-17.328544,-66.121555, Calle Cementerio #301, Cara Cara, D13
-17.310745,-66.130715, Calle Industrial #302, La Temible, D13
-17.331170,-66.138376, Calle Ferrocarril #303, K’ara K’ara II, D13
-17.327833,-66.139745, Calle Tupiza #304, Cara Cara, D13
-17.308813,-66.155261, Calle Terminal #305, La Temible, D13
-17.319237,-66.135993, Calle Cementerio #306, K’ara K’ara II, D13
-17.336673,-66.126113, Calle Industrial #307, Cara Cara, D13
-17.319357,-66.135833, Calle Ferrocarril #308, La Temible, D13
-17.355202,-66.140347, Calle Tupiza #309, K’ara K’ara II, D13
-17.320852,-66.168881, Calle Terminal #310, Cara Cara, D13
-17.326755,-66.154790, Calle Cementerio #311, La Temible, D13
-17.356973,-66.115054, Calle Industrial #312, K’ara K’ara II, D13
-17.347721,-66.128800, Calle Ferrocarril #313, Cara Cara, D13
-17.360050,-66.125600, Calle Tupiza #314, La Temible, D13
-17.336747,-66.123601, Calle Terminal #315, K’ara K’ara II, D13
-17.336688,-66.160522, Calle Cementerio #316, Cara Cara, D13
-17.344549,-66.118966, Calle Industrial #317, La Temible, D13
-17.342590,-66.164799, Calle Ferrocarril #318, K’ara K’ara II, D13
-17.330145,-66.122880, Calle Tupiza #319, Cara Cara, D13
-17.350295,-66.135341, Calle Terminal #320, La Temible, D13
-17.333307,-66.137210, Calle Cementerio #321, K’ara K’ara II, D13
-17.343276,-66.149682, Calle Industrial #322, Cara Cara, D13
-17.313995,-66.138241, Calle Ferrocarril #323, La Temible, D13
-17.349782,-66.122971, Calle Tupiza #324, K’ara K’ara II, D13
-17.305887,-66.127749, Calle Terminal #325, Cara Cara, D13
-17.346789,-66.140841, Calle Cementerio #326, La Temible, D13
-17.338095,-66.163608, Calle Industrial #327, K’ara K’ara II, D13
-17.348802,-66.139660, Calle Ferrocarril #328, Cara Cara, D13
-17.335429,-66.129882, Calle Tupiza #329, La Temible, D13
-17.344085,-66.158094, Calle Terminal #330, K’ara K’ara II, D13
-17.300715,-66.145007, Calle Cementerio #331, Cara Cara, D13
-17.338905,-66.137738, Calle Industrial #332, La Temible, D13
-17.331337,-66.146506, Calle Ferrocarril #333, K’ara K’ara II, D13
-17.310018,-66.151731, Calle Tupiza #334, Cara Cara, D13
-17.287598,-66.147226, Calle Terminal #335, La Temible, D13
-17.303621,-66.150555, Calle Cementerio #336, K’ara K’ara II, D13
-17.307996,-66.144782, Calle Industrial #337, Cara Cara, D13
-17.355122,-66.137010, Calle Ferrocarril #338, La Temible, D13
-17.333703,-66.171267, Calle Tupiza #339, K’ara K’ara II, D13
-17.351385,-66.125089, Calle Terminal #340, Cara Cara, D13
-17.344795,-66.124037, Calle Cementerio #341, La Temible, D13
-17.352819,-66.148862, Calle Industrial #342, K’ara K’ara II, D13
-17.361451,-66.115275, Calle Ferrocarril #343, Cara Cara, D13
-17.338666,-66.169541, Calle Tupiza #344, La Temible, D13
-17.315495,-66.129031, Calle Terminal #345, K’ara K’ara II, D13
-17.331546,-66.179556, Calle Cementerio #346, Cara Cara, D13
-17.336059,-66.123276, Calle Industrial #347, La Temible, D13
-17.288790,-66.148199, Calle Ferrocarril #348, K’ara K’ara II, D13
-17.317773,-66.142930, Calle Tupiza #349, Cara Cara, D13
-17.331120,-66.145828, Calle Terminal #350, La Temible, D13
-17.338922,-66.161875, Calle Cementerio #351, K’ara K’ara II, D13
-17.310717,-66.148456, Calle Industrial #352, Cara Cara, D13
-17.325283,-66.140676, Calle Ferrocarril #353, La Temible, D13
-17.290928,-66.131139, Calle Tupiza #354, K’ara K’ara II, D13
-17.291291,-66.142647, Calle Terminal #355, Cara Cara, D13
-17.300567,-66.149666, Calle Cementerio #356, La Temible, D13
-17.313650,-66.143590, Calle Industrial #357, K’ara K’ara II, D13
-17.349579,-66.121328, Calle Ferrocarril #358, Cara Cara, D13
-17.297438,-66.152300, Calle Tupiza #359, La Temible, D13
-17.332076,-66.139365, Calle Terminal #360, K’ara K’ara II, D13
-17.355961,-66.118775, Calle Cementerio #361, Cara Cara, D13
-17.316333,-66.152745, Calle Industrial #362, La Temible, D13
-17.344773,-66.132373, Calle Ferrocarril #363, K’ara K’ara II, D13
-17.342350,-66.145248, Calle Tupiza #364, Cara Cara, D13
-17.341617,-66.155095, Calle Terminal #365, La Temible, D13
-17.308869,-66.161681, Calle Cementerio #366, K’ara K’ara II, D13
-17.295117,-66.156708, Calle Industrial #367, Cara Cara, D13
-17.327530,-66.135564, Calle Ferrocarril #368, La Temible, D13
-17.317290,-66.137688, Calle Tupiza #369, K’ara K’ara II, D13
-17.333168,-66.131944, Calle Terminal #370, Cara Cara, D13
-17.333991,-66.177980, Calle Cementerio #371, La Temible, D13
-17.308818,-66.155992, Calle Industrial #372, K’ara K’ara II, D13
-17.316116,-66.140089, Calle Ferrocarril #373, Cara Cara, D13
-17.359628,-66.114637, Calle Tupiza #374, La Temible, D13
-17.328704,-66.160567, Calle Terminal #375, K’ara K’ara II, D13
-17.338755,-66.132754, Calle Cementerio #376, Cara Cara, D13
-17.308914,-66.127328, Calle Industrial #377, La Temible, D13
-17.335265,-66.172906, Calle Ferrocarril #378, K’ara K’ara II, D13
-17.344711,-66.148836, Calle Tupiza #379, Cara Cara, D13
-17.347269,-66.152318, Calle Terminal #380, La Temible, D13
-17.300765,-66.140494, Calle Cementerio #381, K’ara K’ara II, D13
-17.323658,-66.124401, Calle Industrial #382, Cara Cara, D13
-17.353949,-66.143542, Calle Ferrocarril #383, La Temible, D13
-17.336309,-66.128205, Calle Tupiza #384, K’ara K’ara II, D13
-17.315603,-66.150636, Calle Terminal #385, Cara Cara, D13
-17.338444,-66.166793, Calle Cementerio #386, La Temible, D13
-17.316557,-66.129957, Calle Industrial #387, K’ara K’ara II, D13
-17.333993,-66.186286, Calle Ferrocarril #388, Cara Cara, D13
-17.295905,-66.157459, Calle Tupiza #389, La Temible, D13
-17.337805,-66.137489, Calle Terminal #390, K’ara K’ara II, D13
-17.323995,-66.120806, Calle Cementerio #391, Cara Cara, D13
-17.330714,-66.157522, Calle Industrial #392, La Temible, D13
-17.301445,-66.141268, Calle Ferrocarril #393, K’ara K’ara II, D13
-17.323963,-66.174928, Calle Tupiza #394, Cara Cara, D13
-17.346686,-66.133219, Calle Terminal #395, La Temible, D13
-17.305231,-66.127505, Calle Cementerio #396, K’ara K’ara II, D13
-17.340963,-66.123240, Calle Industrial #397, Cara Cara, D13
-17.358803,-66.134360, Calle Ferrocarril #398, La Temible, D13
-17.322311,-66.167111, Calle Tupiza #399, K’ara K’ara II, D13
-17.305240,-66.150282, Calle Terminal #400, Cara Cara, D13
-17.341559,-66.131999, Calle Cementerio #401, La Temible, D13
-17.291557,-66.147600, Calle Industrial #402, K’ara K’ara II, D13
-17.324758,-66.141218, Calle Ferrocarril #403, Cara Cara, D13
-17.345434,-66.158750, Calle Tupiza #404, La Temible, D13
-17.304510,-66.131624, Calle Terminal #405, K’ara K’ara II, D13
-17.307791,-66.130772, Calle Cementerio #406, Cara Cara, D13
-17.324621,-66.125739, Calle Industrial #407, La Temible, D13
-17.332626,-66.127003, Calle Ferrocarril #408, K’ara K’ara II, D13
-17.342744,-66.163783, Calle Tupiza #409, Cara Cara, D13
-17.294364,-66.133444, Calle Terminal #410, La Temible, D13
-17.348776,-66.160499, Calle Cementerio #411, K’ara K’ara II, D13
-17.356798,-66.135905, Calle Industrial #412, Cara Cara, D13
-17.342988,-66.167509, Calle Ferrocarril #413, La Temible, D13
-17.348907,-66.130989, Calle Tupiza #414, K’ara K’ara II, D13
-17.300446,-66.133595, Calle Terminal #415, Cara Cara, D13
-17.309099,-66.154504, Calle Cementerio #416, La Temible, D13
-17.300330,-66.138195, Calle Industrial #417, K’ara K’ara II, D13
-17.336194,-66.180004, Calle Ferrocarril #418, Cara Cara, D13
-17.315164,-66.156027, Calle Tupiza #419, La Temible, D13
-17.321309,-66.133044, Calle Terminal #420, K’ara K’ara II, D13
-17.323098,-66.162485, Calle Cementerio #421, Cara Cara, D13
-17.348904,-66.153512, Calle Industrial #422, La Temible, D13
-17.303720,-66.129916, Calle Ferrocarril #423, K’ara K’ara II, D13
-17.298178,-66.138664, Calle Tupiza #424, Cara Cara, D13
-17.287452,-66.143352, Calle Terminal #425, La Temible, D13
-17.321382,-66.137633, Calle Cementerio #426, K’ara K’ara II, D13
-17.322818,-66.139302, Calle Industrial #427, Cara Cara, D13
-17.348612,-66.150152, Calle Ferrocarril #428, La Temible, D13
-17.293425,-66.128793, Calle Tupiza #429, K’ara K’ara II, D13
-17.297685,-66.145589, Calle Terminal #430, Cara Cara, D13
-17.329796,-66.136835, Calle Cementerio #431, La Temible, D13
-17.356558,-66.127757, Calle Industrial #432, K’ara K’ara II, D13
-17.307547,-66.153495, Calle Ferrocarril #433, Cara Cara, D13
-17.331333,-66.141262, Calle Tupiza #434, La Temible, D13
-17.351601,-66.123144, Calle Terminal #435, K’ara K’ara II, D13
-17.333814,-66.126930, Calle Cementerio #436, Cara Cara, D13
-17.316121,-66.151088, Calle Industrial #437, La Temible, D13
-17.333103,-66.157412, Calle Ferrocarril #438, K’ara K’ara II, D13
-17.315234,-66.151520, Calle Tupiza #439, Cara Cara, D13
-17.291966,-66.143550, Calle Terminal #440, La Temible, D13
-17.310246,-66.155208, Calle Cementerio #441, K’ara K’ara II, D13
-17.293779,-66.152848, Calle Industrial #442, Cara Cara, D13
-17.327785,-66.142207, Calle Ferrocarril #443, La Temible, D13
-17.314698,-66.156338, Calle Tupiza #444, K’ara K’ara II, D13
-17.350012,-66.120448, Calle Terminal #445, Cara Cara, D13
-17.323737,-66.172362, Calle Cementerio #446, La Temible, D13
-17.302770,-66.157796, Calle Industrial #447, K’ara K’ara II, D13
-17.356457,-66.144590, Calle Ferrocarril #448, Cara Cara, D13
-17.332247,-66.151231, Calle Tupiza #449, La Temible, D13
-17.333389,-66.179778, Calle Terminal #450, K’ara K’ara II, D13
-17.320194,-66.123780, Calle Cementerio #451, Cara Cara, D13
-17.323306,-66.134894, Calle Industrial #452, La Temible, D13
-17.359661,-66.113524, Calle Ferrocarril #453, K’ara K’ara II, D13
-17.328679,-66.125369, Calle Tupiza #454, Cara Cara, D13
-17.335034,-66.176573, Calle Terminal #455, La Temible, D13
-17.346734,-66.139952, Calle Cementerio #456, K’ara K’ara II, D13
-17.335722,-66.186579, Calle Industrial #457, Cara Cara, D13
-17.315901,-66.122477, Calle Ferrocarril #458, La Temible, D13
-17.311202,-66.129976, Calle Tupiza #459, K’ara K’ara II, D13
-17.319925,-66.149329, Calle Terminal #460, Cara Cara, D13
-17.292977,-66.147648, Calle Cementerio #461, La Temible, D13
-17.305842,-66.130312, Calle Industrial #462, K’ara K’ara II, D13
-17.350503,-66.150056, Calle Ferrocarril #463, Cara Cara, D13
-17.309037,-66.125674, Calle Tupiza #464, La Temible, D13
-17.333390,-66.166940, Calle Terminal #465, K’ara K’ara II, D13
-17.309195,-66.138276, Calle Cementerio #466, Cara Cara, D13
-17.337345,-66.153824, Calle Industrial #467, La Temible, D13
-17.335298,-66.156738, Calle Ferrocarril #468, K’ara K’ara II, D13
-17.333109,-66.153650, Calle Tupiza #469, Cara Cara, D13
-17.338684,-66.141828, Calle Terminal #470, La Temible, D13
-17.337547,-66.159870, Calle Cementerio #471, K’ara K’ara II, D13
-17.321015,-66.153396, Calle Industrial #472, Cara Cara, D13
-17.336901,-66.121407, Calle Ferrocarril #473, La Temible, D13
-17.340980,-66.150240, Calle Tupiza #474, K’ara K’ara II, D13
-17.315375,-66.153651, Calle Terminal #475, Cara Cara, D13
-17.357333,-66.141078, Calle Cementerio #476, La Temible, D13
-17.317139,-66.135267, Calle Industrial #477, K’ara K’ara II, D13
-17.297309,-66.136053, Calle Ferrocarril #478, Cara Cara, D13
-17.339190,-66.164397, Calle Tupiza #479, La Temible, D13
-17.354647,-66.122963, Calle Terminal #480, K’ara K’ara II, D13
-17.328350,-66.165159, Calle Cementerio #481, Cara Cara, D13
-17.318711,-66.139288, Calle Industrial #482, La Temible, D13
-17.320969,-66.168803, Calle Ferrocarril #483, K’ara K’ara II, D13
-17.325487,-66.151945, Calle Tupiza #484, Cara Cara, D13
-17.329626,-66.173078, Calle Terminal #485, La Temible, D13
-17.288338,-66.136493, Calle Cementerio #486, K’ara K’ara II, D13
-17.333675,-66.137282, Calle Industrial #487, Cara Cara, D13
-17.305692,-66.129267, Calle Ferrocarril #488, La Temible, D13
-17.334034,-66.161498, Calle Tupiza #489, K’ara K’ara II, D13
-17.315356,-66.141633, Calle Terminal #490, Cara Cara, D13
-17.339000,-66.169287, Calle Cementerio #491, La Temible, D13
-17.334204,-66.125938, Calle Industrial #492, K’ara K’ara II, D13
-17.317006,-66.132591, Calle Ferrocarril #493, Cara Cara, D13
-17.325415,-66.177616, Calle Tupiza #494, La Temible, D13
-17.351754,-66.125273, Calle Terminal #495, K’ara K’ara II, D13
-17.293129,-66.139797, Calle Cementerio #496, Cara Cara, D13
-17.345008,-66.158514, Calle Industrial #497, La Temible, D13
-17.352687,-66.131546, Calle Ferrocarril #498, K’ara K’ara II, D13
-17.345067,-66.123030, Calle Tupiza #499, Cara Cara, D13
-17.334368,-66.161228, Calle Terminal #500, La Temible, D13
-17.317515,-66.131867, Calle Cementerio #501, K’ara K’ara II, D13
-17.339524,-66.145101, Calle Industrial #502, Cara Cara, D13
-17.319103,-66.142847, Calle Ferrocarril #503, La Temible, D13
-17.334231,-66.134838, Calle Tupiza #504, K’ara K’ara II, D13
-17.302181,-66.130622, Calle Terminal #505, Cara Cara, D13
-17.336643,-66.175834, Calle Cementerio #506, La Temible, D13
-17.310607,-66.161679, Calle Industrial #507, K’ara K’ara II, D13
-17.327908,-66.123698, Calle Ferrocarril #508, Cara Cara, D13
-17.356503,-66.136494, Calle Tupiza #509, La Temible, D13
-17.335308,-66.150216, Calle Terminal #510, K’ara K’ara II, D13
-17.345939,-66.145921, Calle Cementerio #511, Cara Cara, D13
-17.346296,-66.150287, Calle Industrial #512, La Temible, D13
-17.350623,-66.126581, Calle Ferrocarril #513, K’ara K’ara II, D13
-17.338050,-66.131817, Calle Tupiza #514, Cara Cara, D13
-17.333093,-66.180560, Calle Terminal #515, La Temible, D13
-17.327226,-66.178430, Calle Cementerio #516, K’ara K’ara II, D13
-17.328240,-66.169421, Calle Industrial #517, Cara Cara, D13
-17.362201,-66.112318, Calle Ferrocarril #518, La Temible, D13
