-17.429017,-66.121984, Av. Siglo XX #100, Arrumani, D7
-17.418039,-66.110785, Calle Pucará #184, Arrumani, D7
-17.422761,-66.114853, Av. Siglo XX #185, Sivingani, D7
-17.417119,-66.123908, Calle Villa Busch #186, K’ara K’ara, D7
-17.416916,-66.120654, Calle Ecológica #187, Arrumani, D7
-17.439035,-66.122872, Calle Enrique Finot #188, Sivingani, D7
-17.418700,-66.127206, Calle Pucará #189, K’ara K’ara, D7
-17.424550,-66.131778, Av. Siglo XX #190, Arrumani, D7
-17.414274,-66.120599, Calle Villa Busch #191, Sivingani, D7
-17.423105,-66.119530, Calle Ecológica #192, K’ara K’ara, D7
-17.424303,-66.133346, Calle Enrique Finot #193, Arrumani, D7
-17.428238,-66.122495, Calle Pucará #194, Sivingani, D7
-17.422223,-66.119061, Av. Siglo XX #195, K’ara K’ara, D7
-17.418438,-66.113971, Calle Villa Busch #196, Arrumani, D7
-17.428357,-66.123790, Calle Ecológica #197, Sivingani, D7
-17.425319,-66.131077, Calle Enrique Finot #198, K’ara K’ara, D7
-17.418581,-66.126928, Calle Pucará #199, Arrumani, D7
-17.431939,-66.122409, Av. Siglo XX #200, Sivingani, D7
-17.437064,-66.120272, Calle Villa Busch #201, K’ara K’ara, D7
-17.412649,-66.118755, Calle Ecológica #202, Arrumani, D7
-17.421954,-66.123763, Calle Enrique Finot #203, Sivingani, D7
-17.417127,-66.122503, Calle Pucará #204, K’ara K’ara, D7
-17.420299,-66.128753, Av. Siglo XX #205, Arrumani, D7
-17.432930,-66.119430, Calle Villa Busch #206, Sivingani, D7
-17.418826,-66.121834, Calle Ecológica #207, K’ara K’ara, D7
-17.433386,-66.121530, Calle Enrique Finot #208, Arrumani, D7
-17.429515,-66.124658, Calle Pucará #209, Sivingani, D7
-17.430113,-66.126362, Av. Siglo XX #210, K’ara K’ara, D7
-17.409845,-66.121099, Calle Villa Busch #211, Arrumani, D7
-17.429563,-66.119980, Calle Ecológica #212, Sivingani, D7
-17.425906,-66.124787, Calle Enrique Finot #213, K’ara K’ara, D7
-17.417597,-66.125092, Calle Pucará #214, Arrumani, D7
-17.425411,-66.122432, Av. Siglo XX #215, Sivingani, D7
-17.418298,-66.120753, Calle Villa Busch #216, K’ara K’ara, D7
-17.419654,-66.121543, Calle Ecológica #217, Arrumani, D7
-17.418317,-66.111840, Calle Enrique Finot #218, Sivingani, D7
-17.421659,-66.124301, Calle Pucará #219, K’ara K’ara, D7
-17.425860,-66.123461, Av. Siglo XX #220, Arrumani, D7
-17.436157,-66.120557, Calle Villa Busch #221, Sivingani, D7
-17.431850,-66.119679, Calle Ecológica #222, K’ara K’ara, D7
-17.431799,-66.117512, Calle Enrique Finot #223, Arrumani, D7
-17.430157,-66.121893, Calle Pucará #224, Sivingani, D7
-17.417818,-66.112514, Av. Siglo XX #225, K’ara K’ara, D7
-17.436311,-66.121285, Calle Villa Busch #226, Arrumani, D7
-17.426520,-66.130891, Calle Ecológica #227, Sivingani, D7
-17.429844,-66.121312, Calle Enrique Finot #228, K’ara K’ara, D7
-17.417369,-66.113114, Calle Pucará #229, Arrumani, D7
-17.427177,-66.127663, Av. Siglo XX #230, Sivingani, D7
-17.423742,-66.118799, Calle Villa Busch #231, K’ara K’ara, D7
-17.430714,-66.123287, Calle Ecológica #232, Arrumani, D7
-17.432035,-66.121054, Calle Enrique Finot #233, Sivingani, D7
-17.429487,-66.118763, Calle Pucará #234, K’ara K’ara, D7
-17.435331,-66.122177, Av. Siglo XX #235, Arrumani, D7
-17.421058,-66.116682, Calle Villa Busch #236, Sivingani, D7
-17.421111,-66.114494, Calle Ecológica #237, K’ara K’ara, D7
-17.433635,-66.124222, Calle Enrique Finot #238, Arrumani, D7
-17.425221,-66.126990, Calle Pucará #239, Sivingani, D7
-17.418166,-66.114251, Av. Siglo XX #240, K’ara K’ara, D7
-17.433597,-66.118547, Calle Villa Busch #241, Arrumani, D7
-17.434580,-66.122826, Calle Ecológica #242, Sivingani, D7
-17.426750,-66.123018, Calle Enrique Finot #243, K’ara K’ara, D7
-17.421880,-66.130189, Calle Pucará #244, Arrumani, D7
-17.418736,-66.113671, Av. Siglo XX #245, Sivingani, D7
-17.430875,-66.125420, Calle Villa Busch #246, K’ara K’ara, D7
-17.426152,-66.123340, Calle Ecológica #247, Arrumani, D7
-17.431155,-66.124324, Calle Enrique Finot #248, Sivingani, D7
-17.421782,-66.129773, Calle Pucará #249, K’ara K’ara, D7
-17.417311,-66.118363, Av. Siglo XX #250, Arrumani, D7
-17.420034,-66.122302, Calle Villa Busch #251, Sivingani, D7
-17.424919,-66.127321, Calle Ecológica #252, K’ara K’ara, D7
-17.418902,-66.119787, Calle Enrique Finot #253, Arrumani, D7
-17.430265,-66.126130, Calle Pucará #254, Sivingani, D7
-17.431722,-66.121606, Av. Siglo XX #255, K’ara K’ara, D7
-17.427459,-66.129174, Calle Villa Busch #256, Arrumani, D7
-17.423971,-66.126936, Calle Ecológica #257, Sivingani, D7
-17.421053,-66.118138, Calle Enrique Finot #258, K’ara K’ara, D7
-17.432926,-66.121762, Calle Pucará #259, Arrumani, D7
-17.418428,-66.120230, Av. Siglo XX #260, Sivingani, D7
-17.416180,-66.116584, Calle Villa Busch #261, K’ara K’ara, D7
-17.418775,-66.116262, Calle Ecológica #262, Arrumani, D7
-17.415862,-66.118816, Calle Enrique Finot #263, Sivingani, D7
-17.429074,-66.119292, Calle Pucará #264, K’ara K’ara, D7
-17.417958,-66.123131, Av. Siglo XX #265, Arrumani, D7
-17.418705,-66.112182, Calle Villa Busch #266, Sivingani, D7
-17.423667,-66.126470, Calle Ecológica #267, K’ara K’ara, D7
-17.423571,-66.119166, Calle Enrique Finot #268, Arrumani, D7
-17.426564,-66.126330, Calle Pucará #269, Sivingani, D7
-17.418439,-66.122069, Av. Siglo XX #270, K’ara K’ara, D7
-17.422052,-66.122695, Calle Villa Busch #271, Arrumani, D7
-17.436706,-66.121855, Calle Ecológica #272, Sivingani, D7
-17.415489,-66.119019, Calle Enrique Finot #273, K’ara K’ara, D7
-17.419683,-66.117662, Calle Pucará #274, Arrumani, D7
-17.408872,-66.122263, Av. Siglo XX #275, Sivingani, D7
-17.426915,-66.126893, Calle Villa Busch #276, K’ara K’ara, D7
-17.421755,-66.115988, Calle Ecológica #277, Arrumani, D7
-17.438263,-66.123400, Calle Enrique Finot #278, Sivingani, D7
-17.427293,-66.126389, Calle Pucará #279, K’ara K’ara, D7
-17.432467,-66.124383, Av. Siglo XX #280, Arrumani, D7
-17.407816,-66.122909, Calle Villa Busch #281, Sivingani, D7
-17.434185,-66.120201, Calle Ecológica #282, K’ara K’ara, D7
-17.425934,-66.129799, Calle Enrique Finot #283, Arrumani, D7
-17.416903,-66.112037, Calle Pucará #284, Sivingani, D7
-17.425243,-66.129219, Av. Siglo XX #285, K’ara K’ara, D7
-17.426459,-66.122241, Calle Villa Busch #286, Arrumani, D7
-17.410495,-66.121830, Calle Ecológica #287, Sivingani, D7
-17.418094,-66.118806, Calle Enrique Finot #288, K’ara K’ara, D7
-17.431450,-66.119564, Calle Pucará #289, Arrumani, D7
-17.433057,-66.120711, Av. Siglo XX #290, Sivingani, D7
-17.432431,-66.125450, Calle Villa Busch #291, K’ara K’ara, D7
-17.435440,-66.122031, Calle Ecológica #292, Arrumani, D7
-17.421379,-66.127035, Calle Enrique Finot #293, Sivingani, D7
-17.414438,-66.119953, Calle Pucará #294, K’ara K’ara, D7
-17.416172,-66.117419, Av. Siglo XX #295, Arrumani, D7
-17.423079,-66.114980, Calle Villa Busch #296, Sivingani, D7
-17.417146,-66.112758, Calle Ecológica #297, K’ara K’ara, D7
-17.427940,-66.121299, Calle Enrique Finot #298, Arrumani, D7
-17.435799,-66.124049, Calle Pucará #299, Sivingani, D7
-17.417650,-66.120814, Av. Siglo XX #300, K’ara K’ara, D7
-17.424866,-66.120811, Calle Villa Busch #301, Arrumani, D7
-17.416431,-66.120108, Calle Ecológica #302, Sivingani, D7
-17.413674,-66.121936, Calle Enrique Finot #303, K’ara K’ara, D7
-17.418746,-66.113698, Calle Pucará #304, Arrumani, D7
-17.420301,-66.124398, Av. Siglo XX #305, Sivingani, D7
-17.417505,-66.125516, Calle Villa Busch #306, K’ara K’ara, D7
-17.433281,-66.123805, Calle Ecológica #307, Arrumani, D7
-17.410008,-66.123803, Calle Enrique Finot #308, Sivingani, D7
-17.422752,-66.119982, Calle Pucará #309, K’ara K’ara, D7
-17.434645,-66.121317, Av. Siglo XX #310, Arrumani, D7
-17.430547,-66.126537, Calle Villa Busch #311, Sivingani, D7
-17.423690,-66.125212, Calle Ecológica #312, K’ara K’ara, D7
-17.420063,-66.124177, Calle Enrique Finot #313, Arrumani, D7
-17.421974,-66.127147, Calle Pucará #314, Sivingani, D7
-17.422597,-66.117076, Av. Siglo XX #315, K’ara K’ara, D7
-17.429690,-66.122703, Calle Villa Busch #316, Arrumani, D7
-17.432471,-66.119660, Calle Ecológica #317, Sivingani, D7
-17.428128,-66.128188, Calle Enrique Finot #318, K’ara K’ara, D7
-17.412091,-66.119893, Calle Pucará #319, Arrumani, D7
-17.415477,-66.121399, Av. Siglo XX #320, Sivingani, D7
-17.434187,-66.119606, Calle Villa Busch #321, K’ara K’ara, D7
-17.417178,-66.120183, Calle Ecológica #322, Arrumani, D7
-17.427858,-66.124004, Calle Enrique Finot #323, Sivingani, D7
-17.426818,-66.125620, Calle Pucará #324, K’ara K’ara, D7
-17.423468,-66.119409, Av. Siglo XX #325, Arrumani, D7
-17.421276,-66.118186, Calle Villa Busch #326, Sivingani, D7
-17.420659,-66.123645, Calle Ecológica #327, K’ara K’ara, D7
-17.412744,-66.124672, Calle Enrique Finot #328, Arrumani, D7
-17.410776,-66.121133, Calle Pucará #329, Sivingani, D7
-17.421257,-66.114264, Av. Siglo XX #330, K’ara K’ara, D7
-17.416546,-66.118086, Calle Villa Busch #331, Arrumani, D7
-17.429303,-66.126873, Calle Ecológica #332, Sivingani, D7
-17.421805,-66.130058, Calle Enrique Finot #333, K’ara K’ara, D7
-17.420419,-66.112792, Calle Pucará #334, Arrumani, D7
-17.428959,-66.122446, Av. Siglo XX #335, Sivingani, D7
-17.416034,-66.116306, Calle Villa Busch #336, K’ara K’ara, D7
-17.416062,-66.119670, Calle Ecológica #337, Arrumani, D7
-17.420319,-66.127610, Calle Enrique Finot #338, Sivingani, D7
-17.428610,-66.121077, Calle Pucará #339, K’ara K’ara, D7
-17.411798,-66.124365, Av. Siglo XX #340, Arrumani, D7
-17.429765,-66.126732, Calle Villa Busch #341, Sivingani, D7
-17.413324,-66.118441, Calle Ecológica #342, K’ara K’ara, D7
-17.421940,-66.114026, Calle Enrique Finot #343, Arrumani, D7
-17.418731,-66.125222, Calle Pucará #344, Sivingani, D7
-17.409392,-66.121601, Av. Siglo XX #345, K’ara K’ara, D7
-17.437358,-66.120601, Calle Villa Busch #346, Arrumani, D7
-17.421244,-66.119488, Calle Ecológica #347, Sivingani, D7
-17.425178,-66.124919, Calle Enrique Finot #348, K’ara K’ara, D7
-17.417916,-66.110708, Calle Pucará #349, Arrumani, D7
-17.425871,-66.129719, Av. Siglo XX #350, Sivingani, D7
-17.421061,-66.122337, Calle Villa Busch #351, K’ara K’ara, D7
-17.425793,-66.122418, Calle Ecológica #352, Arrumani, D7
-17.419118,-66.118607, Calle Enrique Finot #353, Sivingani, D7
-17.415235,-66.124692, Calle Pucará #354, K’ara K’ara, D7
-17.415976,-66.115599, Av. Siglo XX #355, Arrumani, D7
-17.429046,-66.120448, Calle Villa Busch #356, Sivingani, D7
-17.430549,-66.118432, Calle Ecológica #357, K’ara K’ara, D7
-17.431601,-66.120531, Calle Enrique Finot #358, Arrumani, D7
-17.408001,-66.122535, Calle Pucará #359, Sivingani, D7
-17.434165,-66.120106, Av. Siglo XX #360, K’ara K’ara, D7
-17.426914,-66.123452, Calle Villa Busch #361, Arrumani, D7
-17.429620,-66.128276, Calle Ecológica #362, Sivingani, D7
-17.420004,-66.117116, Calle Enrique Finot #363, K’ara K’ara, D7
-17.438500,-66.123859, Calle Pucará #364, Arrumani, D7
-17.423801,-66.117779, Av. Siglo XX #365, Sivingani, D7
-17.431639,-66.123613, Calle Villa Busch #366, K’ara K’ara, D7
-17.416520,-66.113498, Calle Ecológica #367, Arrumani, D7
-17.416450,-66.112984, Calle Enrique Finot #368, Sivingani, D7
-17.419071,-66.116023, Calle Pucará #369, K’ara K’ara, D7
-17.415185,-66.116440, Av. Siglo XX #370, Arrumani, D7
-17.417294,-66.123254, Calle Villa Busch #371, Sivingani, D7
-17.424879,-66.121138, Calle Ecológica #372, K’ara K’ara, D7
-17.436411,-66.121134, Calle Enrique Finot #373, Arrumani, D7
-17.417961,-66.113903, Calle Pucará #374, Sivingani, D7
-17.417604,-66.117825, Av. Siglo XX #375, K’ara K’ara, D7
-17.424286,-66.128362, Calle Villa Busch #376, Arrumani, D7
-17.417203,-66.122146, Calle Ecológica #377, Sivingani, D7
-17.420312,-66.118816, Calle Enrique Finot #378, K’ara K’ara, D7
-17.414278,-66.123057, Calle Pucará #379, Arrumani, D7
-17.438545,-66.122287, Av. Siglo XX #380, Sivingani, D7
-17.435901,-66.123590, Calle Villa Busch #381, K’ara K’ara, D7
-17.417765,-66.114427, Calle Ecológica #382, Arrumani, D7
-17.428194,-66.118986, Calle Enrique Finot #383, Sivingani, D7
-17.416942,-66.124457, Calle Pucará #384, K’ara K’ara, D7
-17.419149,-66.115714, Av. Siglo XX #385, Arrumani, D7
-17.424399,-66.128321, Calle Villa Busch #386, Sivingani, D7
-17.417354,-66.123582, Calle Ecológica #387, K’ara K’ara, D7
-17.414676,-66.120405, Calle Enrique Finot #388, Arrumani, D7
-17.424408,-66.132795, Calle Pucará #389, Sivingani, D7
-17.422898,-66.115869, Av. Siglo XX #390, K’ara K’ara, D7
-17.425241,-66.130773, Calle Villa Busch #391, Arrumani, D7
-17.408165,-66.123823, Calle Ecológica #392, Sivingani, D7
-17.426799,-66.119812, Calle Enrique Finot #393, K’ara K’ara, D7
-17.429068,-66.124665, Calle Pucará #394, Arrumani, D7
-17.421980,-66.118771, Av. Siglo XX #395, Sivingani, D7
-17.418813,-66.127368, Calle Villa Busch #396, K’ara K’ara, D7
-17.422971,-66.129920, Calle Ecológica #397, Arrumani, D7
-17.421956,-66.125517, Calle Enrique Finot #398, Sivingani, D7
-17.419011,-66.120182, Calle Pucará #399, K’ara K’ara, D7
-17.421490,-66.129315, Av. Siglo XX #400, Arrumani, D7
-17.432403,-66.120669, Calle Villa Busch #401, Sivingani, D7
-17.413927,-66.123730, Calle Ecológica #402, K’ara K’ara, D7
-17.420560,-66.124768, Calle Enrique Finot #403, Arrumani, D7
-17.430916,-66.119357, Calle Pucará #404, Sivingani, D7
-17.423956,-66.127117, Av. Siglo XX #405, K’ara K’ara, D7
-17.416989,-66.123911, Calle Villa Busch #406, Arrumani, D7
-17.428386,-66.127491, Calle Ecológica #407, Sivingani, D7
-17.437685,-66.122771, Calle Enrique Finot #408, K’ara K’ara, D7
-17.433207,-66.125644, Calle Pucará #409, Arrumani, D7
-17.419512,-66.120275, Av. Siglo XX #410, Sivingani, D7
-17.427647,-66.128056, Calle Villa Busch #411, K’ara K’ara, D7
-17.414898,-66.115702, Calle Ecológica #412, Arrumani, D7
-17.419860,-66.126368, Calle Enrique Finot #413, Sivingani, D7
-17.430431,-66.124835, Calle Pucará #414, K’ara K’ara, D7
-17.417037,-66.117139, Av. Siglo XX #415, Arrumani, D7
-17.416090,-66.113118, Calle Villa Busch #416, Sivingani, D7
-17.422741,-66.121986, Calle Ecológica #417, K’ara K’ara, D7
-17.424672,-66.124007, Calle Enrique Finot #418, Arrumani, D7
-17.429692,-66.121251, Calle Pucará #419, Sivingani, D7
-17.421594,-66.118354, Av. Siglo XX #420, K’ara K’ara, D7
-17.426850,-66.119384, Calle Villa Busch #421, Arrumani, D7
-17.426035,-66.131445, Calle Ecológica #422, Sivingani, D7
-17.423787,-66.118102, Calle Enrique Finot #423, K’ara K’ara, D7
-17.431314,-66.120258, Calle Pucará #424, Arrumani, D7
-17.417552,-66.114435, Av. Siglo XX #425, Sivingani, D7
-17.420204,-66.128807, Calle Villa Busch #426, K’ara K’ara, D7
-17.413745,-66.124189, Calle Ecológica #427, Arrumani, D7
-17.417340,-66.116366, Calle Enrique Finot #428, Sivingani, D7
-17.416594,-66.121313, Calle Pucará #429, K’ara K’ara, D7
-17.412060,-66.124018, Av. Siglo XX #430, Arrumani, D7
-17.430821,-66.122142, Calle Villa Busch #431, Sivingani, D7
-17.408721,-66.122320, Calle Ecológica #432, K’ara K’ara, D7
-17.421339,-66.125854, Calle Enrique Finot #433, Arrumani, D7
-17.421633,-66.118840, Calle Pucará #434, Sivingani, D7
-17.411141,-66.122420, Av. Siglo XX #435, K’ara K’ara, D7
-17.415429,-66.119481, Calle Villa Busch #436, Arrumani, D7
-17.432432,-66.117849, Calle Ecológica #437, Sivingani, D7
-17.418762,-66.115826, Calle Enrique Finot #438, K’ara K’ara, D7
-17.417563,-66.114609, Calle Pucará #439, Arrumani, D7
-17.409348,-66.121767, Av. Siglo XX #440, Sivingani, D7
-17.418651,-66.123350, Calle Villa Busch #441, K’ara K’ara, D7
-17.431952,-66.121792, Calle Ecológica #442, Arrumani, D7
-17.430016,-66.127516, Calle Enrique Finot #443, Sivingani, D7
-17.423046,-66.115142, Calle Pucará #444, K’ara K’ara, D7
-17.422332,-66.115427, Av. Siglo XX #445, Arrumani, D7
-17.432829,-66.122752, Calle Villa Busch #446, Sivingani, D7
-17.412757,-66.120874, Calle Ecológica #447, K’ara K’ara, D7
-17.433016,-66.118680, Calle Enrique Finot #448, Arrumani, D7
-17.417290,-66.125348, Calle Pucará #449, Sivingani, D7
-17.421598,-66.129271, Av. Siglo XX #450, K’ara K’ara, D7
-17.425938,-66.129772, Calle Villa Busch #451, Arrumani, D7
-17.434931,-66.120602, Calle Ecológica #452, Sivingani, D7
-17.422341,-66.113555, Calle Enrique Finot #453, K’ara K’ara, D7
-17.411260,-66.123396, Calle Pucará #454, Arrumani, D7
-17.423098,-66.124312, Av. Siglo XX #455, Sivingani, D7
-17.429979,-66.127648, Calle Villa Busch #456, K’ara K’ara, D7
-17.434893,-66.121478, Calle Ecológica #457, Arrumani, D7
-17.423892,-66.127909, Calle Enrique Finot #458, Sivingani, D7
-17.429328,-66.118354, Calle Pucará #459, K’ara K’ara, D7
-17.429794,-66.128019, Av. Siglo XX #460, Arrumani, D7
-17.429183,-66.124607, Calle Villa Busch #461, Sivingani, D7
-17.417042,-66.116376, Calle Ecológica #462, K’ara K’ara, D7
-17.416375,-66.115371, Calle Enrique Finot #463, Arrumani, D7
-17.419566,-66.113037, Calle Pucará #464, Sivingani, D7
-17.420551,-66.121488, Av. Siglo XX #465, K’ara K’ara, D7
-17.431897,-66.121881, Calle Villa Busch #466, Arrumani, D7
-17.423285,-66.125838, Calle Ecológica #467, Sivingani, D7
-17.422158,-66.125579, Calle Enrique Finot #468, K’ara K’ara, D7
-17.429104,-66.118753, Calle Pucará #469, Arrumani, D7
-17.424149,-66.129743, Av. Siglo XX #470, Sivingani, D7
-17.421132,-66.126782, Calle Villa Busch #471, K’ara K’ara, D7
-17.415583,-66.121570, Calle Ecológica #472, Arrumani, D7
-17.427319,-66.119239, Calle Enrique Finot #473, Sivingani, D7
-17.420084,-66.122165, Calle Pucará #474, K’ara K’ara, D7
-17.408399,-66.123355, Av. Siglo XX #475, Arrumani, D7
-17.421390,-66.127602, Calle Villa Busch #476, Sivingani, D7
-17.423090,-66.124729, Calle Ecológica #477, K’ara K’ara, D7
-17.425183,-66.121601, Calle Enrique Finot #478, Arrumani, D7
-17.412571,-66.122112, Calle Pucará #479, Sivingani, D7
-17.420355,-66.127674, Av. Siglo XX #480, K’ara K’ara, D7
-17.417115,-66.124454, Calle Villa Busch #481, Arrumani, D7
-17.418597,-66.112409, Calle Ecológica #482, Sivingani, D7
-17.409067,-66.123050, Calle Enrique Finot #483, K’ara K’ara, D7
-17.418623,-66.117070, Calle Pucará #484, Arrumani, D7
-17.414286,-66.120303, Av. Siglo XX #485, Sivingani, D7
-17.434591,-66.120519, Calle Villa Busch #486, K’ara K’ara, D7
-17.435510,-66.124314, Calle Ecológica #487, Arrumani, D7
-17.413160,-66.121445, Calle Enrique Finot #488, Sivingani, D7
-17.431925,-66.124735, Calle Pucará #489, K’ara K’ara, D7
-17.416848,-66.118188, Av. Siglo XX #490, Arrumani, D7
-17.425458,-66.122883, Calle Villa Busch #491, Sivingani, D7
-17.435549,-66.124355, Calle Ecológica #492, K’ara K’ara, D7
-17.416818,-66.114955, Calle Enrique Finot #493, Arrumani, D7
-17.429119,-66.125327, Calle Pucará #494, Sivingani, D7
-17.425020,-66.120395, Av. Siglo XX #495, K’ara K’ara, D7
-17.422813,-66.123543, Calle Villa Busch #496, Arrumani, D7
-17.416821,-66.113496, Calle Ecológica #497, Sivingani, D7
-17.423382,-66.121142, Calle Enrique Finot #498, K’ara K’ara, D7
-17.411798,-66.122237, Calle Pucará #499, Arrumani, D7
-17.417984,-66.116011, Av. Siglo XX #500, Sivingani, D7
-17.430167,-66.127393, Calle Villa Busch #501, K’ara K’ara, D7
-17.423241,-66.128153, Calle Ecológica #502, Arrumani, D7
-17.415752,-66.121562, Calle Enrique Finot #503, Sivingani, D7
-17.421043,-66.118961, Calle Pucará #504, K’ara K’ara, D7
-17.433181,-66.125234, Av. Siglo XX #505, Arrumani, D7
-17.412057,-66.125165, Calle Villa Busch #506, Sivingani, D7
-17.423571,-66.126066, Calle Ecológica #507, K’ara K’ara, D7
-17.429499,-66.120469, Calle Enrique Finot #508, Arrumani, D7
-17.421516,-66.114180, Calle Pucará #509, Sivingani, D7
-17.425896,-66.127624, Av. Siglo XX #510, K’ara K’ara, D7
-17.418701,-66.122211, Calle Villa Busch #511, Arrumani, D7
-17.421264,-66.128251, Calle Ecológica #512, Sivingani, D7
-17.418813,-66.115016, Calle Enrique Finot #513, K’ara K’ara, D7
-17.417045,-66.115698, Calle Pucará #514, Arrumani, D7
