-17.487577,-66.112642, Calle Urcupiña #100, Pukara Oeste, D15
-17.460770,-66.149207, Calle Villazón #259, Pukara Oeste, D15
-17.469470,-66.130925, Calle Urcupiña #260, Khara Khara, D15
-17.466842,-66.148624, Calle Achumani #261, Valle Hermoso Oeste, D15
-17.491953,-66.126400, Calle Castrillo #262, Pukara Oeste, D15
-17.477491,-66.117685, Calle Landaeta #263, Khara Khara, D15
-17.495066,-66.149216, Calle Villazón #264, Valle Hermoso Oeste, D15
-17.479413,-66.112171, Calle Urcupiña #265, Pukara Oeste, D15
-17.470149,-66.129653, Calle Achumani #266, Khara Khara, D15
-17.480846,-66.146842, Calle Castrillo #267, Valle Hermoso Oeste, D15
-17.481580,-66.144172, Calle Landaeta #268, Pukara Oeste, D15
-17.486339,-66.112411, Calle Villazón #269, Khara Khara, D15
-17.499941,-66.145523, Calle Urcupiña #270, Valle Hermoso Oeste, D15
-17.462151,-66.139861, Calle Achumani #271, Pukara Oeste, D15
-17.479117,-66.132702, Calle Castrillo #272, Khara Khara, D15
-17.483214,-66.128818, Calle Landaeta #273, Valle Hermoso Oeste, D15
-17.466916,-66.127329, Calle Villazón #274, Pukara Oeste, D15
-17.473147,-66.125131, Calle Urcupiña #275, Khara Khara, D15
-17.493509,-66.123165, Calle Achumani #276, Valle Hermoso Oeste, D15
-17.452600,-66.134544, Calle Castrillo #277, Pukara Oeste, D15
-17.479813,-66.147458, Calle Landaeta #278, Khara Khara, D15
-17.463745,-66.133604, Calle Villazón #279, Valle Hermoso Oeste, D15
-17.501371,-66.146875, Calle Urcupiña #280, Pukara Oeste, D15
-17.478173,-66.144828, Calle Achumani #281, Khara Khara, D15
-17.469414,-66.118208, Calle Castrillo #282, Valle Hermoso Oeste, D15
-17.464660,-66.131751, Calle Landaeta #283, Pukara Oeste, D15
-17.489617,-66.139892, Calle Villazón #284, Khara Khara, D15
-17.484191,-66.122779, Calle Urcupiña #285, Valle Hermoso Oeste, D15
-17.484216,-66.141298, Calle Achumani #286, Pukara Oeste, D15
-17.470846,-66.150304, Calle Castrillo #287, Khara Khara, D15
-17.469532,-66.138574, Calle Landaeta #288, Valle Hermoso Oeste, D15
-17.491405,-66.121458, Calle Villazón #289, Pukara Oeste, D15
-17.475281,-66.120580, Calle Urcupiña #290, Khara Khara, D15
-17.468630,-66.138647, Calle Achumani #291, Valle Hermoso Oeste, D15
-17.470317,-66.150536, Calle Castrillo #292, Pukara Oeste, D15
-17.451865,-66.135921, Calle Landaeta #293, Khara Khara, D15
-17.487621,-66.150092, Calle Villazón #294, Valle Hermoso Oeste, D15
-17.454690,-66.133574, Calle Urcupiña #295, Pukara Oeste, D15
-17.486796,-66.114092, Calle Achumani #296, Khara Khara, D15
-17.462477,-66.133819, Calle Castrillo #297, Valle Hermoso Oeste, D15
-17.451592,-66.146633, Calle Landaeta #298, Pukara Oeste, D15
-17.465999,-66.125260, Calle Villazón #299, Khara Khara, D15
-17.469143,-66.123290, Calle Urcupiña #300, Valle Hermoso Oeste, D15
-17.464212,-66.143635, Calle Achumani #301, Pukara Oeste, D15
-17.479144,-66.127518, Calle Castrillo #302, Khara Khara, D15
-17.462667,-66.134508, Calle Landaeta #303, Valle Hermoso Oeste, D15
-17.480787,-66.114831, Calle Villazón #304, Pukara Oeste, D15
-17.485954,-66.140535, Calle Urcupiña #305, Khara Khara, D15
-17.479482,-66.118404, Calle Achumani #306, Valle Hermoso Oeste, D15
-17.475073,-66.115782, Calle Castrillo #307, Pukara Oeste, D15
-17.473997,-66.150661, Calle Landaeta #308, Khara Khara, D15
-17.473478,-66.140994, Calle Villazón #309, Valle Hermoso Oeste, D15
-17.465839,-66.126729, Calle Urcupiña #310, Pukara Oeste, D15
-17.473301,-66.122106, Calle Achumani #311, Khara Khara, D15
-17.473763,-66.137323, Calle Castrillo #312, Valle Hermoso Oeste, D15
-17.483607,-66.136619, Calle Landaeta #313, Pukara Oeste, D15
-17.470125,-66.127897, Calle Villazón #314, Khara Khara, D15
-17.453420,-66.138132, Calle Urcupiña #315, Valle Hermoso Oeste, D15
-17.448695,-66.138804, Calle Achumani #316, Pukara Oeste, D15
-17.490369,-66.147703, Calle Castrillo #317, Khara Khara, D15
-17.481397,-66.115347, Calle Landaeta #318, Valle Hermoso Oeste, D15
-17.463215,-66.149690, Calle Villazón #319, Pukara Oeste, D15
-17.501827,-66.141505, Calle Urcupiña #320, Khara Khara, D15
-17.486723,-66.113799, Calle Achumani #321, Valle Hermoso Oeste, D15
-17.484853,-66.129564, Calle Castrillo #322, Pukara Oeste, D15
-17.487264,-66.133354, Calle Landaeta #323, Khara Khara, D15
-17.469313,-66.141324, Calle Villazón #324, Valle Hermoso Oeste, D15
-17.480512,-66.127151, Calle Urcupiña #325, Pukara Oeste, D15
-17.485421,-66.140758, Calle Achumani #326, Khara Khara, D15
-17.475432,-66.114237, Calle Castrillo #327, Valle Hermoso Oeste, D15
-17.483833,-66.145467, Calle Landaeta #328, Pukara Oeste, D15
-17.486939,-66.144577, Calle Villazón #329, Khara Khara, D15
-17.455972,-66.144010, Calle Urcupiña #330, Valle Hermoso Oeste, D15
-17.462146,-66.148481, Calle Achumani #331, Pukara Oeste, D15
-17.476873,-66.124693, Calle Castrillo #332, Khara Khara, D15
-17.474348,-66.144885, Calle Landaeta #333, Valle Hermoso Oeste, D15
-17.475550,-66.147535, Calle Villazón #334, Pukara Oeste, D15
-17.491223,-66.132915, Calle Urcupiña #335, Khara Khara, D15
-17.491984,-66.143131, Calle Achumani #336, Valle Hermoso Oeste, D15
-17.468801,-66.133555, Calle Castrillo #337, Pukara Oeste, D15
-17.475711,-66.129627, Calle Landaeta #338, Khara Khara, D15
-17.482051,-66.124781, Calle Villazón #339, Valle Hermoso Oeste, D15
-17.486974,-66.144352, Calle Urcupiña #340, Pukara Oeste, D15
-17.456451,-66.151514, Calle Achumani #341, Khara Khara, D15
-17.479455,-66.124813, Calle Castrillo #342, Valle Hermoso Oeste, D15
-17.464276,-66.143203, Calle Landaeta #343, Pukara Oeste, D15
-17.479514,-66.116457, Calle Villazón #344, Khara Khara, D15
-17.460583,-66.152905, Calle Urcupiña #345, Valle Hermoso Oeste, D15
-17.466268,-66.124817, Calle Achumani #346, Pukara Oeste, D15
-17.486657,-66.123804, Calle Castrillo #347, Khara Khara, D15
-17.498839,-66.149036, Calle Landaeta #348, Valle Hermoso Oeste, D15
-17.456265,-66.151899, Calle Villazón #349, Pukara Oeste, D15
-17.493958,-66.131518, Calle Urcupiña #350, Khara Khara, D15
-17.480893,-66.125466, Calle Achumani #351, Valle Hermoso Oeste, D15
-17.493511,-66.141858, Calle Castrillo #352, Pukara Oeste, D15
-17.489813,-66.133926, Calle Landaeta #353, Khara Khara, D15
-17.468814,-66.128860, Calle Villazón #354, Valle Hermoso Oeste, D15
-17.471065,-66.119911, Calle Urcupiña #355, Pukara Oeste, D15
-17.456799,-66.145787, Calle Achumani #356, Khara Khara, D15
-17.467115,-66.142733, Calle Castrillo #357, Valle Hermoso Oeste, D15
-17.477123,-66.126747, Calle Landaeta #358, Pukara Oeste, D15
-17.471357,-66.132653, Calle Villazón #359, Khara Khara, D15
-17.470414,-66.146857, Calle Urcupiña #360, Valle Hermoso Oeste, D15
-17.478468,-66.116338, Calle Achumani #361, Pukara Oeste, D15
-17.467456,-66.152059, Calle Castrillo #362, Khara Khara, D15
-17.482523,-66.115470, Calle Landaeta #363, Valle Hermoso Oeste, D15
-17.495780,-66.142961, Calle Villazón #364, Pukara Oeste, D15
-17.473935,-66.140019, Calle Urcupiña #365, Khara Khara, D15
-17.502719,-66.142663, Calle Achumani #366, Valle Hermoso Oeste, D15
-17.462208,-66.146801, Calle Castrillo #367, Pukara Oeste, D15
-17.469886,-66.137164, Calle Landaeta #368, Khara Khara, D15
-17.486272,-66.145208, Calle Villazón #369, Valle Hermoso Oeste, D15
-17.489122,-66.124519, Calle Urcupiña #370, Pukara Oeste, D15
-17.462499,-66.146139, Calle Achumani #371, Khara Khara, D15
-17.473195,-66.145477, Calle Castrillo #372, Valle Hermoso Oeste, D15
-17.485989,-66.149879, Calle Landaeta #373, Pukara Oeste, D15
-17.478716,-66.134758, Calle Villazón #374, Khara Khara, D15
-17.493003,-66.130884, Calle Urcupiña #375, Valle Hermoso Oeste, D15
-17.494726,-66.125309, Calle Achumani #376, Pukara Oeste, D15
-17.490121,-66.127076, Calle Castrillo #377, Khara Khara, D15
-17.463435,-66.127248, Calle Landaeta #378, Valle Hermoso Oeste, D15
-17.497224,-66.134329, Calle Villazón #379, Pukara Oeste, D15
-17.457614,-66.148362, Calle Urcupiña #380, Khara Khara, D15
-17.450718,-66.144501, Calle Achumani #381, Valle Hermoso Oeste, D15
-17.495499,-66.136877, Calle Castrillo #382, Pukara Oeste, D15
-17.466194,-66.137818, Calle Landaeta #383, Khara Khara, D15
-17.486167,-66.128274, Calle Villazón #384, Valle Hermoso Oeste, D15
-17.470910,-66.124009, Calle Urcupiña #385, Pukara Oeste, D15
-17.494532,-66.147495, Calle Achumani #386, Khara Khara, D15
-17.496434,-66.139161, Calle Castrillo #387, Valle Hermoso Oeste, D15
-17.469041,-66.138988, Calle Landaeta #388, Pukara Oeste, D15
-17.465607,-66.133524, Calle Villazón #389, Khara Khara, D15
-17.460544,-66.146197, Calle Urcupiña #390, Valle Hermoso Oeste, D15
-17.494874,-66.125859, Calle Achumani #391, Pukara Oeste, D15
-17.501733,-66.144405, Calle Castrillo #392, Khara Khara, D15
-17.479658,-66.140704, Calle Landaeta #393, Valle Hermoso Oeste, D15
-17.485260,-66.112777, Calle Villazón #394, Pukara Oeste, D15
-17.465843,-66.133628, Calle Urcupiña #395, Khara Khara, D15
-17.486457,-66.116551, Calle Achumani #396, Valle Hermoso Oeste, D15
-17.470119,-66.135977, Calle Castrillo #397, Pukara Oeste, D15
-17.482860,-66.138050, Calle Landaeta #398, Khara Khara, D15
-17.480274,-66.126824, Calle Villazón #399, Valle Hermoso Oeste, D15
-17.473320,-66.141522, Calle Urcupiña #400, Pukara Oeste, D15
-17.451610,-66.137722, Calle Achumani #401, Khara Khara, D15
-17.467012,-66.128941, Calle Castrillo #402, Valle Hermoso Oeste, D15
-17.478765,-66.132240, Calle Landaeta #403, Pukara Oeste, D15
-17.459069,-66.131122, Calle Villazón #404, Khara Khara, D15
-17.495991,-66.146182, Calle Urcupiña #405, Valle Hermoso Oeste, D15
-17.465571,-66.129086, Calle Achumani #406, Pukara Oeste, D15
-17.488994,-66.131951, Calle Castrillo #407, Khara Khara, D15
-17.493246,-66.139832, Calle Landaeta #408, Valle Hermoso Oeste, D15
-17.473388,-66.121098, Calle Villazón #409, Pukara Oeste, D15
-17.476910,-66.113316, Calle Urcupiña #410, Khara Khara, D15
-17.496240,-66.127136, Calle Achumani #411, Valle Hermoso Oeste, D15
-17.470903,-66.130570, Calle Castrillo #412, Pukara Oeste, D15
-17.501839,-66.137911, Calle Landaeta #413, Khara Khara, D15
-17.478272,-66.151076, Calle Villazón #414, Valle Hermoso Oeste, D15
-17.483644,-66.130830, Calle Urcupiña #415, Pukara Oeste, D15
-17.476993,-66.144148, Calle Achumani #416, Khara Khara, D15
-17.456326,-66.150763, Calle Castrillo #417, Valle Hermoso Oeste, D15
-17.451991,-66.141335, Calle Landaeta #418, Pukara Oeste, D15
-17.493580,-66.134317, Calle Villazón #419, Khara Khara, D15
-17.472675,-66.137724, Calle Urcupiña #420, Valle Hermoso Oeste, D15
-17.475221,-66.116257, Calle Achumani #421, Pukara Oeste, D15
-17.478824,-66.128306, Calle Castrillo #422, Khara Khara, D15
-17.475191,-66.116658, Calle Landaeta #423, Valle Hermoso Oeste, D15
-17.484836,-66.142353, Calle Villazón #424, Pukara Oeste, D15
-17.483098,-66.137102, Calle Urcupiña #425, Khara Khara, D15
-17.483492,-66.118586, Calle Achumani #426, Valle Hermoso Oeste, D15
-17.473139,-66.123953, Calle Castrillo #427, Pukara Oeste, D15
-17.496499,-66.136356, Calle Landaeta #428, Khara Khara, D15
-17.463478,-66.127399, Calle Villazón #429, Valle Hermoso Oeste, D15
-17.495328,-66.128283, Calle Urcupiña #430, Pukara Oeste, D15
-17.484244,-66.128271, Calle Achumani #431, Khara Khara, D15
-17.472959,-66.130423, Calle Castrillo #432, Valle Hermoso Oeste, D15
-17.489028,-66.147185, Calle Landaeta #433, Pukara Oeste, D15
-17.460081,-66.143655, Calle Villazón #434, Khara Khara, D15
-17.492612,-66.137672, Calle Urcupiña #435, Valle Hermoso Oeste, D15
-17.488423,-66.142479, Calle Achumani #436, Pukara Oeste, D15
-17.485458,-66.109694, Calle Castrillo #437, Khara Khara, D15
-17.460367,-66.153073, Calle Landaeta #438, Valle Hermoso Oeste, D15
-17.459475,-66.147501, Calle Villazón #439, Pukara Oeste, D15
-17.455653,-66.138686, Calle Urcupiña #440, Khara Khara, D15
-17.501880,-66.145723, Calle Achumani #441, Valle Hermoso Oeste, D15
-17.481644,-66.143824, Calle Castrillo #442, Pukara Oeste, D15
-17.463096,-66.138165, Calle Landaeta #443, Khara Khara, D15
-17.497318,-66.139863, Calle Villazón #444, Valle Hermoso Oeste, D15
-17.501894,-66.147892, Calle Urcupiña #445, Pukara Oeste, D15
-17.492701,-66.147772, Calle Achumani #446, Khara Khara, D15
-17.473702,-66.146834, Calle Castrillo #447, Valle Hermoso Oeste, D15
-17.473977,-66.152149, Calle Landaeta #448, Pukara Oeste, D15
-17.480284,-66.150785, Calle Villazón #449, Khara Khara, D15
-17.449141,-66.140200, Calle Urcupiña #450, Valle Hermoso Oeste, D15
-17.494997,-66.130596, Calle Achumani #451, Pukara Oeste, D15
-17.475256,-66.134981, Calle Castrillo #452, Khara Khara, D15
-17.499413,-66.145978, Calle Landaeta #453, Valle Hermoso Oeste, D15
-17.472222,-66.119075, Calle Villazón #454, Pukara Oeste, D15
-17.499505,-66.144543, Calle Urcupiña #455, Khara Khara, D15
-17.485090,-66.134866, Calle Achumani #456, Valle Hermoso Oeste, D15
-17.485903,-66.147964, Calle Castrillo #457, Pukara Oeste, D15
-17.474497,-66.138157, Calle Landaeta #458, Khara Khara, D15
-17.450671,-66.140958, Calle Villazón #459, Valle Hermoso Oeste, D15
-17.491134,-66.131946, Calle Urcupiña #460, Pukara Oeste, D15
-17.475625,-66.138608, Calle Achumani #461, Khara Khara, D15
-17.446880,-66.140192, Calle Castrillo #462, Valle Hermoso Oeste, D15
-17.469734,-66.127827, Calle Landaeta #463, Pukara Oeste, D15
-17.472405,-66.147535, Calle Villazón #464, Khara Khara, D15
-17.485820,-66.119061, Calle Urcupiña #465, Valle Hermoso Oeste, D15
-17.471343,-66.115765, Calle Achumani #466, Pukara Oeste, D15
-17.471407,-66.124418, Calle Castrillo #467, Khara Khara, D15
-17.474077,-66.127535, Calle Landaeta #468, Valle Hermoso Oeste, D15
-17.462779,-66.149063, Calle Villazón #469, Pukara Oeste, D15
-17.489215,-66.121820, Calle Urcupiña #470, Khara Khara, D15
-17.477801,-66.152175, Calle Achumani #471, Valle Hermoso Oeste, D15
-17.470801,-66.135898, Calle Castrillo #472, Pukara Oeste, D15
-17.489610,-66.146060, Calle Landaeta #473, Khara Khara, D15
-17.500202,-66.148239, Calle Villazón #474, Valle Hermoso Oeste, D15
-17.484353,-66.111109, Calle Urcupiña #475, Pukara Oeste, D15
-17.501967,-66.137260, Calle Achumani #476, Khara Khara, D15
-17.485596,-66.111275, Calle Castrillo #477, Valle Hermoso Oeste, D15
-17.494979,-66.125933, Calle Landaeta #478, Pukara Oeste, D15
-17.500005,-66.135152, Calle Villazón #479, Khara Khara, D15
-17.487174,-66.149961, Calle Urcupiña #480, Valle Hermoso Oeste, D15
-17.493545,-66.128309, Calle Achumani #481, Pukara Oeste, D15
-17.465859,-66.128257, Calle Castrillo #482, Khara Khara, D15
-17.495870,-66.134593, Calle Landaeta #483, Valle Hermoso Oeste, D15
-17.489257,-66.133122, Calle Villazón #484, Pukara Oeste, D15
-17.489286,-66.125225, Calle Urcupiña #485, Khara Khara, D15
-17.460431,-66.146477, Calle Achumani #486, Valle Hermoso Oeste, D15
-17.472021,-66.138250, Calle Castrillo #487, Pukara Oeste, D15
-17.463329,-66.141207, Calle Landaeta #488, Khara Khara, D15
-17.501293,-66.145864, Calle Villazón #489, Valle Hermoso Oeste, D15
-17.461424,-66.133324, Calle Urcupiña #490, Pukara Oeste, D15
-17.463884,-66.125324, Calle Achumani #491, Khara Khara, D15
-17.490175,-66.123467, Calle Castrillo #492, Valle Hermoso Oeste, D15
