-17.394985,-66.159656, Calle 14 de Septiembre #100, Sudeste, D10
-17.398423,-66.149986, Calle Gualberto Villarroel #337, Sudeste, D10
-17.397734,-66.154626, Calle Avaroa #338, Noreste, D10
-17.401212,-66.163674, Calle Galindo #339, Noroeste, D10
-17.396989,-66.152621, Calle 14 de Septiembre #340, Sudeste, D10
-17.394280,-66.153350, Calle Altamirano #341, Noreste, D10
-17.396765,-66.155040, Calle Gualberto Villarroel #342, Noroeste, D10
-17.405129,-66.165104, Calle Avaroa #343, Sudeste, D10
-17.400719,-66.161179, Calle Galindo #344, Noreste, D10
-17.399978,-66.159469, Calle 14 de Septiembre #345, Noroeste, D10
-17.407080,-66.155128, Calle Altamirano #346, Sudeste, D10
-17.396187,-66.164371, Calle Gualberto Villarroel #347, Noreste, D10
-17.394541,-66.165120, Calle Avaroa #348, Noroeste, D10
-17.403110,-66.164941, Calle Galindo #349, Sudeste, D10
-17.405006,-66.154423, Calle 14 de Septiembre #350, Noreste, D10
-17.407252,-66.165511, Calle Altamirano #351, Noroeste, D10
-17.394516,-66.161281, Calle Gualberto Villarroel #352, Sudeste, D10
-17.393991,-66.151756, Calle Avaroa #353, Noreste, D10
-17.395601,-66.160125, Calle Galindo #354, Noroeste, D10
-17.390638,-66.155293, Calle 14 de Septiembre #355, Sudeste, D10
-17.401131,-66.157520, Calle Altamirano #356, Noreste, D10
-17.391933,-66.160253, Calle Gualberto Villarroel #357, Noroeste, D10
-17.401396,-66.159442, Calle Avaroa #358, Sudeste, D10
-17.403678,-66.155754, Calle Galindo #359, Noreste, D10
-17.394247,-66.158696, Calle 14 de Septiembre #360, Noroeste, D10
-17.391910,-66.160616, Calle Altamirano #361, Sudeste, D10
-17.392205,-66.164043, Calle Gualberto Villarroel #362, Noreste, D10
-17.392326,-66.155223, Calle Avaroa #363, Noroeste, D10
-17.400054,-66.159419, Calle Galindo #364, Sudeste, D10
-17.410252,-66.157782, Calle 14 de Septiembre #365, Noreste, D10
-17.409371,-66.156660, Calle Altamirano #366, Noroeste, D10
-17.410635,-66.163329, Calle Gualberto Villarroel #367, Sudeste, D10
-17.396966,-66.153981, Calle Avaroa #368, Noreste, D10
-17.394748,-66.163644, Calle Galindo #369, Noroeste, D10
-17.408865,-66.166333, Calle 14 de Septiembre #370, Sudeste, D10
-17.398276,-66.156428, Calle Altamirano #371, Noreste, D10
-17.382552,-66.154811, Calle Gualberto Villarroel #372, Noroeste, D10
-17.396661,-66.159434, Calle Avaroa #373, Sudeste, D10
-17.388210,-66.153206, Calle Galindo #374, Noreste, D10
-17.399943,-66.153013, Calle 14 de Septiembre #375, Noroeste, D10
-17.398905,-66.151331, Calle Altamirano #376, Sudeste, D10
-17.400721,-66.156244, Calle Gualberto Villarroel #377, Noreste, D10
-17.399959,-66.165027, Calle Avaroa #378, Noroeste, D10
-17.402908,-66.154021, Calle Galindo #379, Sudeste, D10
-17.390933,-66.163857, Calle 14 de Septiembre #380, Noreste, D10
-17.409965,-66.162625, Calle Altamirano #381, Noroeste, D10
-17.404911,-66.161261, Calle Gualberto Villarroel #382, Sudeste, D10
-17.410458,-66.158338, Calle Avaroa #383, Noreste, D10
-17.389413,-66.155444, Calle Galindo #384, Noroeste, D10
-17.388540,-66.151748, Calle 14 de Septiembre #385, Sudeste, D10
-17.382110,-66.158802, Calle Altamirano #386, Noreste, D10
-17.386001,-66.161893, Calle Gualberto Villarroel #387, Noroeste, D10
-17.384589,-66.153607, Calle Avaroa #388, Sudeste, D10
-17.383171,-66.157723, Calle Galindo #389, Noreste, D10
-17.388951,-66.157151, Calle 14 de Septiembre #390, Noroeste, D10
-17.406411,-66.157840, Calle Altamirano #391, Sudeste, D10
-17.403581,-66.152868, Calle Gualberto Villarroel #392, Noreste, D10
-17.394734,-66.151744, Calle Avaroa #393, Noroeste, D10
-17.386157,-66.159885, Calle Galindo #394, Sudeste, D10
-17.397590,-66.157355, Calle 14 de Septiembre #395, Noreste, D10
-17.384568,-66.156331, Calle Altamirano #396, Noroeste, D10
-17.406043,-66.157926, Calle Gualberto Villarroel #397, Sudeste, D10
-17.406380,-66.163021, Calle Avaroa #398, Noreste, D10
-17.404963,-66.165426, Calle Galindo #399, Noroeste, D10
-17.389950,-66.159388, Calle 14 de Septiembre #400, Sudeste, D10
-17.394594,-66.162821, Calle Altamirano #401, Noreste, D10
-17.386203,-66.159103, Calle Gualberto Villarroel #402, Noroeste, D10
-17.402930,-66.156373, Calle Avaroa #403, Sudeste, D10
-17.388825,-66.156569, Calle Galindo #404, Noreste, D10
-17.408490,-66.162292, Calle 14 de Septiembre #405, Noroeste, D10
-17.398894,-66.153665, Calle Altamirano #406, Sudeste, D10
-17.390944,-66.153862, Calle Gualberto Villarroel #407, Noreste, D10
-17.391859,-66.162446, Calle Avaroa #408, Noroeste, D10
-17.395365,-66.160685, Calle Galindo #409, Sudeste, D10
-17.397019,-66.160433, Calle 14 de Septiembre #410, Noreste, D10
-17.396816,-66.159921, Calle Altamirano #411, Noroeste, D10
-17.398577,-66.162865, Calle Gualberto Villarroel #412, Sudeste, D10
-17.402334,-66.159450, Calle Avaroa #413, Noreste, D10
-17.400676,-66.166728, Calle Galindo #414, Noroeste, D10
-17.399183,-66.150268, Calle 14 de Septiembre #415, Sudeste, D10
-17.389031,-66.162862, Calle Altamirano #416, Noreste, D10
-17.396908,-66.149695, Calle Gualberto Villarroel #417, Noroeste, D10
-17.381726,-66.154470, Calle Avaroa #418, Sudeste, D10
-17.405220,-66.168832, Calle Galindo #419, Noreste, D10
-17.387774,-66.152054, Calle 14 de Septiembre #420, Noroeste, D10
-17.402035,-66.154164, Calle Altamirano #421, Sudeste, D10
-17.404778,-66.157413, Calle Gualberto Villarroel #422, Noreste, D10
-17.393638,-66.153693, Calle Avaroa #423, Noroeste, D10
-17.390257,-66.157206, Calle Galindo #424, Sudeste, D10
-17.394187,-66.157052, Calle 14 de Septiembre #425, Noreste, D10
-17.399307,-66.162416, Calle Altamirano #426, Noroeste, D10
-17.397898,-66.161521, Calle Gualberto Villarroel #427, Sudeste, D10
-17.394827,-66.161988, Calle Avaroa #428, Noreste, D10
-17.381725,-66.155171, Calle Galindo #429, Noroeste, D10
-17.391356,-66.162761, Calle 14 de Septiembre #430, Sudeste, D10
-17.411465,-66.156253, Calle Altamirano #431, Noreste, D10
-17.405479,-66.168220, Calle Gualberto Villarroel #432, Noroeste, D10
-17.381056,-66.155397, Calle Avaroa #433, Sudeste, D10
-17.408299,-66.161187, Calle Galindo #434, Noreste, D10
-17.401425,-66.163616, Calle 14 de Septiembre #435, Noroeste, D10
-17.394492,-66.163400, Calle Altamirano #436, Sudeste, D10
-17.403696,-66.154829, Calle Gualberto Villarroel #437, Noreste, D10
-17.397444,-66.155094, Calle Avaroa #438, Noroeste, D10
-17.392686,-66.150908, Calle Galindo #439, Sudeste, D10
-17.390465,-66.157376, Calle 14 de Septiembre #440, Noreste, D10
-17.407731,-66.160270, Calle Altamirano #441, Noroeste, D10
-17.386388,-66.155846, Calle Gualberto Villarroel #442, Sudeste, D10
-17.409499,-66.164531, Calle Avaroa #443, Noreste, D10
-17.385392,-66.154084, Calle Galindo #444, Noroeste, D10
-17.407201,-66.168949, Calle 14 de Septiembre #445, Sudeste, D10
-17.382648,-66.154202, Calle Altamirano #446, Noreste, D10
-17.387022,-66.162366, Calle Gualberto Villarroel #447, Noroeste, D10
-17.388037,-66.154515, Calle Avaroa #448, Sudeste, D10
-17.395109,-66.163048, Calle Galindo #449, Noreste, D10
-17.391618,-66.157069, Calle 14 de Septiembre #450, Noroeste, D10
-17.383774,-66.157753, Calle Altamirano #451, Sudeste, D10
-17.410506,-66.155187, Calle Gualberto Villarroel #452, Noreste, D10
-17.406467,-66.154605, Calle Avaroa #453, Noroeste, D10
-17.390960,-66.155832, Calle Galindo #454, Sudeste, D10
-17.401119,-66.159087, Calle 14 de Septiembre #455, Noreste, D10
-17.398228,-66.158580, Calle Altamirano #456, Noroeste, D10
-17.396771,-66.156672, Calle Gualberto Villarroel #457, Sudeste, D10
-17.401606,-66.162561, Calle Avaroa #458, Noreste, D10
-17.389758,-66.161356, Calle Galindo #459, Noroeste, D10
-17.404717,-66.160222, Calle 14 de Septiembre #460, Sudeste, D10
-17.390392,-66.153543, Calle Altamirano #461, Noreste, D10
-17.385019,-66.154953, Calle Gualberto Villarroel #462, Noroeste, D10
-17.403587,-66.159442, Calle Avaroa #463, Sudeste, D10
-17.398601,-66.158937, Calle Galindo #464, Noreste, D10
-17.403434,-66.161246, Calle 14 de Septiembre #465, Noroeste, D10
-17.385162,-66.160742, Calle Altamirano #466, Sudeste, D10
-17.399752,-66.159348, Calle Gualberto Villarroel #467, Noreste, D10
-17.401788,-66.152314, Calle Avaroa #468, Noroeste, D10
-17.388494,-66.159119, Calle Galindo #469, Sudeste, D10
-17.402571,-66.152440, Calle 14 de Septiembre #470, Noreste, D10
-17.400481,-66.159232, Calle Altamirano #471, Noroeste, D10
-17.394425,-66.153387, Calle Gualberto Villarroel #472, Sudeste, D10
-17.399106,-66.162802, Calle Avaroa #473, Noreste, D10
-17.396772,-66.163267, Calle Galindo #474, Noroeste, D10
-17.390622,-66.154234, Calle 14 de Septiembre #475, Sudeste, D10
-17.393867,-66.160482, Calle Altamirano #476, Noreste, D10
-17.384968,-66.162146, Calle Gualberto Villarroel #477, Noroeste, D10
-17.408498,-66.157444, Calle Avaroa #478, Sudeste, D10
-17.397726,-66.166680, Calle Galindo #479, Noreste, D10
-17.401703,-66.165448, Calle 14 de Septiembre #480, Noroeste, D10
-17.387635,-66.157265, Calle Altamirano #481, Sudeste, D10
-17.396396,-66.155201, Calle Gualberto Villarroel #482, Noreste, D10
-17.400523,-66.154256, Calle Avaroa #483, Noroeste, D10
-17.385092,-66.158885, Calle Galindo #484, Sudeste, D10
-17.399116,-66.158265, Calle 14 de Septiembre #485, Noreste, D10
-17.406525,-66.155592, Calle Altamirano #486, Noroeste, D10
-17.410588,-66.161608, Calle Gualberto Villarroel #487, Sudeste, D10
-17.398470,-66.166599, Calle Avaroa #488, Noreste, D10
-17.384333,-66.156753, Calle Galindo #489, Noroeste, D10
-17.382871,-66.152931, Calle 14 de Septiembre #490, Sudeste, D10
-17.382585,-66.157844, Calle Altamirano #491, Noreste, D10
-17.398139,-66.161010, Calle Gualberto Villarroel #492, Noroeste, D10
-17.405034,-66.160570, Calle Avaroa #493, Sudeste, D10
-17.405950,-66.166655, Calle Galindo #494, Noreste, D10
-17.404677,-66.157829, Calle 14 de Septiembre #495, Noroeste, D10
-17.400852,-66.162290, Calle Altamirano #496, Sudeste, D10
-17.392838,-66.162389, Calle Gualberto Villarroel #497, Noreste, D10
-17.401806,-66.157257, Calle Avaroa #498, Noroeste, D10
-17.388817,-66.161174, Calle Galindo #499, Sudeste, D10
-17.391541,-66.157942, Calle 14 de Septiembre #500, Noreste, D10
-17.411387,-66.155415, Calle Altamirano #501, Noroeste, D10
-17.387354,-66.160399, Calle Gualberto Villarroel #502, Sudeste, D10
-17.398703,-66.158566, Calle Avaroa #503, Noreste, D10
-17.388228,-66.155355, Calle Galindo #504, Noroeste, D10
-17.388347,-66.156781, Calle 14 de Septiembre #505, Sudeste, D10
-17.396731,-66.149002, Calle Altamirano #506, Noreste, D10
-17.395192,-66.152068, Calle Gualberto Villarroel #507, Noroeste, D10
-17.398401,-66.149027, Calle Avaroa #508, Sudeste, D10
-17.383977,-66.152571, Calle Galindo #509, Noreste, D10
-17.407756,-66.164766, Calle 14 de Septiembre #510, Noroeste, D10
-17.382964,-66.155155, Calle Altamirano #511, Sudeste, D10
-17.398261,-66.161801, Calle Gualberto Villarroel #512, Noreste, D10
-17.399489,-66.163405, Calle Avaroa #513, Noroeste, D10
-17.401904,-66.163430, Calle Galindo #514, Sudeste, D10
-17.392814,-66.160245, Calle 14 de Septiembre #515, Noreste, D10
-17.399142,-66.149897, Calle Altamirano #516, Noroeste, D10
-17.400797,-66.157396, Calle Gualberto Villarroel #517, Sudeste, D10
-17.381979,-66.157218, Calle Avaroa #518, Noreste, D10
