-17.378292,-66.142300, Calle Saturnino #100, Muyurina, D11
-17.382391,-66.147986, Calle Roma #132, Alalay, D11
-17.383692,-66.140325, Calle Ork’o #133, Muyurina, D11
-17.381546,-66.144724, Calle Cochabamba #134, Las Cuadras, D11
-17.386768,-66.138527, Calle Saturnino #135, Alalay, D11
-17.390803,-66.139056, Calle Arce #136, Muyurina, D11
-17.379777,-66.145781, Calle Roma #137, Las Cuadras, D11
-17.391488,-66.139930, Calle Ork’o #138, Alalay, D11
-17.379245,-66.137801, Calle Cochabamba #139, Muyurina, D11
-17.383684,-66.149393, Calle Saturnino #140, Las Cuadras, D11
-17.383708,-66.143893, Calle Arce #141, Alalay, D11
-17.393660,-66.138282, Calle Roma #142, Muyurina, D11
-17.382085,-66.149372, Calle Ork’o #143, Las Cuadras, D11
-17.380576,-66.134466, Calle Cochabamba #144, Alalay, D11
-17.378484,-66.146833, Calle Saturnino #145, Muyurina, D11
-17.389969,-66.145449, Calle Arce #146, Las Cuadras, D11
-17.382008,-66.136591, Calle Roma #147, Alalay, D11
-17.395195,-66.147697, Calle Ork’o #148, Muyurina, D11
-17.389753,-66.143632, Calle Cochabamba #149, Las Cuadras, D11
-17.383949,-66.140059, Calle Saturnino #150, Alalay, D11
-17.394923,-66.132693, Calle Arce #151, Muyurina, D11
-17.395566,-66.129269, Calle Roma #152, Las Cuadras, D11
-17.388730,-66.141462, Calle Ork’o #153, Alalay, D11
-17.382002,-66.149946, Calle Cochabamba #154, Muyurina, D11
-17.377658,-66.133108, Calle Saturnino #155, Las Cuadras, D11
-17.387766,-66.148482, Calle Arce #156, Alalay, D11
-17.378665,-66.136057, Calle Roma #157, Muyurina, D11
-17.378601,-66.131287, Calle Ork’o #158, Las Cuadras, D11
-17.394176,-66.144879, Calle Cochabamba #159, Alalay, D11
-17.388036,-66.137933, Calle Saturnino #160, Muyurina, D11
-17.387018,-66.146463, Calle Arce #161, Las Cuadras, D11
-17.391490,-66.137009, Calle Roma #162, Alalay, D11
-17.381695,-66.147186, Calle Ork’o #163, Muyurina, D11
-17.395182,-66.148317, Calle Cochabamba #164, Las Cuadras, D11
-17.389498,-66.141556, Calle Saturnino #165, Alalay, D11
-17.381291,-66.135896, Calle Arce #166, Muyurina, D11
-17.397433,-66.138853, Calle Roma #167, Las Cuadras, D11
-17.391197,-66.147321, Calle Ork’o #168, Alalay, D11
-17.377624,-66.138441, Calle Cochabamba #169, Muyurina, D11
-17.378803,-66.142349, Calle Saturnino #170, Las Cuadras, D11
-17.387947,-66.148519, Calle Arce #171, Alalay, D11
-17.378009,-66.135021, Calle Roma #172, Muyurina, D11
-17.379225,-66.143662, Calle Ork’o #173, Las Cuadras, D11
-17.375505,-66.136235, Calle Cochabamba #174, Alalay, D11
-17.378602,-66.142110, Calle Saturnino #175, Muyurina, D11
-17.381597,-66.149389, Calle Arce #176, Las Cuadras, D11
-17.394674,-66.136898, Calle Roma #177, Alalay, D11
-17.393387,-66.131331, Calle Ork’o #178, Muyurina, D11
-17.394493,-66.143975, Calle Cochabamba #179, Las Cuadras, D11
-17.384120,-66.149865, Calle Saturnino #180, Alalay, D11
-17.378084,-66.141163, Calle Arce #181, Muyurina, D11
-17.393951,-66.143024, Calle Roma #182, Las Cuadras, D11
-17.380494,-66.131334, Calle Ork’o #183, Alalay, D11
-17.393915,-66.147842, Calle Cochabamba #184, Muyurina, D11
-17.382552,-66.143292, Calle Saturnino #185, Las Cuadras, D11
-17.383117,-66.139833, Calle Arce #186, Alalay, D11
-17.387739,-66.144433, Calle Roma #187, Muyurina, D11
-17.381711,-66.135960, Calle Ork’o #188, Las Cuadras, D11
-17.392092,-66.136037, Calle Cochabamba #189, Alalay, D11
-17.382863,-66.141550, Calle Saturnino #190, Muyurina, D11
-17.394389,-66.145650, Calle Arce #191, Las Cuadras, D11
-17.384454,-66.139695, Calle Roma #192, Alalay, D11
-17.380474,-66.145932, Calle Ork’o #193, Muyurina, D11
-17.389465,-66.139390, Calle Cochabamba #194, Las Cuadras, D11
-17.397167,-66.142371, Calle Saturnino #195, Alalay, D11
-17.387235,-66.146085, Calle Arce #196, Muyurina, D11
-17.385041,-66.145532, Calle Roma #197, Las Cuadras, D11
-17.395435,-66.145297, Calle Ork’o #198, Alalay, D11
-17.395239,-66.142630, Calle Cochabamba #199, Muyurina, D11
-17.388573,-66.136672, Calle Saturnino #200, Las Cuadras, D11
-17.378117,-66.145418, Calle Arce #201, Alalay, D11
-17.380071,-66.137537, Calle Roma #202, Muyurina, D11
-17.395522,-66.147324, Calle Ork’o #203, Las Cuadras, D11
-17.378743,-66.144189, Calle Cochabamba #204, Alalay, D11
-17.391691,-66.131543, Calle Saturnino #205, Muyurina, D11
-17.392620,-66.141685, Calle Arce #206, Las Cuadras, D11
-17.384850,-66.148205, Calle Roma #207, Alalay, D11
-17.383157,-66.148604, Calle Ork’o #208, Muyurina, D11
-17.375816,-66.136885, Calle Cochabamba #209, Las Cuadras, D11
-17.392531,-66.143532, Calle Saturnino #210, Alalay, D11
-17.376115,-66.134949, Calle Arce #211, Muyurina, D11
-17.376858,-66.138385, Calle Roma #212, Las Cuadras, D11
-17.389796,-66.147554, Calle Ork’o #213, Alalay, D11
-17.395070,-66.142623, Calle Cochabamba #214, Muyurina, D11
-17.376586,-66.136010, Calle Saturnino #215, Las Cuadras, D11
-17.390238,-66.148308, Calle Arce #216, Alalay, D11
-17.387874,-66.140641, Calle Roma #217, Muyurina, D11
-17.378104,-66.132982, Calle Ork’o #218, Las Cuadras, D11
-17.377873,-66.141074, Calle Cochabamba #219, Alalay, D11
-17.384226,-66.149665, Calle Saturnino #220, Muyurina, D11
-17.394382,-66.145997, Calle Arce #221, Las Cuadras, D11
-17.388657,-66.134637, Calle Roma #222, Alalay, D11
-17.386291,-66.143870, Calle Ork’o #223, Muyurina, D11
-17.386626,-66.141948, Calle Cochabamba #224, Las Cuadras, D11
-17.380553,-66.140388, Calle Saturnino #225, Alalay, D11
-17.379823,-66.146082, Calle Arce #226, Muyurina, D11
-17.394067,-66.132138, Calle Roma #227, Las Cuadras, D11
-17.396504,-66.132948, Calle Ork’o #228, Alalay, D11
-17.375170,-66.135204, Calle Cochabamba #229, Muyurina, D11
-17.390078,-66.142351, Calle Saturnino #230, Las Cuadras, D11
-17.380278,-66.142296, Calle Arce #231, Alalay, D11
-17.392764,-66.133485, Calle Roma #232, Muyurina, D11
-17.374935,-66.133034, Calle Ork’o #233, Las Cuadras, D11
-17.395823,-66.140498, Calle Cochabamba #234, Alalay, D11
-17.378239,-66.132868, Calle Saturnino #235, Muyurina, D11
-17.380590,-66.151521, Calle Arce #236, Las Cuadras, D11
-17.381056,-66.131663, Calle Roma #237, Alalay, D11
-17.386842,-66.141260, Calle Ork’o #238, Muyurina, D11
-17.391008,-66.134745, Calle Cochabamba #239, Las Cuadras, D11
-17.389036,-66.143240, Calle Saturnino #240, Alalay, D11
-17.382260,-66.145552, Calle Arce #241, Muyurina, D11
-17.375924,-66.137225, Calle Roma #242, Las Cuadras, D11
-17.379101,-66.146908, Calle Ork’o #243, Alalay, D11
-17.378265,-66.134029, Calle Cochabamba #244, Muyurina, D11
-17.390363,-66.132468, Calle Saturnino #245, Las Cuadras, D11
-17.375981,-66.132513, Calle Arce #246, Alalay, D11
-17.396940,-66.147681, Calle Roma #247, Muyurina, D11
-17.389253,-66.144437, Calle Ork’o #248, Las Cuadras, D11
-17.392166,-66.131711, Calle Cochabamba #249, Alalay, D11
-17.397789,-66.139282, Calle Saturnino #250, Muyurina, D11
-17.391560,-66.142971, Calle Arce #251, Las Cuadras, D11
-17.396356,-66.140190, Calle Roma #252, Alalay, D11
-17.375942,-66.136255, Calle Ork’o #253, Muyurina, D11
-17.380990,-66.143604, Calle Cochabamba #254, Las Cuadras, D11
-17.397409,-66.147100, Calle Saturnino #255, Alalay, D11
-17.382634,-66.141257, Calle Arce #256, Muyurina, D11
-17.393447,-66.134814, Calle Roma #257, Las Cuadras, D11
-17.379725,-66.148201, Calle Ork’o #258, Alalay, D11
-17.375874,-66.132603, Calle Cochabamba #259, Muyurina, D11
-17.381164,-66.138898, Calle Saturnino #260, Las Cuadras, D11
-17.381359,-66.145061, Calle Arce #261, Alalay, D11
-17.376214,-66.134076, Calle Roma #262, Muyurina, D11
-17.392400,-66.144286, Calle Ork’o #263, Las Cuadras, D11
-17.375603,-66.134357, Calle Cochabamba #264, Alalay, D11
-17.391033,-66.145883, Calle Saturnino #265, Muyurina, D11
-17.377633,-66.138927, Calle Arce #266, Las Cuadras, D11
-17.381699,-66.137675, Calle Roma #267, Alalay, D11
-17.391627,-66.148668, Calle Ork’o #268, Muyurina, D11
-17.379120,-66.144955, Calle Cochabamba #269, Las Cuadras, D11
-17.390679,-66.139150, Calle Saturnino #270, Alalay, D11
-17.396475,-66.145860, Calle Arce #271, Muyurina, D11
-17.389887,-66.145489, Calle Roma #272, Las Cuadras, D11
-17.381579,-66.139053, Calle Ork’o #273, Alalay, D11
-17.395273,-66.136327, Calle Cochabamba #274, Muyurina, D11
-17.377580,-66.135255, Calle Saturnino #275, Las Cuadras, D11
-17.388440,-66.143829, Calle Arce #276, Alalay, D11
-17.377566,-66.132123, Calle Roma #277, Muyurina, D11
-17.387838,-66.140663, Calle Ork’o #278, Las Cuadras, D11
-17.394930,-66.146293, Calle Cochabamba #279, Alalay, D11
-17.397536,-66.146468, Calle Saturnino #280, Muyurina, D11
-17.397820,-66.142825, Calle Arce #281, Las Cuadras, D11
-17.396451,-66.132276, Calle Roma #282, Alalay, D11
-17.386786,-66.140581, Calle Ork’o #283, Muyurina, D11
-17.394045,-66.140642, Calle Cochabamba #284, Las Cuadras, D11
-17.393697,-66.146799, Calle Saturnino #285, Alalay, D11
-17.385789,-66.145070, Calle Arce #286, Muyurina, D11
-17.394380,-66.141498, Calle Roma #287, Las Cuadras, D11
-17.393049,-66.144433, Calle Ork’o #288, Alalay, D11
-17.376285,-66.136109, Calle Cochabamba #289, Muyurina, D11
-17.380809,-66.131455, Calle Saturnino #290, Las Cuadras, D11
-17.396730,-66.145335, Calle Arce #291, Alalay, D11
-17.393105,-66.143137, Calle Roma #292, Muyurina, D11
-17.388171,-66.137776, Calle Ork’o #293, Las Cuadras, D11
-17.383440,-66.141723, Calle Cochabamba #294, Alalay, D11
-17.381384,-66.137175, Calle Saturnino #295, Muyurina, D11
-17.389646,-66.144295, Calle Arce #296, Las Cuadras, D11
-17.385146,-66.139216, Calle Roma #297, Alalay, D11
-17.378117,-66.131475, Calle Ork’o #298, Muyurina, D11
-17.377679,-66.136329, Calle Cochabamba #299, Las Cuadras, D11
-17.384436,-66.145366, Calle Saturnino #300, Alalay, D11
-17.382832,-66.140839, Calle Arce #301, Muyurina, D11
-17.380068,-66.139349, Calle Roma #302, Las Cuadras, D11
-17.394985,-66.128860, Calle Ork’o #303, Alalay, D11
-17.388676,-66.147970, Calle Cochabamba #304, Muyurina, D11
-17.391411,-66.144558, Calle Saturnino #305, Las Cuadras, D11
-17.375887,-66.135168, Calle Arce #306, Alalay, D11
-17.375728,-66.137041, Calle Roma #307, Muyurina, D11
-17.387041,-66.146441, Calle Ork’o #308, Las Cuadras, D11
-17.393076,-66.144267, Calle Cochabamba #309, Alalay, D11
-17.384058,-66.144890, Calle Saturnino #310, Muyurina, D11
-17.392913,-66.134568, Calle Arce #311, Las Cuadras, D11
-17.393840,-66.145163, Calle Roma #312, Alalay, D11
-17.378741,-66.147013, Calle Ork’o #313, Muyurina, D11
-17.395399,-66.143355, Calle Cochabamba #314, Las Cuadras, D11
-17.392385,-66.139083, Calle Saturnino #315, Alalay, D11
-17.382160,-66.136005, Calle Arce #316, Muyurina, D11
-17.394621,-66.139644, Calle Roma #317, Las Cuadras, D11
-17.395852,-66.147823, Calle Ork’o #318, Alalay, D11
-17.395141,-66.135683, Calle Cochabamba #319, Muyurina, D11
-17.387287,-66.144510, Calle Saturnino #320, Las Cuadras, D11
-17.397140,-66.147719, Calle Arce #321, Alalay, D11
-17.391186,-66.133676, Calle Roma #322, Muyurina, D11
-17.396463,-66.132866, Calle Ork’o #323, Las Cuadras, D11
-17.393634,-66.139402, Calle Cochabamba #324, Alalay, D11
-17.383360,-66.148221, Calle Saturnino #325, Muyurina, D11
-17.394490,-66.135584, Calle Arce #326, Las Cuadras, D11
-17.377494,-66.134189, Calle Roma #327, Alalay, D11
-17.389967,-66.147276, Calle Ork’o #328, Muyurina, D11
-17.382721,-66.139708, Calle Cochabamba #329, Las Cuadras, D11
-17.392882,-66.147078, Calle Saturnino #330, Alalay, D11
-17.379595,-66.138191, Calle Arce #331, Muyurina, D11
-17.397990,-66.144292, Calle Roma #332, Las Cuadras, D11
-17.378761,-66.135593, Calle Ork’o #333, Alalay, D11
-17.395737,-66.142812, Calle Cochabamba #334, Muyurina, D11
-17.395223,-66.143789, Calle Saturnino #335, Las Cuadras, D11
-17.397046,-66.147132, Calle Arce #336, Alalay, D11
-17.390664,-66.133399, Calle Roma #337, Muyurina, D11
-17.394103,-66.143682, Calle Ork’o #338, Las Cuadras, D11
-17.386797,-66.144146, Calle Cochabamba #339, Alalay, D11
-17.395499,-66.139923, Calle Saturnino #340, Muyurina, D11
-17.394900,-66.147605, Calle Arce #341, Las Cuadras, D11
-17.380773,-66.138843, Calle Roma #342, Alalay, D11
-17.388086,-66.145613, Calle Ork’o #343, Muyurina, D11
-17.392198,-66.131778, Calle Cochabamba #344, Las Cuadras, D11
-17.391144,-66.147417, Calle Saturnino #345, Alalay, D11
-17.377968,-66.142298, Calle Arce #346, Muyurina, D11
-17.392866,-66.138862, Calle Roma #347, Las Cuadras, D11
-17.397459,-66.140096, Calle Ork’o #348, Alalay, D11
-17.383164,-66.142911, Calle Cochabamba #349, Muyurina, D11
-17.394861,-66.129647, Calle Saturnino #350, Las Cuadras, D11
-17.381315,-66.133865, Calle Arce #351, Alalay, D11
-17.397129,-66.139127, Calle Roma #352, Muyurina, D11
-17.395238,-66.130398, Calle Ork’o #353, Las Cuadras, D11
-17.382842,-66.143900, Calle Cochabamba #354, Alalay, D11
-17.376892,-66.138786, Calle Saturnino #355, Muyurina, D11
-17.397128,-66.143063, Calle Arce #356, Las Cuadras, D11
-17.396695,-66.142860, Calle Roma #357, Alalay, D11
-17.394061,-66.139260, Calle Ork’o #358, Muyurina, D11
-17.393353,-66.138432, Calle Cochabamba #359, Las Cuadras, D11
-17.377127,-66.133327, Calle Saturnino #360, Alalay, D11
-17.380384,-66.150793, Calle Arce #361, Muyurina, D11
-17.395105,-66.135642, Calle Roma #362, Las Cuadras, D11
-17.378027,-66.140656, Calle Ork’o #363, Alalay, D11
-17.389011,-66.140942, Calle Cochabamba #364, Muyurina, D11
-17.393144,-66.144373, Calle Saturnino #365, Las Cuadras, D11
-17.392528,-66.139189, Calle Arce #366, Alalay, D11
-17.389157,-66.141619, Calle Roma #367, Muyurina, D11
-17.385545,-66.148853, Calle Ork’o #368, Las Cuadras, D11
-17.397825,-66.142539, Calle Cochabamba #369, Alalay, D11
-17.394451,-66.145033, Calle Saturnino #370, Muyurina, D11
-17.392051,-66.135931, Calle Arce #371, Las Cuadras, D11
-17.389049,-66.139931, Calle Roma #372, Alalay, D11
-17.390633,-66.143586, Calle Ork’o #373, Muyurina, D11
-17.393837,-66.139628, Calle Cochabamba #374, Las Cuadras, D11
-17.385582,-66.142404, Calle Saturnino #375, Alalay, D11
-17.396837,-66.142268, Calle Arce #376, Muyurina, D11
-17.391883,-66.143270, Calle Roma #377, Las Cuadras, D11
-17.392462,-66.139595, Calle Ork’o #378, Alalay, D11
-17.395833,-66.142445, Calle Cochabamba #379, Muyurina, D11
-17.389420,-66.142982, Calle Saturnino #380, Las Cuadras, D11
-17.391332,-66.137152, Calle Arce #381, Alalay, D11
-17.383925,-66.148606, Calle Roma #382, Muyurina, D11
-17.394206,-66.138425, Calle Ork’o #383, Las Cuadras, D11
-17.377128,-66.138222, Calle Cochabamba #384, Alalay, D11
-17.388873,-66.139329, Calle Saturnino #385, Muyurina, D11
-17.384703,-66.146188, Calle Arce #386, Las Cuadras, D11
-17.380514,-66.135945, Calle Roma #387, Alalay, D11
-17.378805,-66.139751, Calle Ork’o #388, Muyurina, D11
-17.383786,-66.148730, Calle Cochabamba #389, Las Cuadras, D11
-17.381189,-66.148001, Calle Saturnino #390, Alalay, D11
-17.377453,-66.133700, Calle Arce #391, Muyurina, D11
-17.386025,-66.142804, Calle Roma #392, Las Cuadras, D11
-17.381747,-66.149069, Calle Ork’o #393, Alalay, D11
-17.395048,-66.131438, Calle Cochabamba #394, Muyurina, D11
-17.388075,-66.148348, Calle Saturnino #395, Las Cuadras, D11
-17.392928,-66.142774, Calle Arce #396, Alalay, D11
-17.388878,-66.141607, Calle Roma #397, Muyurina, D11
-17.394293,-66.140085, Calle Ork’o #398, Las Cuadras, D11
-17.395442,-66.146066, Calle Cochabamba #399, Alalay, D11
-17.395853,-66.146061, Calle Saturnino #400, Muyurina, D11
-17.393552,-66.137221, Calle Arce #401, Las Cuadras, D11
-17.393571,-66.135181, Calle Roma #402, Alalay, D11
-17.393850,-66.137508, Calle Ork’o #403, Muyurina, D11
-17.395013,-66.144325, Calle Cochabamba #404, Las Cuadras, D11
-17.376560,-66.134940, Calle Saturnino #405, Alalay, D11
-17.381620,-66.138866, Calle Arce #406, Muyurina, D11
-17.389425,-66.141399, Calle Roma #407, Las Cuadras, D11
-17.389424,-66.134602, Calle Ork’o #408, Alalay, D11
-17.380078,-66.131711, Calle Cochabamba #409, Muyurina, D11
-17.379201,-66.146915, Calle Saturnino #410, Las Cuadras, D11
-17.395430,-66.130193, Calle Arce #411, Alalay, D11
-17.395909,-66.141856, Calle Roma #412, Muyurina, D11
-17.391684,-66.135454, Calle Ork’o #413, Las Cuadras, D11
-17.382755,-66.143721, Calle Cochabamba #414, Alalay, D11
-17.379264,-66.144323, Calle Saturnino #415, Muyurina, D11
-17.391207,-66.133161, Calle Arce #416, Las Cuadras, D11
-17.381978,-66.138178, Calle Roma #417, Alalay, D11
-17.394646,-66.132967, Calle Ork’o #418, Muyurina, D11
-17.396273,-66.147333, Calle Cochabamba #419, Las Cuadras, D11
-17.386965,-66.144563, Calle Saturnino #420, Alalay, D11
-17.384766,-66.147039, Calle Arce #421, Muyurina, D11
-17.388763,-66.134894, Calle Roma #422, Las Cuadras, D11
-17.393853,-66.141486, Calle Ork’o #423, Alalay, D11
-17.381985,-66.145482, Calle Cochabamba #424, Muyurina, D11
-17.387831,-66.138083, Calle Saturnino #425, Las Cuadras, D11
-17.381297,-66.149386, Calle Arce #426, Alalay, D11
-17.385615,-66.143365, Calle Roma #427, Muyurina, D11
-17.377236,-66.134218, Calle Ork’o #428, Las Cuadras, D11
-17.393080,-66.138219, Calle Cochabamba #429, Alalay, D11
-17.396112,-66.137720, Calle Saturnino #430, Muyurina, D11
-17.387688,-66.143905, Calle Arce #431, Las Cuadras, D11
-17.385664,-66.144664, Calle Roma #432, Alalay, D11
-17.386146,-66.148172, Calle Ork’o #433, Muyurina, D11
-17.384131,-66.142170, Calle Cochabamba #434, Las Cuadras, D11
-17.392005,-66.136448, Calle Saturnino #435, Alalay, D11
-17.394059,-66.139363, Calle Arce #436, Muyurina, D11
-17.384050,-66.143609, Calle Roma #437, Las Cuadras, D11
-17.378784,-66.135623, Calle Ork’o #438, Alalay, D11
-17.386749,-66.140284, Calle Cochabamba #439, Muyurina, D11
-17.388171,-66.141646, Calle Saturnino #440, Las Cuadras, D11
-17.375005,-66.134379, Calle Arce #441, Alalay, D11
-17.378062,-66.134263, Calle Roma #442, Muyurina, D11
-17.392330,-66.141546, Calle Ork’o #443, Las Cuadras, D11
-17.381962,-66.143684, Calle Cochabamba #444, Alalay, D11
-17.379074,-66.133228, Calle Saturnino #445, Muyurina, D11
-17.396187,-66.141163, Calle Arce #446, Las Cuadras, D11
-17.386838,-66.144565, Calle Roma #447, Alalay, D11
-17.385869,-66.140584, Calle Ork’o #448, Muyurina, D11
-17.377915,-66.141154, Calle Cochabamba #449, Las Cuadras, D11
-17.394988,-66.136046, Calle Saturnino #450, Alalay, D11
-17.393713,-66.136828, Calle Arce #451, Muyurina, D11
-17.394644,-66.136512, Calle Roma #452, Las Cuadras, D11
-17.382901,-66.141231, Calle Ork’o #453, Alalay, D11
-17.395593,-66.145316, Calle Cochabamba #454, Muyurina, D11
-17.397258,-66.142050, Calle Saturnino #455, Las Cuadras, D11
-17.377001,-66.131742, Calle Arce #456, Alalay, D11
-17.391507,-66.131496, Calle Roma #457, Muyurina, D11
-17.378357,-66.134926, Calle Ork’o #458, Las Cuadras, D11
-17.392846,-66.137013, Calle Cochabamba #459, Alalay, D11
-17.398099,-66.145124, Calle Saturnino #460, Muyurina, D11
-17.396192,-66.140043, Calle Arce #461, Las Cuadras, D11
-17.381770,-66.147197, Calle Roma #462, Alalay, D11
-17.392135,-66.147445, Calle Ork’o #463, Muyurina, D11
-17.397092,-66.140878, Calle Cochabamba #464, Las Cuadras, D11
-17.396652,-66.143187, Calle Saturnino #465, Alalay, D11
-17.390946,-66.135388, Calle Arce #466, Muyurina, D11
-17.378588,-66.147042, Calle Roma #467, Las Cuadras, D11
-17.393202,-66.145194, Calle Ork’o #468, Alalay, D11
-17.378161,-66.145080, Calle Cochabamba #469, Muyurina, D11
-17.391497,-66.145179, Calle Saturnino #470, Las Cuadras, D11
-17.383221,-66.144664, Calle Arce #471, Alalay, D11
-17.385876,-66.148647, Calle Roma #472, Muyurina, D11
-17.391630,-66.143154, Calle Ork’o #473, Las Cuadras, D11
-17.395043,-66.129644, Calle Cochabamba #474, Alalay, D11
-17.382887,-66.150239, Calle Saturnino #475, Muyurina, D11
-17.382773,-66.146556, Calle Arce #476, Las Cuadras, D11
-17.391754,-66.146275, Calle Roma #477, Alalay, D11
-17.385152,-66.148685, Calle Ork’o #478, Muyurina, D11
-17.384806,-66.147955, Calle Cochabamba #479, Las Cuadras, D11
-17.378595,-66.141325, Calle Saturnino #480, Alalay, D11
-17.388395,-66.139109, Calle Arce #481, Muyurina, D11
-17.395203,-66.137672, Calle Roma #482, Las Cuadras, D11
-17.383138,-66.139745, Calle Ork’o #483, Alalay, D11
-17.395086,-66.141727, Calle Cochabamba #484, Muyurina, D11
-17.394934,-66.139837, Calle Saturnino #485, Las Cuadras, D11
-17.392125,-66.145301, Calle Arce #486, Alalay, D11
-17.393830,-66.136077, Calle Roma #487, Muyurina, D11
-17.389506,-66.137783, Calle Ork’o #488, Las Cuadras, D11
-17.391420,-66.136927, Calle Cochabamba #489, Alalay, D11
-17.398013,-66.144270, Calle Saturnino #490, Muyurina, D11
-17.396735,-66.143288, Calle Arce #491, Las Cuadras, D11
-17.391071,-66.133018, Calle Roma #492, Alalay, D11
-17.383940,-66.149161, Calle Ork’o #493, Muyurina, D11
-17.378655,-66.138239, Calle Cochabamba #494, Las Cuadras, D11
-17.386717,-66.143185, Calle Saturnino #495, Alalay, D11
-17.385206,-66.146425, Calle Arce #496, Muyurina, D11
-17.390073,-66.147459, Calle Roma #497, Las Cuadras, D11
-17.388675,-66.137488, Calle Ork’o #498, Alalay, D11
-17.379052,-66.137478, Calle Cochabamba #499, Muyurina, D11
-17.383146,-66.149332, Calle Saturnino #500, Las Cuadras, D11
-17.395257,-66.130852, Calle Arce #501, Alalay, D11
-17.380258,-66.140603, Calle Roma #502, Muyurina, D11
-17.391927,-66.140371, Calle Ork’o #503, Las Cuadras, D11
-17.388119,-66.140121, Calle Cochabamba #504, Alalay, D11
-17.380803,-66.138717, Calle Saturnino #505, Muyurina, D11
-17.389701,-66.137824, Calle Arce #506, Las Cuadras, D11
-17.384638,-66.146324, Calle Roma #507, Alalay, D11
-17.392873,-66.132107, Calle Ork’o #508, Muyurina, D11
-17.384756,-66.146172, Calle Cochabamba #509, Las Cuadras, D11
-17.386955,-66.149611, Calle Saturnino #510, Alalay, D11
-17.384030,-66.145793, Calle Arce #511, Muyurina, D11
-17.393203,-66.138740, Calle Roma #512, Las Cuadras, D11
-17.388830,-66.138459, Calle Ork’o #513, Alalay, D11
-17.376064,-66.134685, Calle Cochabamba #514, Muyurina, D11
-17.389829,-66.146606, Calle Saturnino #515, Las Cuadras, D11
-17.387090,-66.141258, Calle Arce #516, Alalay, D11
-17.394052,-66.134599, Calle Roma #517, Muyurina, D11
-17.390917,-66.132181, Calle Ork’o #518, Las Cuadras, D11
-17.390031,-66.140916, Calle Cochabamba #519, Alalay, D11
-17.396064,-66.131342, Calle Saturnino #520, Muyurina, D11
-17.379755,-66.147662, Calle Arce #521, Las Cuadras, D11
-17.395635,-66.140792, Calle Roma #522, Alalay, D11
-17.396331,-66.144974, Calle Ork’o #523, Muyurina, D11
-17.382887,-66.141801, Calle Cochabamba #524, Las Cuadras, D11
-17.382097,-66.146290, Calle Saturnino #525, Alalay, D11
-17.394541,-66.136471, Calle Arce #526, Muyurina, D11
-17.381852,-66.147566, Calle Roma #527, Las Cuadras, D11
-17.376180,-66.134099, Calle Ork’o #528, Alalay, D11
-17.389116,-66.133779, Calle Cochabamba #529, Muyurina, D11
-17.379710,-66.140042, Calle Saturnino #530, Las Cuadras, D11
-17.390068,-66.132995, Calle Arce #531, Alalay, D11
-17.389639,-66.137570, Calle Roma #532, Muyurina, D11
-17.391432,-66.136101, Calle Ork’o #533, Las Cuadras, D11
-17.389824,-66.135787, Calle Cochabamba #534, Alalay, D11
-17.394968,-66.136525, Calle Saturnino #535, Muyurina, D11
-17.382161,-66.138629, Calle Arce #536, Las Cuadras, D11
-17.378114,-66.145467, Calle Roma #537, Alalay, D11
-17.383721,-66.147542, Calle Ork’o #538, Muyurina, D11
-17.393144,-66.144165, Calle Cochabamba #539, Las Cuadras, D11
