-17.452167,-66.107179, Calle El Alto #100, Valle Hermoso Sur, D14
-17.448541,-66.109856, Calle El Alto #140, Pukara Sur, D14
-17.448622,-66.106972, Calle Villa San Miguel #141, Ch’aqui Mayu, D14
-17.446948,-66.106322, Calle Ferroviaria #142, Valle Hermoso Sur, D14
-17.446347,-66.110970, Calle El Inca #143, Pukara Sur, D14
-17.451000,-66.114340, Calle Andes #144, Ch’aqui Mayu, D14
-17.444086,-66.108088, Calle El Alto #145, Valle Hermoso Sur, D14
-17.446860,-66.106800, Calle Villa San Miguel #146, Pukara Sur, D14
-17.423336,-66.111225, Calle Ferroviaria #147, Ch’aqui Mayu, D14
-17.441291,-66.119307, Calle El Inca #148, Valle Hermoso Sur, D14
-17.441668,-66.109522, Calle Andes #149, Pukara Sur, D14
-17.429801,-66.108379, Calle El Alto #150, Ch’aqui Mayu, D14
-17.450536,-66.113405, Calle Villa San Miguel #151, Valle Hermoso Sur, D14
-17.451856,-66.110799, Calle Ferroviaria #152, Pukara Sur, D14
-17.443823,-66.108708, Calle El Inca #153, Ch’aqui Mayu, D14
-17.449291,-66.106583, Calle Andes #154, Valle Hermoso Sur, D14
-17.439050,-66.110251, Calle El Alto #155, Pukara Sur, D14
-17.432196,-66.115355, Calle Villa San Miguel #156, Ch’aqui Mayu, D14
-17.432606,-66.114664, Calle Ferroviaria #157, Valle Hermoso Sur, D14
-17.428893,-66.108730, Calle El Inca #158, Pukara Sur, D14
-17.425810,-66.113248, Calle Andes #159, Ch’aqui Mayu, D14
-17.435762,-66.117597, Calle El Alto #160, Valle Hermoso Sur, D14
-17.447912,-66.110203, Calle Villa San Miguel #161, Pukara Sur, D14
-17.435360,-66.113035, Calle Ferroviaria #162, Ch’aqui Mayu, D14
-17.441557,-66.118950, Calle El Inca #163, Valle Hermoso Sur, D14
-17.445208,-66.113258, Calle Andes #164, Pukara Sur, D14
-17.440930,-66.118143, Calle El Alto #165, Ch’aqui Mayu, D14
-17.433243,-66.104064, Calle Villa San Miguel #166, Valle Hermoso Sur, D14
-17.454571,-66.110429, Calle Ferroviaria #167, Pukara Sur, D14
-17.432289,-66.104814, Calle El Inca #168, Ch’aqui Mayu, D14
-17.447612,-66.108806, Calle Andes #169, Valle Hermoso Sur, D14
-17.458578,-66.115529, Calle El Alto #170, Pukara Sur, D14
-17.446050,-66.106766, Calle Villa San Miguel #171, Ch’aqui Mayu, D14
-17.435246,-66.106571, Calle Ferroviaria #172, Valle Hermoso Sur, D14
-17.443405,-66.113145, Calle El Inca #173, Pukara Sur, D14
-17.435252,-66.115728, Calle Andes #174, Ch’aqui Mayu, D14
-17.442755,-66.106827, Calle El Alto #175, Valle Hermoso Sur, D14
-17.437729,-66.106293, Calle Villa San Miguel #176, Pukara Sur, D14
-17.426638,-66.110709, Calle Ferroviaria #177, Ch’aqui Mayu, D14
-17.436174,-66.107719, Calle El Inca #178, Valle Hermoso Sur, D14
-17.443683,-66.113786, Calle Andes #179, Pukara Sur, D14
-17.454089,-66.112996, Calle El Alto #180, Ch’aqui Mayu, D14
-17.444463,-66.112278, Calle Villa San Miguel #181, Valle Hermoso Sur, D14
-17.441394,-66.114268, Calle Ferroviaria #182, Pukara Sur, D14
-17.434519,-66.111021, Calle El Inca #183, Ch’aqui Mayu, D14
-17.445278,-66.109828, Calle Andes #184, Valle Hermoso Sur, D14
-17.443036,-66.107401, Calle El Alto #185, Pukara Sur, D14
-17.430554,-66.110991, Calle Villa San Miguel #186, Ch’aqui Mayu, D14
-17.440841,-66.110302, Calle Ferroviaria #187, Valle Hermoso Sur, D14
-17.442720,-66.105213, Calle El Inca #188, Pukara Sur, D14
-17.430331,-66.112330, Calle Andes #189, Ch’aqui Mayu, D14
-17.439335,-66.116666, Calle El Alto #190, Valle Hermoso Sur, D14
-17.434903,-66.111473, Calle Villa San Miguel #191, Pukara Sur, D14
-17.451721,-66.111129, Calle Ferroviaria #192, Ch’aqui Mayu, D14
-17.432051,-66.107903, Calle El Inca #193, Valle Hermoso Sur, D14
-17.430288,-66.114445, Calle Andes #194, Pukara Sur, D14
-17.447246,-66.109826, Calle El Alto #195, Ch’aqui Mayu, D14
-17.446139,-66.106049, Calle Villa San Miguel #196, Valle Hermoso Sur, D14
-17.436311,-66.112734, Calle Ferroviaria #197, Pukara Sur, D14
-17.451284,-66.108846, Calle El Inca #198, Ch’aqui Mayu, D14
-17.458742,-66.114831, Calle Andes #199, Valle Hermoso Sur, D14
-17.439798,-66.118551, Calle El Alto #200, Pukara Sur, D14
-17.448250,-66.115499, Calle Villa San Miguel #201, Ch’aqui Mayu, D14
-17.449698,-66.110599, Calle Ferroviaria #202, Valle Hermoso Sur, D14
-17.450685,-66.108980, Calle El Inca #203, Pukara Sur, D14
-17.447245,-66.111715, Calle Andes #204, Ch’aqui Mayu, D14
-17.436329,-66.113889, Calle El Alto #205, Valle Hermoso Sur, D14
-17.444492,-66.110607, Calle Villa San Miguel #206, Pukara Sur, D14
-17.445509,-66.113788, Calle Ferroviaria #207, Ch’aqui Mayu, D14
-17.428537,-66.113213, Calle El Inca #208, Valle Hermoso Sur, D14
-17.436313,-66.111102, Calle Andes #209, Pukara Sur, D14
-17.457113,-66.113277, Calle El Alto #210, Ch’aqui Mayu, D14
-17.431201,-66.105814, Calle Villa San Miguel #211, Valle Hermoso Sur, D14
-17.425000,-66.108974, Calle Ferroviaria #212, Pukara Sur, D14
-17.457312,-66.115932, Calle El Inca #213, Ch’aqui Mayu, D14
-17.441289,-66.108599, Calle Andes #214, Valle Hermoso Sur, D14
-17.439158,-66.106774, Calle El Alto #215, Pukara Sur, D14
-17.429123,-66.109641, Calle Villa San Miguel #216, Ch’aqui Mayu, D14
-17.440667,-66.113610, Calle Ferroviaria #217, Valle Hermoso Sur, D14
-17.442564,-66.115120, Calle El Inca #218, Pukara Sur, D14
-17.451129,-66.110999, Calle Andes #219, Ch’aqui Mayu, D14
-17.428377,-66.112303, Calle El Alto #220, Valle Hermoso Sur, D14
-17.431962,-66.109402, Calle Villa San Miguel #221, Pukara Sur, D14
-17.450135,-66.109492, Calle Ferroviaria #222, Ch’aqui Mayu, D14
-17.443509,-66.106952, Calle El Inca #223, Valle Hermoso Sur, D14
-17.449175,-66.108128, Calle Andes #224, Pukara Sur, D14
-17.434732,-66.114816, Calle El Alto #225, Ch’aqui Mayu, D14
-17.457180,-66.112867, Calle Villa San Miguel #226, Valle Hermoso Sur, D14
-17.426544,-66.112357, Calle Ferroviaria #227, Pukara Sur, D14
-17.432485,-66.113956, Calle El Inca #228, Ch’aqui Mayu, D14
-17.439354,-66.111211, Calle Andes #229, Valle Hermoso Sur, D14
-17.454093,-66.114906, Calle El Alto #230, Pukara Sur, D14
-17.445855,-66.112305, Calle Villa San Miguel #231, Ch’aqui Mayu, D14
-17.427900,-66.108102, Calle Ferroviaria #232, Valle Hermoso Sur, D14
-17.434935,-66.104279, Calle El Inca #233, Pukara Sur, D14
-17.439660,-66.104593, Calle Andes #234, Ch’aqui Mayu, D14
-17.432474,-66.111165, Calle El Alto #235, Valle Hermoso Sur, D14
-17.439796,-66.118849, Calle Villa San Miguel #236, Pukara Sur, D14
-17.455255,-66.113623, Calle Ferroviaria #237, Ch’aqui Mayu, D14
-17.443873,-66.111622, Calle El Inca #238, Valle Hermoso Sur, D14
-17.437556,-66.105817, Calle Andes #239, Pukara Sur, D14
-17.432527,-66.114462, Calle El Alto #240, Ch’aqui Mayu, D14
-17.452777,-66.117930, Calle Villa San Miguel #241, Valle Hermoso Sur, D14
-17.446931,-66.105418, Calle Ferroviaria #242, Pukara Sur, D14
-17.437183,-66.108889, Calle El Inca #243, Ch’aqui Mayu, D14
-17.440736,-66.115411, Calle Andes #244, Valle Hermoso Sur, D14
-17.433685,-66.106147, Calle El Alto #245, Pukara Sur, D14
-17.427267,-66.112408, Calle Villa San Miguel #246, Ch’aqui Mayu, D14
-17.438136,-66.107591, Calle Ferroviaria #247, Valle Hermoso Sur, D14
-17.437931,-66.116743, Calle El Inca #248, Pukara Sur, D14
-17.428189,-66.114031, Calle Andes #249, Ch’aqui Mayu, D14
-17.450086,-66.109224, Calle El Alto #250, Valle Hermoso Sur, D14
-17.452522,-66.108933, Calle Villa San Miguel #251, Pukara Sur, D14
-17.434746,-66.113984, Calle Ferroviaria #252, Ch’aqui Mayu, D14
-17.450596,-66.107487, Calle El Inca #253, Valle Hermoso Sur, D14
-17.450770,-66.106591, Calle Andes #254, Pukara Sur, D14
-17.442113,-66.118794, Calle El Alto #255, Ch’aqui Mayu, D14
-17.444827,-66.117827, Calle Villa San Miguel #256, Valle Hermoso Sur, D14
-17.438712,-66.105499, Calle Ferroviaria #257, Pukara Sur, D14
-17.455036,-66.115139, Calle El Inca #258, Ch’aqui Mayu, D14
-17.451607,-66.107858, Calle Andes #259, Valle Hermoso Sur, D14
-17.447621,-66.114954, Calle El Alto #260, Pukara Sur, D14
-17.433822,-66.113884, Calle Villa San Miguel #261, Ch’aqui Mayu, D14
-17.430946,-66.104930, Calle Ferroviaria #262, Valle Hermoso Sur, D14
-17.441297,-66.115749, Calle El Inca #263, Pukara Sur, D14
-17.424611,-66.110252, Calle Andes #264, Ch’aqui Mayu, D14
-17.436478,-66.115226, Calle El Alto #265, Valle Hermoso Sur, D14
-17.432808,-66.109587, Calle Villa San Miguel #266, Pukara Sur, D14
-17.454946,-66.109679, Calle Ferroviaria #267, Ch’aqui Mayu, D14
-17.439392,-66.104857, Calle El Inca #268, Valle Hermoso Sur, D14
-17.450716,-66.111901, Calle Andes #269, Pukara Sur, D14
-17.455585,-66.116642, Calle El Alto #270, Ch’aqui Mayu, D14
-17.424795,-66.112126, Calle Villa San Miguel #271, Valle Hermoso Sur, D14
-17.438529,-66.114588, Calle Ferroviaria #272, Pukara Sur, D14
-17.429231,-66.107813, Calle El Inca #273, Ch’aqui Mayu, D14
-17.439608,-66.114362, Calle Andes #274, Valle Hermoso Sur, D14
-17.433923,-66.110259, Calle El Alto #275, Pukara Sur, D14
-17.440883,-66.109716, Calle Villa San Miguel #276, Ch’aqui Mayu, D14
-17.432602,-66.111687, Calle Ferroviaria #277, Valle Hermoso Sur, D14
-17.444844,-66.105809, Calle El Inca #278, Pukara Sur, D14
-17.451606,-66.113138, Calle Andes #279, Ch’aqui Mayu, D14
-17.438918,-66.116356, Calle El Alto #280, Valle Hermoso Sur, D14
-17.446160,-66.113310, Calle Villa San Miguel #281, Pukara Sur, D14
-17.434590,-66.114389, Calle Ferroviaria #282, Ch’aqui Mayu, D14
-17.434072,-66.107090, Calle El Inca #283, Valle Hermoso Sur, D14
-17.426761,-66.111865, Calle Andes #284, Pukara Sur, D14
-17.449300,-66.112432, Calle El Alto #285, Ch’aqui Mayu, D14
-17.457113,-66.111160, Calle Villa San Miguel #286, Valle Hermoso Sur, D14
-17.435589,-66.108947, Calle Ferroviaria #287, Pukara Sur, D14
-17.458016,-66.111846, Calle El Inca #288, Ch’aqui Mayu, D14
-17.437830,-66.117906, Calle Andes #289, Valle Hermoso Sur, D14
-17.435203,-66.109944, Calle El Alto #290, Pukara Sur, D14
-17.453059,-66.107783, Calle Villa San Miguel #291, Ch’aqui Mayu, D14
-17.439468,-66.108084, Calle Ferroviaria #292, Valle Hermoso Sur, D14
-17.427409,-66.107154, Calle El Inca #293, Pukara Sur, D14
-17.426728,-66.111432, Calle Andes #294, Ch’aqui Mayu, D14
-17.445239,-66.106846, Calle El Alto #295, Valle Hermoso Sur, D14
-17.442756,-66.114771, Calle Villa San Miguel #296, Pukara Sur, D14
-17.432962,-66.103534, Calle Ferroviaria #297, Ch’aqui Mayu, D14
-17.452321,-66.110316, Calle El Inca #298, Valle Hermoso Sur, D14
-17.451031,-66.108263, Calle Andes #299, Pukara Sur, D14
-17.440322,-66.107601, Calle El Alto #300, Ch’aqui Mayu, D14
-17.452446,-66.108010, Calle Villa San Miguel #301, Valle Hermoso Sur, D14
-17.440006,-66.115311, Calle Ferroviaria #302, Pukara Sur, D14
-17.447397,-66.111892, Calle El Inca #303, Ch’aqui Mayu, D14
-17.424927,-66.108844, Calle Andes #304, Valle Hermoso Sur, D14
-17.436059,-66.116681, Calle El Alto #305, Pukara Sur, D14
-17.445848,-66.116815, Calle Villa San Miguel #306, Ch’aqui Mayu, D14
-17.453493,-66.111550, Calle Ferroviaria #307, Valle Hermoso Sur, D14
-17.446974,-66.111197, Calle El Inca #308, Pukara Sur, D14
-17.438207,-66.107110, Calle Andes #309, Ch’aqui Mayu, D14
-17.425444,-66.109993, Calle El Alto #310, Valle Hermoso Sur, D14
-17.438547,-66.109018, Calle Villa San Miguel #311, Pukara Sur, D14
-17.456047,-66.111762, Calle Ferroviaria #312, Ch’aqui Mayu, D14
-17.448987,-66.109139, Calle El Inca #313, Valle Hermoso Sur, D14
-17.456465,-66.112279, Calle Andes #314, Pukara Sur, D14
-17.441948,-66.108387, Calle El Alto #315, Ch’aqui Mayu, D14
-17.453885,-66.112808, Calle Villa San Miguel #316, Valle Hermoso Sur, D14
-17.439195,-66.105720, Calle Ferroviaria #317, Pukara Sur, D14
-17.444879,-66.115831, Calle El Inca #318, Ch’aqui Mayu, D14
-17.438592,-66.109762, Calle Andes #319, Valle Hermoso Sur, D14
-17.448950,-66.111034, Calle El Alto #320, Pukara Sur, D14
-17.434540,-66.114470, Calle Villa San Miguel #321, Ch’aqui Mayu, D14
-17.438352,-66.109609, Calle Ferroviaria #322, Valle Hermoso Sur, D14
-17.438094,-66.110736, Calle El Inca #323, Pukara Sur, D14
-17.445369,-66.108043, Calle Andes #324, Ch’aqui Mayu, D14
-17.437087,-66.111644, Calle El Alto #325, Valle Hermoso Sur, D14
-17.446036,-66.107599, Calle Villa San Miguel #326, Pukara Sur, D14
-17.447102,-66.110400, Calle Ferroviaria #327, Ch’aqui Mayu, D14
-17.438768,-66.104504, Calle El Inca #328, Valle Hermoso Sur, D14
-17.444470,-66.108149, Calle Andes #329, Pukara Sur, D14
-17.436496,-66.114970, Calle El Alto #330, Ch’aqui Mayu, D14
-17.451365,-66.106855, Calle Villa San Miguel #331, Valle Hermoso Sur, D14
-17.438404,-66.118696, Calle Ferroviaria #332, Pukara Sur, D14
-17.436946,-66.112940, Calle El Inca #333, Ch’aqui Mayu, D14
-17.432914,-66.114678, Calle Andes #334, Valle Hermoso Sur, D14
-17.449282,-66.109408, Calle El Alto #335, Pukara Sur, D14
-17.427605,-66.113222, Calle Villa San Miguel #336, Ch’aqui Mayu, D14
-17.449061,-66.112519, Calle Ferroviaria #337, Valle Hermoso Sur, D14
-17.449183,-66.106206, Calle El Inca #338, Pukara Sur, D14
-17.452957,-66.113918, Calle Andes #339, Ch’aqui Mayu, D14
-17.451584,-66.107356, Calle El Alto #340, Valle Hermoso Sur, D14
-17.459378,-66.115218, Calle Villa San Miguel #341, Pukara Sur, D14
-17.454150,-66.116992, Calle Ferroviaria #342, Ch’aqui Mayu, D14
-17.439971,-66.109137, Calle El Inca #343, Valle Hermoso Sur, D14
-17.437111,-66.111485, Calle Andes #344, Pukara Sur, D14
-17.443307,-66.108659, Calle El Alto #345, Ch’aqui Mayu, D14
-17.447066,-66.112064, Calle Villa San Miguel #346, Valle Hermoso Sur, D14
-17.456484,-66.115123, Calle Ferroviaria #347, Pukara Sur, D14
-17.448126,-66.113936, Calle El Inca #348, Ch’aqui Mayu, D14
-17.451144,-66.111446, Calle Andes #349, Valle Hermoso Sur, D14
-17.426787,-66.110369, Calle El Alto #350, Pukara Sur, D14
-17.442542,-66.116546, Calle Villa San Miguel #351, Ch’aqui Mayu, D14
-17.440738,-66.112669, Calle Ferroviaria #352, Valle Hermoso Sur, D14
-17.436588,-66.107447, Calle El Inca #353, Pukara Sur, D14
-17.435075,-66.114745, Calle Andes #354, Ch’aqui Mayu, D14
-17.425055,-66.112391, Calle El Alto #355, Valle Hermoso Sur, D14
-17.451650,-66.115097, Calle Villa San Miguel #356, Pukara Sur, D14
-17.425358,-66.111805, Calle Ferroviaria #357, Ch’aqui Mayu, D14
-17.452285,-66.113378, Calle El Inca #358, Valle Hermoso Sur, D14
-17.442662,-66.112140, Calle Andes #359, Pukara Sur, D14
-17.436909,-66.106983, Calle El Alto #360, Ch’aqui Mayu, D14
-17.430939,-66.104961, Calle Villa San Miguel #361, Valle Hermoso Sur, D14
-17.430342,-66.114450, Calle Ferroviaria #362, Pukara Sur, D14
-17.432519,-66.109929, Calle El Inca #363, Ch’aqui Mayu, D14
-17.439778,-66.106737, Calle Andes #364, Valle Hermoso Sur, D14
-17.451374,-66.108631, Calle El Alto #365, Pukara Sur, D14
-17.447569,-66.115467, Calle Villa San Miguel #366, Ch’aqui Mayu, D14
-17.425972,-66.107963, Calle Ferroviaria #367, Valle Hermoso Sur, D14
-17.440113,-66.113983, Calle El Inca #368, Pukara Sur, D14
-17.446858,-66.110149, Calle Andes #369, Ch’aqui Mayu, D14
-17.446880,-66.112000, Calle El Alto #370, Valle Hermoso Sur, D14
-17.451977,-66.117914, Calle Villa San Miguel #371, Pukara Sur, D14
-17.442826,-66.117659, Calle Ferroviaria #372, Ch’aqui Mayu, D14
-17.456919,-66.111195, Calle El Inca #373, Valle Hermoso Sur, D14
-17.453525,-66.113596, Calle Andes #374, Pukara Sur, D14
-17.434008,-66.109839, Calle El Alto #375, Ch’aqui Mayu, D14
-17.438153,-66.112165, Calle Villa San Miguel #376, Valle Hermoso Sur, D14
-17.444224,-66.107520, Calle Ferroviaria #377, Pukara Sur, D14
-17.440172,-66.109496, Calle El Inca #378, Ch’aqui Mayu, D14
-17.438774,-66.104290, Calle Andes #379, Valle Hermoso Sur, D14
-17.444435,-66.117840, Calle El Alto #380, Pukara Sur, D14
-17.432470,-66.105394, Calle Villa San Miguel #381, Ch’aqui Mayu, D14
-17.456895,-66.115014, Calle Ferroviaria #382, Valle Hermoso Sur, D14
-17.431302,-66.109681, Calle El Inca #383, Pukara Sur, D14
-17.456883,-66.111514, Calle Andes #384, Ch’aqui Mayu, D14
-17.436380,-66.113764, Calle El Alto #385, Valle Hermoso Sur, D14
-17.447229,-66.106429, Calle Villa San Miguel #386, Pukara Sur, D14
-17.433371,-66.112985, Calle Ferroviaria #387, Ch’aqui Mayu, D14
-17.425341,-66.109880, Calle El Inca #388, Valle Hermoso Sur, D14
-17.436279,-66.118946, Calle Andes #389, Pukara Sur, D14
-17.439924,-66.110594, Calle El Alto #390, Ch’aqui Mayu, D14
-17.441714,-66.113383, Calle Villa San Miguel #391, Valle Hermoso Sur, D14
-17.448946,-66.109562, Calle Ferroviaria #392, Pukara Sur, D14
-17.449512,-66.106114, Calle El Inca #393, Ch’aqui Mayu, D14
-17.449863,-66.110667, Calle Andes #394, Valle Hermoso Sur, D14
-17.443618,-66.116109, Calle El Alto #395, Pukara Sur, D14
-17.434660,-66.103307, Calle Villa San Miguel #396, Ch’aqui Mayu, D14
-17.454944,-66.111520, Calle Ferroviaria #397, Valle Hermoso Sur, D14
-17.450645,-66.116581, Calle El Inca #398, Pukara Sur, D14
-17.426378,-66.110411, Calle Andes #399, Ch’aqui Mayu, D14
-17.448987,-66.109813, Calle El Alto #400, Valle Hermoso Sur, D14
-17.428235,-66.113190, Calle Villa San Miguel #401, Pukara Sur, D14
-17.436610,-66.109948, Calle Ferroviaria #402, Ch’aqui Mayu, D14
-17.429523,-66.109674, Calle El Inca #403, Valle Hermoso Sur, D14
-17.453402,-66.109100, Calle Andes #404, Pukara Sur, D14
-17.429743,-66.109052, Calle El Alto #405, Ch’aqui Mayu, D14
-17.445321,-66.113344, Calle Villa San Miguel #406, Valle Hermoso Sur, D14
-17.424778,-66.108429, Calle Ferroviaria #407, Pukara Sur, D14
-17.428966,-66.114826, Calle El Inca #408, Ch’aqui Mayu, D14
-17.435246,-66.109279, Calle Andes #409, Valle Hermoso Sur, D14
-17.448147,-66.110332, Calle El Alto #410, Pukara Sur, D14
-17.429515,-66.107739, Calle Villa San Miguel #411, Ch’aqui Mayu, D14
-17.434280,-66.116568, Calle Ferroviaria #412, Valle Hermoso Sur, D14
-17.441454,-66.109468, Calle El Inca #413, Pukara Sur, D14
-17.447136,-66.116187, Calle Andes #414, Ch’aqui Mayu, D14
-17.442105,-66.112571, Calle El Alto #415, Valle Hermoso Sur, D14
-17.427556,-66.110506, Calle Villa San Miguel #416, Pukara Sur, D14
-17.457039,-66.115617, Calle Ferroviaria #417, Ch’aqui Mayu, D14
-17.448753,-66.106507, Calle El Inca #418, Valle Hermoso Sur, D14
-17.429530,-66.114847, Calle Andes #419, Pukara Sur, D14
-17.455791,-66.115601, Calle El Alto #420, Ch’aqui Mayu, D14
-17.444782,-66.109325, Calle Villa San Miguel #421, Valle Hermoso Sur, D14
-17.430409,-66.114405, Calle Ferroviaria #422, Pukara Sur, D14
-17.441336,-66.119471, Calle El Inca #423, Ch’aqui Mayu, D14
-17.438911,-66.117717, Calle Andes #424, Valle Hermoso Sur, D14
-17.452452,-66.108014, Calle El Alto #425, Pukara Sur, D14
-17.425028,-66.113039, Calle Villa San Miguel #426, Ch’aqui Mayu, D14
-17.440673,-66.111414, Calle Ferroviaria #427, Valle Hermoso Sur, D14
-17.458381,-66.113717, Calle El Inca #428, Pukara Sur, D14
-17.444405,-66.112702, Calle Andes #429, Ch’aqui Mayu, D14
-17.424236,-66.111524, Calle El Alto #430, Valle Hermoso Sur, D14
-17.443567,-66.109306, Calle Villa San Miguel #431, Pukara Sur, D14
-17.447715,-66.115972, Calle Ferroviaria #432, Ch’aqui Mayu, D14
-17.434512,-66.115835, Calle El Inca #433, Valle Hermoso Sur, D14
-17.440100,-66.104762, Calle Andes #434, Pukara Sur, D14
-17.435367,-66.115430, Calle El Alto #435, Ch’aqui Mayu, D14
-17.440842,-66.114726, Calle Villa San Miguel #436, Valle Hermoso Sur, D14
-17.443295,-66.105524, Calle Ferroviaria #437, Pukara Sur, D14
-17.435126,-66.117285, Calle El Inca #438, Ch’aqui Mayu, D14
-17.456548,-66.113051, Calle Andes #439, Valle Hermoso Sur, D14
-17.454231,-66.112772, Calle El Alto #440, Pukara Sur, D14
-17.443754,-66.108819, Calle Villa San Miguel #441, Ch’aqui Mayu, D14
-17.443969,-66.111391, Calle Ferroviaria #442, Valle Hermoso Sur, D14
-17.436905,-66.114723, Calle El Inca #443, Pukara Sur, D14
-17.447968,-66.112743, Calle Andes #444, Ch’aqui Mayu, D14
-17.454855,-66.112682, Calle El Alto #445, Valle Hermoso Sur, D14
-17.441078,-66.110850, Calle Villa San Miguel #446, Pukara Sur, D14
-17.438572,-66.115345, Calle Ferroviaria #447, Ch’aqui Mayu, D14
-17.442094,-66.116311, Calle El Inca #448, Valle Hermoso Sur, D14
-17.455125,-66.114259, Calle Andes #449, Pukara Sur, D14
-17.431861,-66.109715, Calle El Alto #450, Ch’aqui Mayu, D14
-17.447231,-66.107186, Calle Villa San Miguel #451, Valle Hermoso Sur, D14
-17.437860,-66.111414, Calle Ferroviaria #452, Pukara Sur, D14
-17.429329,-66.112040, Calle El Inca #453, Ch’aqui Mayu, D14
-17.440284,-66.105530, Calle Andes #454, Valle Hermoso Sur, D14
-17.427779,-66.107526, Calle El Alto #455, Pukara Sur, D14
-17.442552,-66.114055, Calle Villa San Miguel #456, Ch’aqui Mayu, D14
-17.433984,-66.105484, Calle Ferroviaria #457, Valle Hermoso Sur, D14
-17.456401,-66.114299, Calle El Inca #458, Pukara Sur, D14
-17.444862,-66.113753, Calle Andes #459, Ch’aqui Mayu, D14
-17.446919,-66.104978, Calle El Alto #460, Valle Hermoso Sur, D14
-17.432466,-66.109552, Calle Villa San Miguel #461, Pukara Sur, D14
-17.449365,-66.109217, Calle Ferroviaria #462, Ch’aqui Mayu, D14
-17.442782,-66.109194, Calle El Inca #463, Valle Hermoso Sur, D14
-17.431821,-66.110009, Calle Andes #464, Pukara Sur, D14
-17.439083,-66.114216, Calle El Alto #465, Ch’aqui Mayu, D14
-17.426462,-66.108419, Calle Villa San Miguel #466, Valle Hermoso Sur, D14
-17.443003,-66.104886, Calle Ferroviaria #467, Pukara Sur, D14
-17.441623,-66.111944, Calle El Inca #468, Ch’aqui Mayu, D14
-17.447894,-66.110831, Calle Andes #469, Valle Hermoso Sur, D14
-17.440583,-66.118145, Calle El Alto #470, Pukara Sur, D14
-17.440160,-66.107739, Calle Villa San Miguel #471, Ch’aqui Mayu, D14
-17.449117,-66.112877, Calle Ferroviaria #472, Valle Hermoso Sur, D14
-17.435875,-66.103413, Calle El Inca #473, Pukara Sur, D14
-17.437121,-66.105046, Calle Andes #474, Ch’aqui Mayu, D14
-17.432427,-66.106465, Calle El Alto #475, Valle Hermoso Sur, D14
-17.446063,-66.112911, Calle Villa San Miguel #476, Pukara Sur, D14
-17.451236,-66.110564, Calle Ferroviaria #477, Ch’aqui Mayu, D14
